交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20141226,IF1501                        ,期货公司,3616850,114692,130907,6872,130907,6872
20141226,IF1501                        ,非期货公司,0,0,0,0,0,0
20141226,IF1503                        ,期货公司,231080,5898,46553,876,46553,876
20141226,IF1503                        ,非期货公司,0,0,0,0,0,0
20141226,IF1506                        ,期货公司,92998,-8180,23254,347,23254,347
20141226,IF1506                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20141226,IF1501                        ,1,海通期货    ,236132,9379,国泰君安    ,8697,609,中信期货    ,16988,3602
20141226,IF1501                        ,2,中信期货    ,213771,3485,中信期货    ,8572,619,海通期货    ,9594,-1579
20141226,IF1501                        ,3,招商期货    ,193648,-2045,方正中期    ,7559,1441,国泰君安    ,9319,1027
20141226,IF1501                        ,4,国泰君安    ,182798,5720,光大期货    ,7485,614,银河期货    ,6726,-842
20141226,IF1501                        ,5,华泰长城    ,173934,22548,银河期货    ,7353,-309,广发期货    ,5369,372
20141226,IF1501                        ,6,兴证期货    ,163703,5547,海通期货    ,6851,-363,永安期货    ,5201,1689
20141226,IF1501                        ,7,光大期货    ,155688,16601,永安期货    ,4727,-1377,南华期货    ,4964,-205
20141226,IF1501                        ,8,南华期货    ,152842,11202,华泰长城    ,4393,-222,申银万国    ,4673,-378
20141226,IF1501                        ,9,申银万国    ,134819,2646,鲁证期货    ,3674,-240,华泰长城    ,4527,968
20141226,IF1501                        ,10,广发期货    ,113950,-6615,北京首创    ,3444,241,光大期货    ,4193,858
20141226,IF1501                        ,11,方正中期    ,93564,4625,安信期货    ,3235,981,财富期货    ,3831,-51
20141226,IF1501                        ,12,银河期货    ,82539,-2499,一德期货    ,3180,1791,上海东证    ,3808,772
20141226,IF1501                        ,13,上海东证    ,77475,321,上海东证    ,2823,-1123,浙商期货    ,3244,1569
20141226,IF1501                        ,14,永安期货    ,71698,-763,广发期货    ,2818,204,国信期货    ,3131,145
20141226,IF1501                        ,15,大有期货    ,69399,4959,兴证期货    ,2756,180,鲁证期货    ,2672,-19
