交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20141230,IF1501                        ,期货公司,3649684,240918,122402,-1188,122402,-1188
20141230,IF1501                        ,非期货公司,0,0,0,0,0,0
20141230,IF1503                        ,期货公司,275418,-1360,51101,3673,51101,3673
20141230,IF1503                        ,非期货公司,0,0,0,0,0,0
20141230,IF1506                        ,期货公司,102632,-11000,24771,1035,24771,1035
20141230,IF1506                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20141230,IF1501                        ,1,海通期货    ,208567,-8728,国泰君安    ,8840,657,中信期货    ,17361,3076
20141230,IF1501                        ,2,中信期货    ,197472,11302,银河期货    ,7627,865,海通期货    ,9050,57
20141230,IF1501                        ,3,招商期货    ,194386,12261,海通期货    ,6957,2632,国泰君安    ,8992,-338
20141230,IF1501                        ,4,国泰君安    ,187713,6484,中信期货    ,6949,-3312,广发期货    ,7199,1179
20141230,IF1501                        ,5,华泰长城    ,177384,22845,永安期货    ,5813,-112,银河期货    ,5296,-1041
20141230,IF1501                        ,6,兴证期货    ,170551,6815,方正中期    ,5433,-378,申银万国    ,4742,134
20141230,IF1501                        ,7,南华期货    ,158129,7155,光大期货    ,5028,-1642,永安期货    ,4362,273
20141230,IF1501                        ,8,光大期货    ,153789,752,华泰长城    ,3974,11,华泰长城    ,4113,-233
20141230,IF1501                        ,9,申银万国    ,147481,17985,一德期货    ,3718,-470,南华期货    ,4011,-974
20141230,IF1501                        ,10,广发期货    ,127815,2994,鲁证期货    ,3650,-175,光大期货    ,3890,-667
20141230,IF1501                        ,11,方正中期    ,86355,-5142,北京首创    ,3423,-113,鲁证期货    ,3444,405
20141230,IF1501                        ,12,上海东证    ,86352,7508,安信期货    ,3039,64,财富期货    ,2888,-1266
20141230,IF1501                        ,13,银河期货    ,82002,7092,浙商期货    ,2909,1225,上海东证    ,2869,-287
20141230,IF1501                        ,14,瑞达期货    ,73538,3985,申银万国    ,2655,-193,国信期货    ,2521,-220
20141230,IF1501                        ,15,永安期货    ,69511,2551,宝城期货    ,2522,2219,浙商期货    ,2292,909
20141230,IF1501                        ,16,五矿期货    ,67615,7094,兴证期货    ,2509,-296,国金期货    ,2284,-381
20141230,IF1501                        ,17,大有期货    ,66592,2377,国海良时    ,2083,1145,中信建投    ,2040,-51
20141230,IF1501                        ,18,华鑫期货    ,63725,6427,瑞达期货    ,2073,-505,东海期货    ,1904,290
20141230,IF1501                        ,19,鲁证期货    ,53846,5392,广发期货    ,2042,-62,兴证期货    ,1843,-419
20141230,IF1501                        ,20,国信期货    ,46987,256,上海东证    ,2006,-719,招商期货    ,1685,42
20141230,IF1503                        ,1,华西期货    ,29562,-1682,国泰君安    ,5626,-36,中信期货    ,11540,122
20141230,IF1503                        ,2,海通期货    ,28237,-362,中信期货    ,5076,30,国泰君安    ,5166,513
20141230,IF1503                        ,3,招商期货    ,17946,-2053,永安期货    ,3619,335,海通期货    ,4910,351
20141230,IF1503                        ,4,华鑫期货    ,17544,6283,中国国际    ,2399,39,招商期货    ,4378,-24
20141230,IF1503                        ,5,光大期货    ,13204,-496,浙商期货    ,2251,2010,永安期货    ,1947,692
20141230,IF1503                        ,6,中信期货    ,11388,-1759,银河期货    ,2124,-16,银河期货    ,1622,232
20141230,IF1503                        ,7,新湖期货    ,9811,-1367,中粮期货    ,2007,176,兴证期货    ,1499,422
20141230,IF1503                        ,8,国泰君安    ,8057,-626,光大期货    ,1908,-155,方正中期    ,1460,283
20141230,IF1503                        ,9,五矿期货    ,7375,2038,长江期货    ,1378,-1,上海东证    ,1387,89
20141230,IF1503                        ,10,南华期货    ,7346,391,格林大华    ,1317,46,浙商期货    ,1386,86
20141230,IF1503                        ,11,浙商期货    ,7110,949,方正中期    ,1281,36,五矿期货    ,1255,-12
20141230,IF1503                        ,12,永安期货    ,6643,1097,上海东证    ,1220,-6,广发期货    ,1249,66
20141230,IF1503                        ,13,银河期货    ,6464,-535,申银万国    ,1216,-36,华泰长城    ,1191,105
20141230,IF1503                        ,14,中融汇信    ,6282,3369,瑞达期货    ,1147,1,南华期货    ,972,7
20141230,IF1503                        ,15,兴证期货    ,6225,-2195,招商期货    ,1048,4,长江期货    ,971,27
20141230,IF1503                        ,16,上海中财    ,5749,4273,海通期货    ,1017,576,鲁证期货    ,889,97
20141230,IF1503                        ,17,申银万国    ,4586,-2141,五矿期货    ,1008,37,申银万国    ,734,-88
20141230,IF1503                        ,18,华泰长城    ,4492,-623,国海良时    ,947,682,华西期货    ,601,159
20141230,IF1503                        ,19,上海中期    ,3228,2335,中辉期货    ,841,103,东吴期货    ,584,7
20141230,IF1503                        ,20,美尔雅     ,3155,-2972,鲁证期货    ,838,77,光大期货    ,522,47
20141230,IF1506                        ,1,华西期货    ,14098,-2285,上海东证    ,1864,-21,华泰长城    ,4103,-15
20141230,IF1506                        ,2,海通期货    ,11498,-485,永安期货    ,1635,47,招商期货    ,3203,-9
20141230,IF1506                        ,3,华鑫期货    ,6687,784,国泰君安    ,1248,-21,中信期货    ,2119,34
20141230,IF1506                        ,4,新湖期货    ,5609,-675,中国国际    ,1179,409,安信期货    ,1704,514
20141230,IF1506                        ,5,国泰君安    ,5191,2155,银河期货    ,1157,305,国泰君安    ,1698,420
20141230,IF1506                        ,6,中信期货    ,4626,-1334,中信期货    ,1037,34,广发期货    ,1649,8
20141230,IF1506                        ,7,招商期货    ,3860,-1611,申银万国    ,1036,-25,南华期货    ,1353,-41
20141230,IF1506                        ,8,申银万国    ,3067,-23,光大期货    ,990,-78,国信期货    ,1214,20
20141230,IF1506                        ,9,南华期货    ,2724,-726,方正中期    ,943,298,海通期货    ,725,46
20141230,IF1506                        ,10,兴证期货    ,2659,-1715,北京首创    ,822,-6,光大期货    ,711,39
20141230,IF1506                        ,11,五矿期货    ,2266,-244,中投天琪    ,750,-19,方正中期    ,690,29
20141230,IF1506                        ,12,浙商期货    ,2213,-641,中辉期货    ,748,506,上海东证    ,593,39
20141230,IF1506                        ,13,银河期货    ,2044,561,新湖期货    ,683,-41,银河期货    ,555,-107
20141230,IF1506                        ,14,浙江中大    ,1834,248,金元期货    ,653,-4,兴证期货    ,426,-120
20141230,IF1506                        ,15,华泰长城    ,1522,204,五矿期货    ,639,-38,财富期货    ,402,0
20141230,IF1506                        ,16,永安期货    ,1325,-279,招商期货    ,629,3,永安期货    ,362,-2
20141230,IF1506                        ,17,安信期货    ,1286,453,华泰长城    ,593,81,中银国际    ,305,0
20141230,IF1506                        ,18,方正中期    ,1285,525,长江期货    ,590,-29,宝城期货    ,293,-5
20141230,IF1506                        ,19,中国国际    ,1266,544,海通期货    ,547,-22,鲁证期货    ,204,4
20141230,IF1506                        ,20,大地期货    ,1143,705,上海中期    ,485,-11,华西期货    ,186,75
