交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150107,IF1501                        ,期货公司,2589870,-455586,114534,-12703,114534,-12703
20150107,IF1501                        ,非期货公司,0,0,0,0,0,0
20150107,IF1502                        ,期货公司,68876,-5374,18574,3925,18574,3925
20150107,IF1502                        ,非期货公司,0,0,0,0,0,0
20150107,IF1503                        ,期货公司,216108,-41582,67771,2661,67771,2661
20150107,IF1503                        ,非期货公司,0,0,0,0,0,0
20150107,IF1506                        ,期货公司,75158,-22844,30712,1654,30712,1654
20150107,IF1506                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150107,IF1501                        ,1,海通期货    ,166568,-36121,永安期货    ,7970,-445,中信期货    ,15277,-2453
20150107,IF1501                        ,2,中信期货    ,146154,-22022,海通期货    ,7765,-1716,国泰君安    ,8911,-130
20150107,IF1501                        ,3,国泰君安    ,141912,-13708,中信期货    ,6586,1475,海通期货    ,8096,-3656
20150107,IF1501                        ,4,招商期货    ,134680,-48381,国泰君安    ,5543,-1688,银河期货    ,4964,-815
20150107,IF1501                        ,5,华泰长城    ,107716,-24880,银河期货    ,4851,-491,申银万国    ,4801,-592
20150107,IF1501                        ,6,申银万国    ,101220,-14579,广发期货    ,4837,592,永安期货    ,4518,-176
20150107,IF1501                        ,7,南华期货    ,96889,-25561,光大期货    ,4357,-708,广发期货    ,4222,-314
20150107,IF1501                        ,8,兴证期货    ,96677,-13612,一德期货    ,3749,351,华泰长城    ,3818,-1093
20150107,IF1501                        ,9,光大期货    ,94616,-32318,浙商期货    ,3454,58,光大期货    ,3804,68
20150107,IF1501                        ,10,广发期货    ,74020,-19064,华泰长城    ,3454,-251,上海东证    ,3644,-413
20150107,IF1501                        ,11,方正中期    ,70861,-14900,安信期货    ,3052,-105,南华期货    ,3575,-1399
20150107,IF1501                        ,12,上海东证    ,67827,-16252,鲁证期货    ,2967,69,鲁证期货    ,3018,-229
20150107,IF1501                        ,13,华鑫期货    ,63562,-1528,兴证期货    ,2684,210,财富期货    ,2684,-579
