交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150113,IF1501                        ,期货公司,2209930,-327452,77162,-4295,77162,-4295
20150113,IF1501                        ,非期货公司,0,0,0,0,0,0
20150113,IF1502                        ,期货公司,226902,46918,46733,11342,46733,11342
20150113,IF1502                        ,非期货公司,0,0,0,0,0,0
20150113,IF1503                        ,期货公司,201024,-78824,63864,1657,63864,1657
20150113,IF1503                        ,非期货公司,0,0,0,0,0,0
20150113,IF1506                        ,期货公司,60720,-22032,34380,587,34380,587
20150113,IF1506                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150113,IF1501                        ,1,招商期货    ,138115,-8376,中信期货    ,7125,-889,中信期货    ,10881,60
20150113,IF1501                        ,2,海通期货    ,133682,-35315,光大期货    ,4407,-206,海通期货    ,8700,1237
20150113,IF1501                        ,3,中信期货    ,123113,-7063,海通期货    ,4124,575,国泰君安    ,7923,-288
20150113,IF1501                        ,4,国泰君安    ,104745,-23412,永安期货    ,3745,-16,光大期货    ,4364,-22
20150113,IF1501                        ,5,申银万国    ,97717,-13340,兴证期货    ,3082,370,申银万国    ,3271,-126
20150113,IF1501                        ,6,南华期货    ,97372,-17093,安信期货    ,3030,-144,华泰长城    ,3079,-736
20150113,IF1501                        ,7,华泰长城    ,94171,-17750,浙商期货    ,2993,-52,广发期货    ,2540,-149
20150113,IF1501                        ,8,兴证期货    ,77609,-13334,方正中期    ,2934,-91,方正中期    ,2318,468
20150113,IF1501                        ,9,光大期货    ,72232,-27246,银河期货    ,2783,200,银河期货    ,2144,112
20150113,IF1501                        ,10,方正中期    ,66455,-5223,国泰君安    ,2753,-787,永安期货    ,2104,-322
20150113,IF1501                        ,11,上海东证    ,63468,-6555,广发期货    ,2541,-77,财富期货    ,2027,441
20150113,IF1501                        ,12,华鑫期货    ,61349,-2421,招商期货    ,2216,941,南华期货    ,1978,-365
20150113,IF1501                        ,13,广发期货    ,59638,-13296,鲁证期货    ,2213,-358,鲁证期货    ,1920,-399
20150113,IF1501                        ,14,瑞达期货    ,49914,-1183,宏源期货    ,1977,-413,上海东证    ,1881,-21
20150113,IF1501                        ,15,五矿期货    ,45171,-9583,国海良时    ,1570,-51,兴证期货    ,1184,345
20150113,IF1501                        ,16,银河期货    ,44904,-8887,宝城期货    ,1524,92,中信建投    ,1150,0
20150113,IF1501                        ,17,大有期货    ,42867,-9520,华泰长城    ,1394,-603,格林大华    ,1132,20
20150113,IF1501                        ,18,永安期货    ,39254,-10822,一德期货    ,1376,26,国信期货    ,878,-528
20150113,IF1501                        ,19,鲁证期货    ,33917,-2733,上海东证    ,1370,-1127,招商期货    ,859,-1520
20150113,IF1501                        ,20,浙商期货    ,26809,-5038,瑞达期货    ,1297,-55,五矿期货    ,770,-36
20150113,IF1502                        ,1,海通期货    ,28649,4648,国泰君安    ,5200,471,海通期货    ,8908,1917
