交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150119,IF1502                        ,期货公司,2126648,-250688,117624,3182,117624,3182
20150119,IF1502                        ,非期货公司,0,0,0,0,0,0
20150119,IF1503                        ,期货公司,334040,35216,64865,-1913,64865,-1913
20150119,IF1503                        ,非期货公司,0,0,0,0,0,0
20150119,IF1506                        ,期货公司,105622,22388,38748,-1155,38748,-1155
20150119,IF1506                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150119,IF1502                        ,1,海通期货    ,140468,-11772,国泰君安    ,8535,1255,海通期货    ,13855,809
20150119,IF1502                        ,2,中信期货    ,131504,8331,海通期货    ,6638,-1241,中信期货    ,12127,-76
20150119,IF1502                        ,3,招商期货    ,107777,-30971,中信期货    ,6620,-3986,国泰君安    ,10510,976
20150119,IF1502                        ,4,国泰君安    ,96289,-28423,银河期货    ,5423,-1011,财富期货    ,6624,-422
20150119,IF1502                        ,5,华泰长城    ,92892,-13564,招商期货    ,5207,3357,永安期货    ,6187,-211
20150119,IF1502                        ,6,申银万国    ,90330,-524,方正中期    ,4541,491,广发期货    ,5356,1415
20150119,IF1502                        ,7,光大期货    ,87038,17752,光大期货    ,4390,-1185,银河期货    ,4698,-288
20150119,IF1502                        ,8,兴证期货    ,83387,-12337,鲁证期货    ,3887,-411,华泰长城    ,4583,693
20150119,IF1502                        ,9,南华期货    ,82550,-5138,华泰长城    ,3780,-129,光大期货    ,3187,-565
20150119,IF1502                        ,10,广发期货    ,68344,1499,永安期货    ,3742,-1780,上海东证    ,3094,829
20150119,IF1502                        ,11,上海东证    ,61622,-17433,申银万国    ,3424,1146,南华期货    ,2697,-638
20150119,IF1502                        ,12,方正中期    ,55391,-4228,倍特期货    ,3256,2134,申银万国    ,2646,-830
20150119,IF1502                        ,13,华鑫期货    ,52302,-15400,安信期货    ,2959,-403,浙商期货    ,2592,536
20150119,IF1502                        ,14,五矿期货    ,46427,-7097,国信期货    ,2664,1597,兴证期货    ,2473,551
20150119,IF1502                        ,15,瑞达期货    ,44426,-14144,广发期货    ,2472,-361,方正中期    ,2054,1024
20150119,IF1502                        ,16,大有期货    ,42163,-9854,南华期货    ,2371,510,鲁证期货    ,2027,-203
20150119,IF1502                        ,17,银河期货    ,41637,-13292,浙商期货    ,2361,-640,国信期货    ,1950,-279
20150119,IF1502                        ,18,永安期货    ,41101,-11791,中国国际    ,2199,807,中银国际    ,1891,-42
20150119,IF1502                        ,19,鲁证期货    ,29378,-8338,兴证期货    ,2151,-110,国金期货    ,1870,59
20150119,IF1502                        ,20,浙商期货    ,26924,-357,国海良时    ,2071,244,中信建投    ,1836,-386
20150119,IF1503                        ,1,海通期货    ,36105,5342,国泰君安    ,5892,6,中信期货    ,11030,-226
20150119,IF1503                        ,2,华西期货    ,24353,-1374,中信期货    ,4831,-495,海通期货    ,6797,197
20150119,IF1503                        ,3,华鑫期货    ,23810,1189,永安期货    ,4270,-31,国泰君安    ,6530,532
20150119,IF1503                        ,4,中信期货    ,23075,9300,方正中期    ,4232,352,银河期货    ,4333,471
20150119,IF1503                        ,5,招商期货    ,21155,10250,银河期货    ,4211,55,招商期货    ,4043,-327
20150119,IF1503                        ,6,光大期货    ,12462,3557,中国国际    ,2670,35,兴证期货    ,2780,2
20150119,IF1503                        ,7,国泰君安    ,11134,829,上海东证    ,2519,373,广发期货    ,2768,-65
20150119,IF1503                        ,8,上海中财    ,10220,4242,长江期货    ,2352,147,永安期货    ,1870,-49
