交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150130,IF1502                        ,期货公司,2749904,284496,104079,1667,104079,1667
20150130,IF1502                        ,非期货公司,0,0,0,0,0,0
20150130,IF1503                        ,期货公司,323498,51428,59705,-1534,59705,-1534
20150130,IF1503                        ,非期货公司,0,0,0,0,0,0
20150130,IF1506                        ,期货公司,88308,23344,39055,-1647,39055,-1647
20150130,IF1506                        ,非期货公司,0,0,0,0,0,0
20150130,IF1509                        ,期货公司,17196,4526,10248,652,10248,652
20150130,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150130,IF1502                        ,1,中信期货    ,183577,11675,中信期货    ,14787,1320,中信期货    ,14095,1611
20150130,IF1502                        ,2,海通期货    ,165711,13544,倍特期货    ,6122,-6,海通期货    ,10545,294
20150130,IF1502                        ,3,国泰君安    ,139725,10736,永安期货    ,5922,-622,国泰君安    ,8559,-487
20150130,IF1502                        ,4,招商期货    ,133152,18110,国泰君安    ,5641,796,财富期货    ,6261,-32
20150130,IF1502                        ,5,华泰长城    ,114710,13441,银河期货    ,5195,1095,华泰长城    ,4622,-29
20150130,IF1502                        ,6,南华期货    ,111927,16260,海通期货    ,3968,-1593,南华期货    ,4244,258
20150130,IF1502                        ,7,申银万国    ,105989,12272,光大期货    ,3769,1035,银河期货    ,3925,375
20150130,IF1502                        ,8,广发期货    ,96657,14749,浙商期货    ,3634,-1042,申银万国    ,3781,218
20150130,IF1502                        ,9,光大期货    ,95471,12318,广发期货    ,3249,139,广发期货    ,3752,508
20150130,IF1502                        ,10,兴证期货    ,95037,3983,申银万国    ,3060,435,光大期货    ,3258,-232
20150130,IF1502                        ,11,方正中期    ,78121,10449,上海东证    ,2529,1195,永安期货    ,3050,-659
20150130,IF1502                        ,12,上海东证    ,71542,-7055,南华期货    ,2443,121,兴证期货    ,2238,726
20150130,IF1502                        ,13,五矿期货    ,71131,25521,鲁证期货    ,2184,707,鲁证期货    ,2218,498
20150130,IF1502                        ,14,银河期货    ,64532,8134,华泰长城    ,2040,-673,上海东证    ,1968,-195
20150130,IF1502                        ,15,瑞达期货    ,64303,5110,一德期货    ,1855,431,方正中期    ,1893,292
20150130,IF1502                        ,16,永安期货    ,56349,13017,安信期货    ,1849,-297,国信期货    ,1849,-254
20150130,IF1502                        ,17,华鑫期货    ,54580,4272,大地期货    ,1841,236,中银国际    ,1848,25
20150130,IF1502                        ,18,大有期货    ,47516,4656,招商期货    ,1759,-266,中信建投    ,1792,116
20150130,IF1502                        ,19,浙商期货    ,41920,9098,方正中期    ,1725,923,格林大华    ,1547,1204
20150130,IF1502                        ,20,鲁证期货    ,41279,9696,兴证期货    ,1719,-323,华西期货    ,1097,-28
20150130,IF1503                        ,1,海通期货    ,30084,1271,国泰君安    ,5656,-176,海通期货    ,7284,938
20150130,IF1503                        ,2,华鑫期货    ,22306,3180,永安期货    ,3544,-69,中信期货    ,7007,-577
20150130,IF1503                        ,3,招商期货    ,22287,3908,方正中期    ,3332,-55,国泰君安    ,6488,-173
20150130,IF1503                        ,4,华西期货    ,18768,2719,中信期货    ,3146,113,银河期货    ,4389,230
20150130,IF1503                        ,5,中信期货    ,17718,1073,银河期货    ,2846,-90,广发期货    ,3797,-82
20150130,IF1503                        ,6,新湖期货    ,12795,-832,申银万国    ,2488,88,招商期货    ,3033,-189
20150130,IF1503                        ,7,光大期货    ,11203,2393,格林大华    ,2417,377,东吴期货    ,2042,-73
20150130,IF1503                        ,8,国泰君安    ,10017,457,海通期货    ,1998,-174,永安期货    ,1944,-509
20150130,IF1503                        ,9,五矿期货    ,8724,3330,上海东证    ,1996,-73,上海东证    ,1842,-75
20150130,IF1503                        ,10,银河期货    ,8158,1338,华泰长城    ,1941,71,鲁证期货    ,1301,-44
20150130,IF1503                        ,11,兴证期货    ,7897,294,中国国际    ,1932,-29,长江期货    ,1301,-15
20150130,IF1503                        ,12,华泰长城    ,7054,2168,南华期货    ,1771,45,华泰长城    ,1276,61
20150130,IF1503                        ,13,南华期货    ,6683,1172,光大期货    ,1529,67,南华期货    ,1215,-158
20150130,IF1503                        ,14,上海东证    ,6542,1871,北京首创    ,1473,-157,光大期货    ,1111,-16
20150130,IF1503                        ,15,方正中期    ,5765,1284,五矿期货    ,1361,80,方正中期    ,1084,38
20150130,IF1503                        ,16,浙江中大    ,5697,2981,鲁证期货    ,1323,65,兴证期货    ,1063,29
20150130,IF1503                        ,17,国信期货    ,5426,1427,瑞达期货    ,1297,-83,申银万国    ,1061,-73
20150130,IF1503                        ,18,申银万国    ,5253,132,浙商期货    ,1276,-412,五矿期货    ,1030,112
20150130,IF1503                        ,19,宏源期货    ,5132,755,招商期货    ,990,18,安信期货    ,908,-167
20150130,IF1503                        ,20,浙商期货    ,5101,1565,中信建投    ,910,103,中信建投    ,750,42
20150130,IF1506                        ,1,海通期货    ,8551,1294,国泰君安    ,3362,-253,中信期货    ,6109,-93
20150130,IF1506                        ,2,华西期货    ,8318,2002,银河期货    ,2936,-6,招商期货    ,5095,-6
20150130,IF1506                        ,3,华鑫期货    ,8200,1279,永安期货    ,1986,-967,华泰长城    ,4339,-185
20150130,IF1506                        ,4,中信期货    ,5594,624,方正中期    ,1818,2,广发期货    ,3446,1
20150130,IF1506                        ,5,招商期货    ,4593,355,中信期货    ,1718,3,国泰君安    ,3383,-276
20150130,IF1506                        ,6,永安期货    ,3528,2471,鲁证期货    ,1678,-1,南华期货    ,1829,129
20150130,IF1506                        ,7,美尔雅     ,3452,2562,海通期货    ,1401,47,方正中期    ,1404,-118
20150130,IF1506                        ,8,五矿期货    ,3393,2317,北京首创    ,1365,27,永安期货    ,1384,-23
20150130,IF1506                        ,9,国泰君安    ,3213,753,中辉期货    ,1339,-24,海通期货    ,1179,-10
20150130,IF1506                        ,10,南华期货    ,3154,1604,申银万国    ,1204,-7,上海东证    ,884,34
20150130,IF1506                        ,11,兴证期货    ,3142,903,美尔雅     ,1057,-108,银河期货    ,856,-25
20150130,IF1506                        ,12,新湖期货    ,2868,130,光大期货    ,1056,5,宝城期货    ,623,-2
20150130,IF1506                        ,13,浙江中大    ,2103,660,中国国际    ,1054,-12,五矿期货    ,616,84
20150130,IF1506                        ,14,国信期货    ,1901,980,上海东证    ,1052,-11,国信期货    ,576,-9
20150130,IF1506                        ,15,光大期货    ,1827,497,新湖期货    ,1009,-1,兴证期货    ,571,108
20150130,IF1506                        ,16,申银万国    ,1455,510,瑞达期货    ,995,-1,新湖期货    ,494,-7
20150130,IF1506                        ,17,方正中期    ,1274,496,中粮期货    ,884,-2,申银万国    ,427,-124
20150130,IF1506                        ,18,华泰长城    ,1235,484,五矿期货    ,883,-101,中信建投    ,419,-17
20150130,IF1506                        ,19,宏源期货    ,1219,-310,华泰长城    ,817,-88,财富期货    ,402,0
20150130,IF1506                        ,20,浙商期货    ,1102,767,长江期货    ,728,-15,光大期货    ,367,-612
20150130,IF1509                        ,1,海通期货    ,2549,532,上海东证    ,1308,15,招商期货    ,1884,0
20150130,IF1509                        ,2,中信期货    ,2252,613,申银万国    ,807,81,中信期货    ,1409,411
20150130,IF1509                        ,3,华鑫期货    ,2021,759,银河期货    ,765,25,海通期货    ,1104,47
20150130,IF1509                        ,4,新湖期货    ,917,-205,海通期货    ,739,-8,光大期货    ,913,-6
20150130,IF1509                        ,5,兴证期货    ,864,229,国泰君安    ,474,17,华泰长城    ,552,0
20150130,IF1509                        ,6,南华期货    ,625,362,中信期货    ,412,47,海航东银    ,524,40
20150130,IF1509                        ,7,申银万国    ,615,292,宝城期货    ,354,14,兴证期货    ,521,-12
20150130,IF1509                        ,8,国泰君安    ,609,61,五矿期货    ,330,38,广发期货    ,496,1
20150130,IF1509                        ,9,五矿期货    ,396,146,兴证期货    ,317,2,国泰君安    ,342,-58
20150130,IF1509                        ,10,光大期货    ,382,130,华鑫期货    ,315,177,国信期货    ,335,0
20150130,IF1509                        ,11,国信期货    ,312,244,方正中期    ,288,11,方正中期    ,225,11
20150130,IF1509                        ,12,宏源期货    ,312,118,永安期货    ,273,17,银河期货    ,211,4
20150130,IF1509                        ,13,上海东证    ,302,100,华泰长城    ,258,22,南华期货    ,193,171
20150130,IF1509                        ,14,中融汇信    ,289,-27,中融汇信    ,238,53,瑞达期货    ,182,5
20150130,IF1509                        ,15,广发期货    ,256,155,光大期货    ,199,-6,格林大华    ,172,0
20150130,IF1509                        ,16,弘业期货    ,246,150,广发期货    ,166,29,中信建投    ,126,7
20150130,IF1509                        ,17,招商期货    ,234,15,招商期货    ,160,2,申银万国    ,125,38
20150130,IF1509                        ,18,中粮期货    ,201,121,中粮期货    ,139,26,永安期货    ,121,-6
20150130,IF1509                        ,19,西部期货    ,193,82,浙商期货    ,132,-3,金友期货    ,110,-6
20150130,IF1509                        ,20,北京首创    ,187,58,金瑞期货    ,127,49,和融期货    ,86,0
