交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150206,IF1502                        ,期货公司,2637382,-390154,102940,-9791,102940,-9791
20150206,IF1502                        ,非期货公司,0,0,0,0,0,0
20150206,IF1503                        ,期货公司,338656,-121548,67129,1096,67129,1096
20150206,IF1503                        ,非期货公司,0,0,0,0,0,0
20150206,IF1506                        ,期货公司,75184,-28886,38920,-117,38920,-117
20150206,IF1506                        ,非期货公司,0,0,0,0,0,0
20150206,IF1509                        ,期货公司,16306,-9646,15018,631,15018,631
20150206,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150206,IF1502                        ,1,海通期货    ,183235,-25779,永安期货    ,8737,-733,中信期货    ,11752,-51
20150206,IF1502                        ,2,中信期货    ,180201,-14065,中信期货    ,7073,-204,海通期货    ,11233,-489
20150206,IF1502                        ,3,招商期货    ,131036,-11033,国泰君安    ,6339,-131,国泰君安    ,8540,-1203
20150206,IF1502                        ,4,国泰君安    ,121858,-24861,倍特期货    ,6192,51,财富期货    ,5297,-266
20150206,IF1502                        ,5,华泰长城    ,108516,-12832,海通期货    ,4769,-844,南华期货    ,5162,-652
20150206,IF1502                        ,6,申银万国    ,105547,-15271,招商期货    ,4452,-809,华泰长城    ,4473,-695
20150206,IF1502                        ,7,南华期货    ,100974,-47960,银河期货    ,4071,-1134,广发期货    ,4054,-250
20150206,IF1502                        ,8,兴证期货    ,96525,-16302,浙商期货    ,3569,-301,方正中期    ,3909,673
20150206,IF1502                        ,9,广发期货    ,88291,-15184,光大期货    ,3154,-1117,申银万国    ,3152,101
20150206,IF1502                        ,10,光大期货    ,86443,-23367,申银万国    ,2515,116,银河期货    ,2989,-391
20150206,IF1502                        ,11,方正中期    ,80052,-5948,华泰长城    ,2297,-125,鲁证期货    ,2962,-155
20150206,IF1502                        ,12,华鑫期货    ,75817,-2794,上海东证    ,2279,9,光大期货    ,2819,-1224
20150206,IF1502                        ,13,上海东证    ,72815,-10568,南华期货    ,2203,-178,永安期货    ,2810,-248
20150206,IF1502                        ,14,瑞达期货    ,59966,-6683,广发期货    ,2124,87,中银国际    ,2188,12
20150206,IF1502                        ,15,五矿期货    ,56354,-13940,安信期货    ,1902,-289,上海东证    ,2112,-206
20150206,IF1502                        ,16,银河期货    ,53329,-10484,瑞达期货    ,1763,-31,兴证期货    ,1905,-451
20150206,IF1502                        ,17,大有期货    ,49559,-4524,大地期货    ,1733,95,中信建投    ,1587,-286
20150206,IF1502                        ,18,永安期货    ,45471,-10171,宏源期货    ,1683,-332,国信期货    ,1473,-192
20150206,IF1502                        ,19,鲁证期货    ,39540,-884,兴证期货    ,1635,196,安信期货    ,1216,-76
20150206,IF1502                        ,20,浙商期货    ,34025,-4870,鲁证期货    ,1555,-1105,招商期货    ,1166,97
20150206,IF1503                        ,1,海通期货    ,33302,-3206,中信期货    ,7714,-501,中信期货    ,8308,115
20150206,IF1503                        ,2,华鑫期货    ,25722,-5454,国泰君安    ,5779,163,海通期货    ,7670,178
20150206,IF1503                        ,3,中信期货    ,20882,-13784,永安期货    ,5595,-6,国泰君安    ,6103,-205
20150206,IF1503                        ,4,招商期货    ,15511,-8917,银河期货    ,3868,509,广发期货    ,4740,378
