交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150213,IF1502                        ,期货公司,1741170,107160,63779,-15378,63779,-15378
20150213,IF1502                        ,非期货公司,0,0,0,0,0,0
20150213,IF1503                        ,期货公司,933886,457554,114182,7003,114182,7003
20150213,IF1503                        ,非期货公司,0,0,0,0,0,0
20150213,IF1506                        ,期货公司,75954,28676,42776,-1075,42776,-1075
20150213,IF1506                        ,非期货公司,0,0,0,0,0,0
20150213,IF1509                        ,期货公司,14680,4434,18964,471,18964,471
20150213,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150213,IF1502                        ,1,海通期货    ,151215,29504,中信期货    ,6538,-1144,中信期货    ,8083,-3279
20150213,IF1502                        ,2,中信期货    ,104513,6083,海通期货    ,5853,1802,国泰君安    ,7640,-779
20150213,IF1502                        ,3,国泰君安    ,92662,2670,倍特期货    ,5834,-134,海通期货    ,6697,-1189
20150213,IF1502                        ,4,招商期货    ,74174,12456,光大期货    ,4585,1105,财富期货    ,3377,-479
20150213,IF1502                        ,5,兴证期货    ,68635,12070,国泰君安    ,3118,-1095,华泰长城    ,3160,-655
20150213,IF1502                        ,6,申银万国    ,65969,-2132,方正中期    ,2893,998,南华期货    ,2516,-386
20150213,IF1502                        ,7,华泰长城    ,60574,-12201,招商期货    ,1795,161,鲁证期货    ,2162,-798
20150213,IF1502                        ,8,华鑫期货    ,58692,6300,浙商期货    ,1570,-1311,光大期货    ,1900,-382
20150213,IF1502                        ,9,南华期货    ,56840,3866,安信期货    ,1570,-1602,银河期货    ,1877,-369
20150213,IF1502                        ,10,方正中期    ,56477,-2110,申银万国    ,1555,-423,兴证期货    ,1775,-163
20150213,IF1502                        ,11,广发期货    ,48126,350,瑞达期货    ,1449,-186,永安期货    ,1519,-259
20150213,IF1502                        ,12,上海东证    ,46675,-2120,宏源期货    ,1447,-82,上海东证    ,1407,-522
20150213,IF1502                        ,13,银河期货    ,44852,9083,中银国际    ,1427,-203,国信期货    ,1245,-285
20150213,IF1502                        ,14,瑞达期货    ,42261,2574,兴证期货    ,1399,-318,中信建投    ,1201,-407
20150213,IF1502                        ,15,光大期货    ,41271,-991,华泰长城    ,1386,-919,广发期货    ,1171,-819
20150213,IF1502                        ,16,永安期货    ,36432,9402,永安期货    ,1311,-3241,申银万国    ,1108,-186
20150213,IF1502                        ,17,大有期货    ,35002,7679,南华期货    ,1185,-524,华西期货    ,1032,318
20150213,IF1502                        ,18,鲁证期货    ,29840,2563,一德期货    ,1097,45,国金期货    ,1007,-242
20150213,IF1502                        ,19,浙商期货    ,29724,5474,银河期货    ,1053,-533,东海期货    ,952,-443
20150213,IF1502                        ,20,五矿期货    ,28243,-293,上海东证    ,910,-1619,中银国际    ,927,-284
20150213,IF1503                        ,1,海通期货    ,70841,30065,中信期货    ,9760,-2545,中信期货    ,13504,140
20150213,IF1503                        ,2,中信期货    ,52967,24640,永安期货    ,8836,470,海通期货    ,11756,930
20150213,IF1503                        ,3,国泰君安    ,48630,26825,国泰君安    ,8658,437,国泰君安    ,9307,545
20150213,IF1503                        ,4,华西期货    ,45736,21112,海通期货    ,7030,1019,广发期货    ,8082,380
20150213,IF1503                        ,5,华鑫期货    ,36281,5529,方正中期    ,5477,1465,银河期货    ,6562,-48
20150213,IF1503                        ,6,华泰长城    ,32342,22246,银河期货    ,5218,-278,招商期货    ,4631,29
20150213,IF1503                        ,7,光大期货    ,32303,15012,申银万国    ,4846,904,永安期货    ,4384,190
20150213,IF1503                        ,8,招商期货    ,30741,18937,格林大华    ,4141,417,鲁证期货    ,3991,565
20150213,IF1503                        ,9,方正中期    ,30224,19960,上海东证    ,3552,1399,中银国际    ,3691,259
20150213,IF1503                        ,10,银河期货    ,28990,14172,南华期货    ,3341,925,上海东证    ,3519,-201
20150213,IF1503                        ,11,申银万国    ,27096,13985,浙商期货    ,2773,-981,申银万国    ,3497,160
20150213,IF1503                        ,12,永安期货    ,21734,9830,华泰长城    ,2427,499,兴证期货    ,3472,341
20150213,IF1503                        ,13,兴证期货    ,21407,9656,鲁证期货    ,2366,628,华泰长城    ,3290,339
20150213,IF1503                        ,14,上海东证    ,20322,14476,光大期货    ,2290,434,财富期货    ,3211,368
20150213,IF1503                        ,15,五矿期货    ,20110,10371,中国国际    ,2248,18,南华期货    ,3001,404
20150213,IF1503                        ,16,鲁证期货    ,19759,13452,新湖期货    ,2073,396,方正中期    ,2361,943
20150213,IF1503                        ,17,中融汇信    ,18908,9970,招商期货    ,1951,228,国金期货    ,2276,440
20150213,IF1503                        ,18,南华期货    ,18617,8866,大地期货    ,1773,-536,光大期货    ,1718,-189
20150213,IF1503                        ,19,浙商期货    ,16869,7659,长江期货    ,1716,-162,东吴期货    ,1675,22
20150213,IF1503                        ,20,西部期货    ,16231,9078,宝城期货    ,1645,35,国信期货    ,1326,155
20150213,IF1506                        ,1,华西期货    ,7404,3310,国泰君安    ,3924,-38,中信期货    ,6430,170
20150213,IF1506                        ,2,华鑫期货    ,6025,1529,银河期货    ,3498,-28,广发期货    ,4242,135
