交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150318,IF1503                        ,期货公司,1952676,-246802,47251,-38526,47251,-38526
20150318,IF1503                        ,非期货公司,0,0,0,0,0,0
20150318,IF1504                        ,期货公司,868226,436776,105499,31345,105499,31345
20150318,IF1504                        ,非期货公司,0,0,0,0,0,0
20150318,IF1506                        ,期货公司,172702,22060,67154,3476,67154,3476
20150318,IF1506                        ,非期货公司,0,0,0,0,0,0
20150318,IF1509                        ,期货公司,28956,3192,32641,697,32641,697
20150318,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150318,IF1503                        ,1,中信期货    ,140570,-12720,中信期货    ,3594,-6821,中信期货    ,4577,-2251
20150318,IF1503                        ,2,海通期货    ,123740,-26205,国泰君安    ,3354,-1278,永安期货    ,3463,-1580
20150318,IF1503                        ,3,国泰君安    ,84112,-10808,海通期货    ,2789,-2643,国泰君安    ,3029,-1396
20150318,IF1503                        ,4,申银万国    ,78041,-4440,南华期货    ,2678,-414,兴证期货    ,2760,-1418
20150318,IF1503                        ,5,华鑫期货    ,77471,-1532,光大期货    ,2368,-1154,银河期货    ,2690,-2770
20150318,IF1503                        ,6,光大期货    ,76817,13540,鲁证期货    ,2100,241,华泰长城    ,2332,-673
20150318,IF1503                        ,7,招商期货    ,74909,-5398,华泰长城    ,1861,-740,财富期货    ,2179,-1787
20150318,IF1503                        ,8,华泰长城    ,74029,-15502,永安期货    ,1823,-2260,广发期货    ,1792,-2892
20150318,IF1503                        ,9,方正中期    ,67794,-6588,招商期货    ,1547,360,海通期货    ,1779,-3809
20150318,IF1503                        ,10,兴证期货    ,67521,-9738,格林大华    ,1486,-624,申银万国    ,1766,-2026
20150318,IF1503                        ,11,南华期货    ,66325,3387,广发期货    ,1424,-1454,方正中期    ,1605,-288
20150318,IF1503                        ,12,银河期货    ,62403,143,申银万国    ,1301,-949,鲁证期货    ,1277,-1964
20150318,IF1503                        ,13,瑞达期货    ,60585,-4689,兴证期货    ,1206,-589,南华期货    ,1111,-1089
20150318,IF1503                        ,14,广发期货    ,56108,-9432,上海东证    ,902,-1761,中信建投    ,1111,-1008
20150318,IF1503                        ,15,上海东证    ,45933,-14711,银河期货    ,899,-2989,东吴期货    ,992,-70
20150318,IF1503                        ,16,鲁证期货    ,34129,-4237,南证期货    ,861,-274,中银国际    ,806,-439
20150318,IF1503                        ,17,大有期货    ,32961,-3334,中信建投    ,784,-214,光大期货    ,803,-523
20150318,IF1503                        ,18,五矿期货    ,30976,2360,新湖期货    ,730,-1288,国都期货    ,712,-43
20150318,IF1503                        ,19,永安期货    ,30668,-8863,浙商期货    ,682,-151,中投天琪    ,708,-50
20150318,IF1503                        ,20,浙商期货    ,26863,-3816,万达期货    ,661,-223,招商期货    ,677,-485
20150318,IF1504                        ,1,海通期货    ,89913,34280,中信期货    ,8194,4560,海通期货    ,13382,1531
20150318,IF1504                        ,2,中信期货    ,70955,47705,海通期货    ,7842,1738,中信期货    ,11542,3217
20150318,IF1504                        ,3,国泰君安    ,41521,21563,永安期货    ,6232,620,国泰君安    ,7076,1393
20150318,IF1504                        ,4,华西期货    ,35252,14245,倍特期货    ,5925,52,广发期货    ,6553,1919
20150318,IF1504                        ,5,光大期货    ,31771,14709,光大期货    ,5462,2306,银河期货    ,4628,2924
20150318,IF1504                        ,6,申银万国    ,30567,18730,银河期货    ,3865,762,财富期货    ,4462,1636
