交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150423,IF1505                        ,期货公司,2895568,373614,96785,-12884,96785,-12884
20150423,IF1505                        ,非期货公司,0,0,0,0,0,0
20150423,IF1506                        ,期货公司,346700,37274,64658,-631,64658,-631
20150423,IF1506                        ,非期货公司,0,0,0,0,0,0
20150423,IF1509                        ,期货公司,61736,13102,31685,621,31685,621
20150423,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150423,IF1505                        ,1,中信期货    ,246183,43277,中信期货    ,10259,-793,海通期货    ,9957,106
20150423,IF1505                        ,2,海通期货    ,185052,21702,光大期货    ,6732,-1219,中信期货    ,6457,-2294
20150423,IF1505                        ,3,国泰君安    ,136132,23543,永安期货    ,5225,578,财富期货    ,5409,-27
20150423,IF1505                        ,4,南华期货    ,124528,8430,海通期货    ,5069,-3554,广发期货    ,5194,358
20150423,IF1505                        ,5,申银万国    ,120729,12265,银河期货    ,4308,585,国泰君安    ,5136,-170
20150423,IF1505                        ,6,华泰长城    ,117588,2840,国泰君安    ,4207,-786,银河期货    ,4356,-480
20150423,IF1505                        ,7,光大期货    ,111357,35356,浙商期货    ,3523,-556,申银万国    ,4070,-356
20150423,IF1505                        ,8,兴证期货    ,105473,13414,申银万国    ,3191,319,华泰长城    ,3601,-609
20150423,IF1505                        ,9,方正中期    ,104149,9555,广发期货    ,3038,505,光大期货    ,3153,-642
20150423,IF1505                        ,10,广发期货    ,81521,12054,格林大华    ,2938,-364,方正中期    ,2918,245
20150423,IF1505                        ,11,华鑫期货    ,78793,11116,上海东证    ,2851,1609,永安期货    ,2662,-1281
20150423,IF1505                        ,12,招商期货    ,74446,4824,宝城期货    ,2841,-41,鲁证期货    ,2653,-477
20150423,IF1505                        ,13,银河期货    ,72763,16284,华泰长城    ,1992,-477,东海期货    ,2625,-647
20150423,IF1505                        ,14,上海东证    ,71985,16209,东兴期货    ,1887,-72,南华期货    ,2287,60
20150423,IF1505                        ,15,瑞达期货    ,71164,11009,南华期货    ,1841,-112,中银国际    ,2003,-1667
20150423,IF1505                        ,16,五矿期货    ,62971,203,国投中谷    ,1757,-16,上海东证    ,1966,-782
20150423,IF1505                        ,17,永安期货    ,50857,4982,招商期货    ,1728,304,兴证期货    ,1756,-415
20150423,IF1505                        ,18,大有期货    ,50805,13068,国海良时    ,1694,-483,国金期货    ,1699,-143
20150423,IF1505                        ,19,浙商期货    ,47393,8556,财富期货    ,1566,-22,安信期货    ,1616,-683
20150423,IF1505                        ,20,鲁证期货    ,46817,7608,兴证期货    ,1537,-442,中信建投    ,1609,-326
20150423,IF1506                        ,1,海通期货    ,43529,4991,中信期货    ,11037,10,中信期货    ,9614,1065
20150423,IF1506                        ,2,招商期货    ,26723,10546,倍特期货    ,8450,-16,国泰君安    ,6809,-160
20150423,IF1506                        ,3,中信期货    ,22049,3174,光大期货    ,2870,482,华泰长城    ,4040,-163
20150423,IF1506                        ,4,光大期货    ,19074,4917,格林大华    ,2562,109,国信期货    ,3351,545
20150423,IF1506                        ,5,西部期货    ,16525,5939,宏源期货    ,2481,76,银河期货    ,3334,-104
20150423,IF1506                        ,6,五矿期货    ,14366,224,中银国际    ,2168,4,永安期货    ,2454,135
20150423,IF1506                        ,7,华鑫期货    ,12879,-11156,瑞达期货    ,2136,256,中银国际    ,2263,1791
20150423,IF1506                        ,8,华西期货    ,12486,96,海通期货    ,2130,322,长江期货    ,2063,-19
20150423,IF1506                        ,9,南华期货    ,10704,163,银河期货    ,2088,101,光大期货    ,1979,158
20150423,IF1506                        ,10,国泰君安    ,10182,1043,方正中期    ,2014,-1316,招商期货    ,1819,-361
20150423,IF1506                        ,11,新湖期货    ,9379,-504,安信期货    ,1973,13,五矿期货    ,1608,60
20150423,IF1506                        ,12,方正中期    ,7730,2003,一德期货    ,1670,-3,鲁证期货    ,1565,24
20150423,IF1506                        ,13,华泰长城    ,7180,1266,永安期货    ,1651,24,海通期货    ,1329,-503
20150423,IF1506                        ,14,兴证期货    ,6987,-381,申银万国    ,1604,18,东吴期货    ,1305,-132
20150423,IF1506                        ,15,银河期货    ,5627,468,国泰君安    ,1503,-24,中信建投    ,1282,-78
20150423,IF1506                        ,16,上海东证    ,5196,1326,浙商期货    ,998,30,申银万国    ,1194,31
20150423,IF1506                        ,17,瑞达期货    ,4954,1901,华泰长城    ,964,-1,广发期货    ,1130,-585
20150423,IF1506                        ,18,浙商期货    ,4825,120,南华期货    ,917,117,新湖期货    ,1107,6
20150423,IF1506                        ,19,国信期货    ,4754,-564,上海东证    ,744,-130,安信期货    ,1059,5
20150423,IF1506                        ,20,广发期货    ,4696,1445,中粮期货    ,702,4,方正中期    ,827,-524
20150423,IF1509                        ,1,海通期货    ,7289,3300,申银万国    ,2836,109,招商期货    ,7101,-26
20150423,IF1509                        ,2,中信期货    ,4446,858,海通期货    ,2399,-43,广发期货    ,4645,549
20150423,IF1509                        ,3,招商期货    ,3765,37,银河期货    ,2313,24,海通期货    ,3516,-58
20150423,IF1509                        ,4,新湖期货    ,3584,1273,国泰君安    ,1776,101,中信期货    ,3137,108
20150423,IF1509                        ,5,华鑫期货    ,3486,-1184,中信期货    ,1440,-32,国泰君安    ,2735,-12
20150423,IF1509                        ,6,华西期货    ,2953,479,浙商期货    ,1353,-6,上海东证    ,1426,3
20150423,IF1509                        ,7,中大期货    ,2914,-369,上海东证    ,1166,-121,华泰长城    ,1348,-49
20150423,IF1509                        ,8,光大期货    ,2581,458,南华期货    ,1083,-44,南华期货    ,917,-42
20150423,IF1509                        ,9,兴证期货    ,2169,213,中融汇信    ,958,-1,永安期货    ,901,189
20150423,IF1509                        ,10,南华期货    ,2094,710,方正中期    ,928,4,银河期货    ,641,9
20150423,IF1509                        ,11,广发期货    ,1599,727,格林大华    ,874,751,国信期货    ,601,-16
20150423,IF1509                        ,12,西部期货    ,1496,416,广发期货    ,863,124,光大期货    ,439,2
20150423,IF1509                        ,13,格林大华    ,1387,833,华泰长城    ,750,29,格林大华    ,424,20
20150423,IF1509                        ,14,国泰君安    ,1375,190,光大期货    ,694,125,鲁证期货    ,416,-5
20150423,IF1509                        ,15,申银万国    ,1375,653,招商期货    ,673,33,方正中期    ,359,-51
20150423,IF1509                        ,16,宏源期货    ,1257,336,新湖期货    ,621,5,申银万国    ,348,34
