交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150428,IF1505                        ,期货公司,2877092,224364,89600,-12886,89600,-12886
20150428,IF1505                        ,非期货公司,0,0,0,0,0,0
20150428,IF1506                        ,期货公司,325536,8810,64229,-1851,64229,-1851
20150428,IF1506                        ,非期货公司,0,0,0,0,0,0
20150428,IF1509                        ,期货公司,74316,2102,31179,-146,31179,-146
20150428,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150428,IF1505                        ,1,中信期货    ,299694,57701,光大期货    ,7375,-1180,海通期货    ,8482,-1368
20150428,IF1505                        ,2,海通期货    ,185077,9646,中信期货    ,7052,208,国泰君安    ,7859,2479
20150428,IF1505                        ,3,国泰君安    ,127271,7012,永安期货    ,5764,-250,中信期货    ,6797,-1650
20150428,IF1505                        ,4,申银万国    ,127147,5340,国泰君安    ,5316,-30,财富期货    ,4542,-999
20150428,IF1505                        ,5,南华期货    ,114638,-6992,广发期货    ,4868,2233,广发期货    ,4092,-536
20150428,IF1505                        ,6,华泰长城    ,112816,-7849,海通期货    ,4389,-3745,银河期货    ,3858,-913
20150428,IF1505                        ,7,方正中期    ,103971,16733,浙商期货    ,3011,-1123,申银万国    ,3563,-681
20150428,IF1505                        ,8,兴证期货    ,102972,9371,申银万国    ,2818,-248,永安期货    ,3136,-708
20150428,IF1505                        ,9,光大期货    ,94763,-7400,宝城期货    ,2528,-611,华泰长城    ,3021,-1103
20150428,IF1505                        ,10,广发期货    ,91207,3362,上海东证    ,2342,841,光大期货    ,2900,-255
20150428,IF1505                        ,11,华鑫期货    ,90088,18219,方正中期    ,2280,-2953,鲁证期货    ,2738,20
20150428,IF1505                        ,12,上海东证    ,69010,5064,银河期货    ,2121,-1281,上海东证    ,2109,-161
20150428,IF1505                        ,13,银河期货    ,67840,9581,华泰长城    ,2047,353,方正中期    ,1989,-348
20150428,IF1505                        ,14,瑞达期货    ,67274,5246,招商期货    ,1944,213,中银国际    ,1913,-38
20150428,IF1505                        ,15,五矿期货    ,64254,2579,鲁证期货    ,1924,213,中国国际    ,1811,-374
20150428,IF1505                        ,16,招商期货    ,63256,1400,兴证期货    ,1757,-117,兴证期货    ,1744,-767
20150428,IF1505                        ,17,永安期货    ,50142,9531,南华期货    ,1712,-92,南华期货    ,1739,-1284
20150428,IF1505                        ,18,鲁证期货    ,49599,3639,财富期货    ,1629,41,中投天琪    ,1440,95
20150428,IF1505                        ,19,大有期货    ,46161,5831,东兴期货    ,1400,-52,国信期货    ,1414,-29
20150428,IF1505                        ,20,浙商期货    ,43739,6266,国投中谷    ,1385,-29,中信建投    ,1261,-411
20150428,IF1506                        ,1,海通期货    ,38014,-4158,中信期货    ,10698,-114,中信期货    ,8857,-663
