交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150504,IF1505                        ,期货公司,2028818,-388736,94572,1975,94572,1975
20150504,IF1505                        ,非期货公司,0,0,0,0,0,0
20150504,IF1506                        ,期货公司,225844,-30762,63525,1002,63525,1002
20150504,IF1506                        ,非期货公司,0,0,0,0,0,0
20150504,IF1509                        ,期货公司,47266,-6824,30330,539,30330,539
20150504,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150504,IF1505                        ,1,中信期货    ,237089,-21704,光大期货    ,8391,1353,海通期货    ,11206,3175
20150504,IF1505                        ,2,海通期货    ,124153,-14565,海通期货    ,7566,1442,中信期货    ,8541,74
20150504,IF1505                        ,3,申银万国    ,95719,-14728,中信期货    ,7273,203,银河期货    ,6397,1112
20150504,IF1505                        ,4,华泰长城    ,92257,-12510,永安期货    ,7039,44,财富期货    ,5297,77
20150504,IF1505                        ,5,国泰君安    ,90035,-20042,国泰君安    ,5363,603,永安期货    ,4138,784
20150504,IF1505                        ,6,南华期货    ,74529,-16155,广发期货    ,3682,521,广发期货    ,4114,-196
20150504,IF1505                        ,7,兴证期货    ,74027,-9605,浙商期货    ,3536,457,申银万国    ,3979,-250
20150504,IF1505                        ,8,方正中期    ,65952,-22092,方正中期    ,3304,881,华泰长城    ,3875,-305
20150504,IF1505                        ,9,华鑫期货    ,60704,-4896,申银万国    ,3211,301,光大期货    ,3329,-20
20150504,IF1505                        ,10,光大期货    ,59479,-19255,招商期货    ,2244,58,国泰君安    ,3200,-1266
20150504,IF1505                        ,11,上海东证    ,57741,445,华泰长城    ,2186,604,南华期货    ,2305,-447
20150504,IF1505                        ,12,广发期货    ,54935,-11102,上海东证    ,2142,-665,鲁证期货    ,2181,-401
20150504,IF1505                        ,13,银河期货    ,51816,-15879,银河期货    ,1996,-1266,兴证期货    ,1978,-363
20150504,IF1505                        ,14,瑞达期货    ,48585,-15581,宝城期货    ,1984,-1005,东海期货    ,1929,-37
20150504,IF1505                        ,15,五矿期货    ,41730,-2345,国海良时    ,1830,417,中银国际    ,1678,-179
20150504,IF1505                        ,16,永安期货    ,36080,-22685,南华期货    ,1813,184,上海东证    ,1645,2
20150504,IF1505                        ,17,招商期货    ,34781,-14619,弘业期货    ,1654,317,中信建投    ,1606,212
20150504,IF1505                        ,18,大有期货    ,33116,-15323,中信建投    ,1633,-74,方正中期    ,1531,-71
20150504,IF1505                        ,19,鲁证期货    ,33023,-5342,兴证期货    ,1632,388,中国国际    ,1524,-268
20150504,IF1505                        ,20,浙商期货    ,28954,-4612,国信期货    ,1294,-365,国信期货    ,1297,-30
20150504,IF1506                        ,1,海通期货    ,26990,-3602,中信期货    ,10503,-255,中信期货    ,8893,58
20150504,IF1506                        ,2,中信期货    ,17863,-3151,倍特期货    ,8567,-14,国泰君安    ,7157,139
20150504,IF1506                        ,3,华鑫期货    ,16888,-266,银河期货    ,2557,358,华泰长城    ,3835,179
20150504,IF1506                        ,4,招商期货    ,13587,-6165,光大期货    ,2328,16,银河期货    ,3328,19
20150504,IF1506                        ,5,光大期货    ,12497,595,宏源期货    ,2328,34,长江期货    ,2717,11
20150504,IF1506                        ,6,西部期货    ,10495,-4933,中银国际    ,2152,8,中银国际    ,2345,199
20150504,IF1506                        ,7,五矿期货    ,10058,3466,永安期货    ,2149,19,国信期货    ,2157,-540
20150504,IF1506                        ,8,南华期货    ,7357,101,海通期货    ,2099,127,永安期货    ,2078,107
20150504,IF1506                        ,9,兴证期货    ,6577,-382,安信期货    ,2067,11,新湖期货    ,1896,281
20150504,IF1506                        ,10,国泰君安    ,5375,-1578,瑞达期货    ,1912,-135,招商期货    ,1840,42
20150504,IF1506                        ,11,银河期货    ,4777,123,方正中期    ,1906,-76,五矿期货    ,1597,-32
20150504,IF1506                        ,12,华泰长城    ,3811,-352,国泰君安    ,1820,88,广发期货    ,1525,14
20150504,IF1506                        ,13,申银万国    ,3584,-544,一德期货    ,1724,63,鲁证期货    ,1470,9
20150504,IF1506                        ,14,方正中期    ,3429,-2060,浙商期货    ,1415,68,东吴期货    ,1353,84
20150504,IF1506                        ,15,徽商期货    ,3332,-1293,申银万国    ,1154,-59,海通期货    ,1337,171
20150504,IF1506                        ,16,浙商期货    ,3303,236,大地期货    ,1062,-63,中信建投    ,1314,-7
