交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150514,IF1505                        ,期货公司,858424,-1042394,23985,-25329,23985,-25329
20150514,IF1505                        ,非期货公司,0,0,0,0,0,0
20150514,IF1506                        ,期货公司,1889994,1079798,119330,16474,119330,16474
20150514,IF1506                        ,非期货公司,0,0,0,0,0,0
20150514,IF1509                        ,期货公司,72842,-670,30088,-362,30088,-362
20150514,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150514,IF1505                        ,1,中信期货    ,114881,-96501,光大期货    ,4160,-693,中信期货    ,2254,-850
20150514,IF1505                        ,2,海通期货    ,53192,-46875,中信期货    ,1996,-1299,财富期货    ,1789,-431
20150514,IF1505                        ,3,方正中期    ,40074,-35754,国泰君安    ,1714,-1410,西部期货    ,1692,-49
20150514,IF1505                        ,4,申银万国    ,39387,-45062,永安期货    ,1420,-95,国泰君安    ,1598,-890
20150514,IF1505                        ,5,五矿期货    ,32807,-10105,海通期货    ,1285,-3196,华泰长城    ,1300,-1690
20150514,IF1505                        ,6,招商期货    ,32693,-59,银河期货    ,964,-7,申银万国    ,1211,-2306
20150514,IF1505                        ,7,瑞达期货    ,30005,-32131,弘业期货    ,794,10,海通期货    ,988,-1504
20150514,IF1505                        ,8,国泰君安    ,27948,-43500,鲁证期货    ,685,-228,永安期货    ,801,-739
20150514,IF1505                        ,9,南华期货    ,26466,-54693,安信期货    ,647,-500,广发期货    ,770,-2021
20150514,IF1505                        ,10,兴证期货    ,25199,-55844,上海东亚    ,547,-49,光大期货    ,637,-374
20150514,IF1505                        ,11,华泰长城    ,24064,-49721,安粮期货    ,506,-382,宝城期货    ,623,-658
20150514,IF1505                        ,12,光大期货    ,22811,-35563,华泰长城    ,474,-928,国信期货    ,601,-401
20150514,IF1505                        ,13,上海东证    ,21660,-24381,南证期货    ,439,-31,鲁证期货    ,580,-583
20150514,IF1505                        ,14,银河期货    ,18412,-23539,广发期货    ,437,-411,格林大华    ,506,-102
20150514,IF1505                        ,15,大有期货    ,14790,-20882,瑞达期货    ,424,-35,上海东证    ,490,-237
20150514,IF1505                        ,16,西部期货    ,14771,7567,国信期货    ,418,-427,安信期货    ,437,-92
20150514,IF1505                        ,17,国信期货    ,14448,-11821,倍特期货    ,414,-321,北京首创    ,427,-234
20150514,IF1505                        ,18,长江期货    ,14101,-9840,兴证期货    ,347,-720,中辉期货    ,388,-237
20150514,IF1505                        ,19,鲁证期货    ,13911,-13115,方正中期    ,333,-293,南华期货    ,335,-849
20150514,IF1505                        ,20,浙商期货    ,11814,-13514,中国国际    ,317,-171,银河期货    ,334,-1757
20150514,IF1506                        ,1,中信期货    ,205348,102586,中信期货    ,18600,737,中信期货    ,12883,-153
20150514,IF1506                        ,2,海通期货    ,114396,54334,倍特期货    ,7494,349,国泰君安    ,11255,-165
20150514,IF1506                        ,3,国泰君安    ,93552,56564,海通期货    ,6714,3891,海通期货    ,9409,653
20150514,IF1506                        ,4,申银万国    ,83648,48769,永安期货    ,6366,1262,银河期货    ,7074,1733
20150514,IF1506                        ,5,华泰长城    ,73426,51358,格林大华    ,5527,1151,华泰长城    ,6345,1994
20150514,IF1506                        ,6,南华期货    ,70164,55318,浙商期货    ,5413,2149,永安期货    ,4902,1763
20150514,IF1506                        ,7,兴证期货    ,67829,50128,银河期货    ,4302,1692,广发期货    ,4088,1957
20150514,IF1506                        ,8,方正中期    ,61602,41211,国泰君安    ,4296,813,中银国际    ,4046,202
20150514,IF1506                        ,9,广发期货    ,61228,47772,宝城期货    ,3255,579,鲁证期货    ,3366,362
20150514,IF1506                        ,10,上海东证    ,61226,36039,光大期货    ,3038,33,光大期货    ,3166,347
20150514,IF1506                        ,11,华鑫期货    ,57889,43947,广发期货    ,2686,-217,长江期货    ,3111,-16
20150514,IF1506                        ,12,五矿期货    ,51520,14245,申银万国    ,2460,158,国信期货    ,3079,153
20150514,IF1506                        ,13,光大期货    ,48614,26723,安信期货    ,2400,14,申银万国    ,2971,1504
20150514,IF1506                        ,14,银河期货    ,47963,31355,瑞达期货    ,2394,140,招商期货    ,2522,173
20150514,IF1506                        ,15,瑞达期货    ,38538,24143,华泰长城    ,2240,-242,中信建投    ,2458,556
20150514,IF1506                        ,16,永安期货    ,38203,19338,中信建投    ,2150,877,财富期货    ,2155,917
20150514,IF1506                        ,17,招商期货    ,29678,3405,宏源期货    ,2056,-56,方正中期    ,2070,-1442
20150514,IF1506                        ,18,中大期货    ,28296,23848,财富期货    ,1897,31,上海东证    ,1997,342
20150514,IF1506                        ,19,浙商期货    ,27201,14860,招商期货    ,1884,577,北京首创    ,1991,38
20150514,IF1506                        ,20,鲁证期货    ,26586,11601,中银国际    ,1802,-35,新湖期货    ,1816,-176
20150514,IF1509                        ,1,中信期货    ,7501,-4238,申银万国    ,3441,83,招商期货    ,5946,-1
20150514,IF1509                        ,2,华西期货    ,5872,3694,海通期货    ,1983,31,中信期货    ,4130,-3
20150514,IF1509                        ,3,华鑫期货    ,5420,10,银河期货    ,1777,-3,广发期货    ,3511,-477
20150514,IF1509                        ,4,五矿期货    ,5156,-277,国泰君安    ,1477,38,国泰君安    ,3365,52
20150514,IF1509                        ,5,海通期货    ,5053,-1142,中信期货    ,1344,-144,海通期货    ,2734,12
20150514,IF1509                        ,6,招商期货    ,3273,837,格林大华    ,1321,-94,上海东证    ,1466,-1
20150514,IF1509                        ,7,光大期货    ,2899,1377,广发期货    ,1213,-48,格林大华    ,1210,-95
20150514,IF1509                        ,8,新湖期货    ,2765,-2583,南华期货    ,1097,48,华泰长城    ,1088,7
20150514,IF1509                        ,9,南华期货    ,2574,1113,方正中期    ,1052,204,银河期货    ,912,8
20150514,IF1509                        ,10,申银万国    ,2507,1142,五矿期货    ,975,42,永安期货    ,633,-5
20150514,IF1509                        ,11,银河期货    ,2127,525,华泰长城    ,851,25,鲁证期货    ,624,5
20150514,IF1509                        ,12,兴证期货    ,2090,397,中融汇信    ,737,5,光大期货    ,408,232
20150514,IF1509                        ,13,中大期货    ,1796,360,上海东证    ,685,-154,长江期货    ,391,4
20150514,IF1509                        ,14,上海东证    ,1429,577,永安期货    ,597,39,方正中期    ,389,5
