交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150915,IF1509                        ,期货公司,35270,-7472,22126,-4431,22126,-4431
20150915,IF1509                        ,非期货公司,0,0,0,0,0,0
20150915,IF1510                        ,期货公司,10962,1228,10254,2675,10254,2675
20150915,IF1510                        ,非期货公司,0,0,0,0,0,0
20150915,IF1512                        ,期货公司,3986,-626,11993,690,11993,690
20150915,IF1512                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150915,IF1509                        ,1,国泰君安    ,2725,9,鲁证期货    ,2445,-184,银河期货    ,2414,-604
20150915,IF1509                        ,2,广发期货    ,2359,71,中信期货    ,1844,-305,国泰君安    ,1927,-297
20150915,IF1509                        ,3,银河期货    ,1902,371,海通期货    ,1268,-87,中信期货    ,1822,-259
20150915,IF1509                        ,4,中信期货    ,1880,-912,广发期货    ,1184,-304,鲁证期货    ,1818,-108
20150915,IF1509                        ,5,兴证期货    ,1554,-262,中大期货    ,1155,-37,广发期货    ,1336,-705
20150915,IF1509                        ,6,海通期货    ,1503,-768,国泰君安    ,951,-778,海通期货    ,1273,-110
20150915,IF1509                        ,7,华泰期货    ,1475,-578,华泰期货    ,892,-86,华泰期货    ,1014,-453
20150915,IF1509                        ,8,申银万国    ,1125,-149,银河期货    ,723,-114,上海东证    ,706,32
20150915,IF1509                        ,9,光大期货    ,1063,-337,光大期货    ,695,-25,兴证期货    ,684,-114
20150915,IF1509                        ,10,永安期货    ,798,-471,永安期货    ,618,-32,申银万国    ,633,-55
20150915,IF1509                        ,11,长江期货    ,760,18,安信期货    ,611,-1,方正中期    ,587,-15
20150915,IF1509                        ,12,鲁证期货    ,732,-161,国投中谷    ,539,-278,永安期货    ,550,6
20150915,IF1509                        ,13,招商期货    ,729,-130,同信久恒    ,533,0,光大期货    ,536,-26
20150915,IF1509                        ,14,浙商期货    ,724,-214,五矿经易    ,514,-49,中大期货    ,463,-3
20150915,IF1509                        ,15,国信期货    ,695,-180,兴证期货    ,476,-10,国信期货    ,445,-92
20150915,IF1509                        ,16,中信建投    ,676,11,申银万国    ,440,-144,中信建投    ,334,-26
20150915,IF1509                        ,17,方正中期    ,642,-189,财富期货    ,433,-366,浙商期货    ,286,-14
20150915,IF1509                        ,18,五矿经易    ,575,72,东海期货    ,429,-55,新湖期货    ,252,40
20150915,IF1509                        ,19,南华期货    ,555,-244,招商期货    ,381,-51,南华期货    ,247,-68
20150915,IF1509                        ,20,上海东证    ,544,-353,国信期货    ,379,-159,瑞达期货    ,244,-4
20150915,IF1510                        ,1,银河期货    ,975,670,国泰君安    ,1493,565,华泰期货    ,1613,448
20150915,IF1510                        ,2,国泰君安    ,924,257,财富期货    ,1371,362,广发期货    ,1181,218
20150915,IF1510                        ,3,中信期货    ,715,-122,广发期货    ,781,240,银河期货    ,848,609
20150915,IF1510                        ,4,华泰期货    ,688,44,中信期货    ,731,10,中信期货    ,652,109
20150915,IF1510                        ,5,广发期货    ,662,-180,海通期货    ,628,105,国泰君安    ,550,61
20150915,IF1510                        ,6,财富期货    ,412,-245,申银万国    ,346,85,鲁证期货    ,505,146
