交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20151014,IF1510                        ,期货公司,25230,1902,15691,-3578,15691,-3578
20151014,IF1510                        ,非期货公司,0,0,0,0,0,0
20151014,IF1512                        ,期货公司,5018,-330,16839,732,16839,732
20151014,IF1512                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20151014,IF1510                        ,1,中信期货    ,1909,263,海通期货    ,1469,-260,银河期货    ,3021,-47
20151014,IF1510                        ,2,海通期货    ,1480,96,中信期货    ,1376,-211,中信期货    ,1623,-592
20151014,IF1510                        ,3,华泰期货    ,1391,-79,安信期货    ,1185,14,国泰君安    ,1375,-83
20151014,IF1510                        ,4,国泰君安    ,1315,-316,鲁证期货    ,1072,-86,华泰期货    ,633,-403
20151014,IF1510                        ,5,广发期货    ,1291,-4,国泰君安    ,1028,-122,兴证期货    ,576,-292
20151014,IF1510                        ,6,银河期货    ,1114,142,财富期货    ,921,-496,海通期货    ,540,-132
20151014,IF1510                        ,7,兴证期货    ,1056,245,华泰期货    ,802,-270,上海东证    ,538,-92
20151014,IF1510                        ,8,光大期货    ,877,-70,广发期货    ,556,-323,光大期货    ,508,-150
20151014,IF1510                        ,9,上海东证    ,740,241,申银万国    ,467,-61,广发期货    ,507,-444
20151014,IF1510                        ,10,财富期货    ,670,90,永安期货    ,425,-147,鲁证期货    ,373,-15
20151014,IF1510                        ,11,申银万国    ,666,5,银河期货    ,411,-283,招商期货    ,342,-98
20151014,IF1510                        ,12,永安期货    ,647,81,兴证期货    ,396,-30,申银万国    ,323,-67
20151014,IF1510                        ,13,招商期货    ,621,127,光大期货    ,367,-27,永安期货    ,299,-114
20151014,IF1510                        ,14,鲁证期货    ,533,92,上海东证    ,252,-178,中信建投    ,261,-23
20151014,IF1510                        ,15,方正中期    ,434,54,方正中期    ,234,-8,南华期货    ,257,-152
20151014,IF1510                        ,16,中信建投    ,424,-65,招商期货    ,227,-127,国信期货    ,256,-11
20151014,IF1510                        ,17,信达期货    ,384,19,国信期货    ,219,-40,方正中期    ,243,-16
20151014,IF1510                        ,18,南华期货    ,364,24,南华期货    ,176,-34,长江期货    ,142,-17
20151014,IF1510                        ,19,五矿经易    ,328,36,信达期货    ,169,-15,东海期货    ,133,3
20151014,IF1510                        ,20,国信期货    ,321,-98,安粮期货    ,169,15,东航期货    ,120,8
20151014,IF1512                        ,1,广发期货    ,471,-147,国泰君安    ,2737,17,国泰君安    ,4148,119
20151014,IF1512                        ,2,国泰君安    ,336,-55,广发期货    ,1198,258,广发期货    ,2429,131
20151014,IF1512                        ,3,华泰期货    ,330,-135,海通期货    ,878,20,招商期货    ,1238,62
20151014,IF1512                        ,4,中信期货    ,230,-117,中信期货    ,863,-23,中信期货    ,1104,51
20151014,IF1512                        ,5,南华期货    ,211,-25,南华期货    ,725,11,华泰期货    ,1099,69
20151014,IF1512                        ,6,海通期货    ,201,-23,申银万国    ,561,59,银河期货    ,904,30
20151014,IF1512                        ,7,银河期货    ,187,53,瑞达期货    ,518,31,安信期货    ,749,0
20151014,IF1512                        ,8,光大期货    ,182,80,安信期货    ,503,80,兴业期货    ,704,46
20151014,IF1512                        ,9,招商期货    ,171,27,华泰期货    ,492,27,长江期货    ,522,3
20151014,IF1512                        ,10,方正中期    ,126,58,大连良运    ,471,4,光大期货    ,499,37
20151014,IF1512                        ,11,永安期货    ,120,33,上海东证    ,466,16,海通期货    ,346,37
20151014,IF1512                        ,12,安信期货    ,120,21,五矿经易    ,465,60,国信期货    ,296,15
20151014,IF1512                        ,13,申银万国    ,111,-8,银河期货    ,457,13,上海东证    ,180,9
20151014,IF1512                        ,14,华联期货    ,106,19,方正中期    ,423,3,中投天琪    ,177,5
20151014,IF1512                        ,15,兴证期货    ,100,22,东海期货    ,413,-1,五矿经易    ,157,-2
20151014,IF1512                        ,16,渤海期货    ,95,5,永安期货    ,392,4,永安期货    ,145,30
20151014,IF1512                        ,17,英大期货    ,91,21,中原期货    ,307,3,格林大华    ,139,2
20151014,IF1512                        ,18,国信期货    ,89,37,光大期货    ,278,-23,方正中期    ,122,11
20151014,IF1512                        ,19,鲁证期货    ,78,7,中大期货    ,249,13,渤海期货    ,110,4
20151014,IF1512                        ,20,五矿经易    ,76,48,鲁证期货    ,239,23,鲁证期货    ,108,17
