交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20151028,IF1511                        ,期货公司,28194,-1724,22408,158,22408,158
20151028,IF1511                        ,非期货公司,0,0,0,0,0,0
20151028,IF1512                        ,期货公司,4802,-552,19493,-77,19493,-77
20151028,IF1512                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20151028,IF1511                        ,1,海通期货    ,1670,-147,中信期货    ,2815,45,华泰期货    ,2457,-22
20151028,IF1511                        ,2,华泰期货    ,1619,76,财富期货    ,2303,-18,中信期货    ,1909,28
20151028,IF1511                        ,3,中信期货    ,1561,-40,永安期货    ,1699,-100,国泰君安    ,1365,10
20151028,IF1511                        ,4,国泰君安    ,1553,-213,海通期货    ,1531,22,广发期货    ,1320,34
20151028,IF1511                        ,5,兴证期货    ,1204,-17,华泰期货    ,1145,25,兴证期货    ,1220,35
20151028,IF1511                        ,6,光大期货    ,1169,-62,银河期货    ,904,-35,海通期货    ,992,4
20151028,IF1511                        ,7,银河期货    ,1119,-106,国泰君安    ,778,37,银河期货    ,928,-48
20151028,IF1511                        ,8,广发期货    ,872,-142,国投中谷    ,656,2,光大期货    ,808,-42
20151028,IF1511                        ,9,永安期货    ,807,-92,上海东证    ,602,-4,南华期货    ,799,17
20151028,IF1511                        ,10,申银万国    ,786,-12,安信期货    ,600,148,永安期货    ,568,43
20151028,IF1511                        ,11,招商期货    ,671,-91,广发期货    ,539,-6,上海东证    ,521,-71
20151028,IF1511                        ,12,鲁证期货    ,652,93,兴证期货    ,520,-7,招商期货    ,507,-5
20151028,IF1511                        ,13,中信建投    ,607,-14,申银万国    ,492,14,申银万国    ,445,18
20151028,IF1511                        ,14,方正中期    ,595,18,鲁证期货    ,456,-90,中信建投    ,434,-9
20151028,IF1511                        ,15,南华期货    ,584,60,光大期货    ,431,3,方正中期    ,406,-52
20151028,IF1511                        ,16,信达期货    ,520,-9,招商期货    ,399,30,宏源期货    ,377,55
20151028,IF1511                        ,17,上海东证    ,507,-42,南华期货    ,385,-13,国信期货    ,333,35
20151028,IF1511                        ,18,国信期货    ,482,-99,五矿经易    ,352,65,鲁证期货    ,292,62
20151028,IF1511                        ,19,五矿经易    ,465,52,国信期货    ,282,-11,国金期货    ,278,-2
20151028,IF1511                        ,20,长江期货    ,448,38,方正中期    ,250,11,华鑫期货    ,256,11
20151028,IF1512                        ,1,华泰期货    ,319,21,国泰君安    ,3129,-7,国泰君安    ,4343,-45
20151028,IF1512                        ,2,招商期货    ,253,114,安信期货    ,1236,20,广发期货    ,2451,-9
20151028,IF1512                        ,3,海通期货    ,240,-126,广发期货    ,1222,-3,海通期货    ,2292,17
20151028,IF1512                        ,4,南华期货    ,234,-15,海通期货    ,1056,-29,招商期货    ,1145,-58
20151028,IF1512                        ,5,国泰君安    ,178,-61,中信期货    ,830,2,中信期货    ,1125,-3
20151028,IF1512                        ,6,宏源期货    ,164,104,南华期货    ,716,-9,华泰期货    ,1087,40
20151028,IF1512                        ,7,格林大华    ,156,38,华泰期货    ,631,5,银河期货    ,1012,-14
20151028,IF1512                        ,8,中信期货    ,151,-49,申银万国    ,564,2,兴业期货    ,912,10
20151028,IF1512                        ,9,银河期货    ,146,-20,鲁证期货    ,520,1,安信期货    ,681,-45
20151028,IF1512                        ,10,渤海期货    ,128,7,瑞达期货    ,511,10,长江期货    ,524,-4
20151028,IF1512                        ,11,英大期货    ,124,11,永安期货    ,497,4,光大期货    ,499,-22
20151028,IF1512                        ,12,鲁证期货    ,120,28,银河期货    ,488,8,国信期货    ,316,4
20151028,IF1512                        ,13,永安期货    ,110,-15,五矿经易    ,441,-7,格林大华    ,270,16
20151028,IF1512                        ,14,安信期货    ,109,-14,招商期货    ,416,-25,五矿经易    ,187,-2
20151028,IF1512                        ,15,国信期货    ,108,-16,宏源期货    ,389,12,鲁证期货    ,186,41
20151028,IF1512                        ,16,申银万国    ,97,-47,上海东证    ,320,-1,永安期货    ,164,2
20151028,IF1512                        ,17,光大期货    ,95,-103,中原期货    ,320,-2,中投天琪    ,159,-3
20151028,IF1512                        ,18,兴证期货    ,95,-38,光大期货    ,310,-13,方正中期    ,136,2
20151028,IF1512                        ,19,美尔雅     ,91,-2,安粮期货    ,303,34,渤海期货    ,116,-3
20151028,IF1512                        ,20,方正中期    ,88,-21,兴证期货    ,286,-10,上海东证    ,109,-3
