交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20170207,IF1702                        ,期货公司,14514,-828,21105,-372,21105,-372
20170207,IF1702                        ,非期货公司,0,0,0,0,0,0
20170207,IF1703                        ,期货公司,2720,374,14779,464,14779,464
20170207,IF1703                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20170207,IF1702                        ,1,中信期货    ,1160,-248,银河期货    ,3344,256,中信期货    ,3322,-82
20170207,IF1702                        ,2,国泰君安    ,1158,94,中信期货    ,2834,26,国泰君安    ,1677,-21
20170207,IF1702                        ,3,银河期货    ,1119,299,国泰君安    ,1631,-143,华泰期货    ,1420,-116
20170207,IF1702                        ,4,兴证期货    ,941,16,华泰期货    ,1115,-96,上海东证    ,1393,32
20170207,IF1702                        ,5,海通期货    ,671,161,广发期货    ,1102,-31,广发期货    ,1026,-17
20170207,IF1702                        ,6,华泰期货    ,612,-634,永安期货    ,944,15,招商期货    ,946,-64
20170207,IF1702                        ,7,广发期货    ,562,169,国投安信    ,799,72,银河期货    ,931,5
20170207,IF1702                        ,8,光大期货    ,453,-32,中金期货    ,743,13,永安期货    ,823,35
20170207,IF1702                        ,9,永安期货    ,386,-156,宏源期货    ,737,-6,兴证期货    ,807,-20
20170207,IF1702                        ,10,申银万国    ,375,-33,五矿经易    ,701,1,国投安信    ,752,-31
20170207,IF1702                        ,11,南华期货    ,351,-59,海通期货    ,662,-69,光大期货    ,643,14
20170207,IF1702                        ,12,鲁证期货    ,333,12,兴证期货    ,489,-39,南华期货    ,629,-27
20170207,IF1702                        ,13,招商期货    ,317,31,上海东证    ,455,-13,海通期货    ,615,-2
20170207,IF1702                        ,14,中银国际    ,303,69,申银万国    ,423,11,中金期货    ,505,9
20170207,IF1702                        ,15,浙商期货    ,288,8,南华期货    ,308,-32,西部期货    ,373,4
20170207,IF1702                        ,16,中信建投    ,269,-30,招商期货    ,288,-15,国信期货    ,353,-8
20170207,IF1702                        ,17,上海东证    ,233,101,浙商期货    ,259,-40,建信期货    ,344,-9
20170207,IF1702                        ,18,五矿经易    ,229,-16,鲁证期货    ,255,-15,鲁证期货    ,309,-26
20170207,IF1702                        ,19,国信期货    ,198,-69,光大期货    ,221,7,申银万国    ,289,8
20170207,IF1702                        ,20,大有期货    ,191,-3,东航期货    ,219,20,中信建投    ,210,-16
20170207,IF1703                        ,1,国泰君安    ,208,67,国泰君安    ,2455,134,中信期货    ,1949,90
20170207,IF1703                        ,2,海通期货    ,164,6,中金期货    ,2096,7,银河期货    ,1169,46
20170207,IF1703                        ,3,浙商期货    ,154,46,中信期货    ,1382,18,广发期货    ,1088,-1
20170207,IF1703                        ,4,国投安信    ,154,79,五矿经易    ,1223,-3,光大期货    ,992,10
20170207,IF1703                        ,5,中信期货    ,146,1,乾坤期货    ,950,0,国泰君安    ,772,52
20170207,IF1703                        ,6,银河期货    ,145,39,国投安信    ,835,110,招商期货    ,771,2
20170207,IF1703                        ,7,南华期货    ,131,26,申银万国    ,456,-7,海通期货    ,766,-11
20170207,IF1703                        ,8,中银国际    ,115,112,永安期货    ,387,-10,国投安信    ,760,-10
20170207,IF1703                        ,9,华西期货    ,94,6,中银国际    ,354,112,兴业期货    ,728,11
20170207,IF1703                        ,10,华泰期货    ,86,-26,兴证期货    ,353,7,国信期货    ,721,-21
20170207,IF1703                        ,11,新湖期货    ,85,30,银河期货    ,312,29,上海东证    ,704,35
20170207,IF1703                        ,12,永安期货    ,79,12,浙商期货    ,287,23,永安期货    ,502,23
20170207,IF1703                        ,13,兴证期货    ,78,29,上海东证    ,276,2,兴证期货    ,324,-13
20170207,IF1703                        ,14,宏源期货    ,62,10,华泰期货    ,254,8,建信期货    ,299,2
20170207,IF1703                        ,15,鲁证期货    ,60,-13,招商期货    ,202,-3,华泰期货    ,298,18
20170207,IF1703                        ,16,美尔雅     ,55,14,中原期货    ,193,0,渤海期货    ,292,-2
20170207,IF1703                        ,17,国信期货    ,51,5,东航期货    ,167,-23,中粮期货    ,214,0
20170207,IF1703                        ,18,上海东证    ,51,28,南华期货    ,159,11,北京首创    ,165,0
20170207,IF1703                        ,19,广发期货    ,49,9,安粮期货    ,151,0,南华期货    ,162,16
20170207,IF1703                        ,20,光大期货    ,45,14,国信期货    ,149,4,长江期货    ,139,8
