交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20170705,IF1707                        ,期货公司,28484,784,25441,88,25441,88
20170705,IF1707                        ,非期货公司,0,0,0,0,0,0
20170705,IF1709                        ,期货公司,2458,-254,10076,-20,10076,-20
20170705,IF1709                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20170705,IF1707                        ,1,中信期货    ,3158,382,中信期货    ,3191,-178,中信期货    ,3288,34
20170705,IF1707                        ,2,国泰君安    ,1806,-42,海通期货    ,1747,99,国泰君安    ,2097,23
20170705,IF1707                        ,3,海通期货    ,1525,145,永安期货    ,1527,-5,银河期货    ,1619,34
20170705,IF1707                        ,4,五矿经易    ,1359,367,国泰君安    ,1302,-37,上海东证    ,1492,63
20170705,IF1707                        ,5,兴证期货    ,1331,63,五矿经易    ,1142,526,海通期货    ,1411,38
20170705,IF1707                        ,6,光大期货    ,1274,68,鲁证期货    ,961,-51,光大期货    ,1381,-16
20170705,IF1707                        ,7,银河期货    ,1131,-28,广发期货    ,913,54,华泰期货    ,1324,-26
20170705,IF1707                        ,8,华泰期货    ,960,-221,申银万国    ,844,-2,兴证期货    ,1187,-53
20170705,IF1707                        ,9,永安期货    ,900,213,兴证期货    ,827,20,广发期货    ,927,7
20170705,IF1707                        ,10,申银万国    ,824,2,银河期货    ,816,-19,国投安信    ,798,18
20170705,IF1707                        ,11,广发期货    ,763,205,上海东证    ,813,-2,招商期货    ,682,-15
20170705,IF1707                        ,12,招商期货    ,754,76,华泰期货    ,801,2,永安期货    ,567,-87
20170705,IF1707                        ,13,南华期货    ,731,137,光大期货    ,727,6,申银万国    ,531,12
20170705,IF1707                        ,14,浙商期货    ,619,20,中金期货    ,664,11,南华期货    ,479,76
20170705,IF1707                        ,15,方正中期    ,578,-52,南华期货    ,648,87,中金期货    ,391,-32
20170705,IF1707                        ,16,鲁证期货    ,567,93,国富期货    ,628,-72,鲁证期货    ,380,20
20170705,IF1707                        ,17,国信期货    ,544,82,招商期货    ,583,-19,西部期货    ,318,-1
20170705,IF1707                        ,18,新湖期货    ,509,-253,浙商期货    ,378,42,国信期货    ,293,33
20170705,IF1707                        ,19,中信建投    ,501,-24,国投安信    ,378,-40,方正中期    ,291,10
20170705,IF1707                        ,20,西部期货    ,463,20,国信期货    ,367,15,天风期货    ,289,-25
20170705,IF1709                        ,1,海通期货    ,172,-20,国泰君安    ,1385,-3,中信期货    ,1999,64
20170705,IF1709                        ,2,兴证期货    ,143,-13,中信期货    ,982,4,国投安信    ,1018,23
20170705,IF1709                        ,3,招商期货    ,139,14,鲁证期货    ,786,18,上海东证    ,1008,-7
20170705,IF1709                        ,4,国泰君安    ,126,-4,五矿经易    ,749,31,华泰期货    ,709,-13
20170705,IF1709                        ,5,五矿经易    ,125,49,中金期货    ,636,1,光大期货    ,695,11
20170705,IF1709                        ,6,南华期货    ,116,-16,华泰期货    ,472,-6,银河期货    ,475,-2
20170705,IF1709                        ,7,中信期货    ,116,10,南华期货    ,359,-24,国泰君安    ,407,43
20170705,IF1709                        ,8,华泰期货    ,103,-64,华联期货    ,353,-4,广发期货    ,399,7
20170705,IF1709                        ,9,中银国际    ,101,99,申银万国    ,335,-4,建信期货    ,336,0
20170705,IF1709                        ,10,新湖期货    ,100,-18,招商期货    ,253,6,中金期货    ,315,0
20170705,IF1709                        ,11,浙商期货    ,98,19,中信建投    ,217,6,招商期货    ,213,-61
20170705,IF1709                        ,12,光大期货    ,87,-13,银河期货    ,209,-24,兴证期货    ,200,0
20170705,IF1709                        ,13,银河期货    ,74,-83,国投安信    ,205,-1,渤海期货    ,196,-7
20170705,IF1709                        ,14,中融汇信    ,70,2,兴证期货    ,178,-13,华西期货    ,195,-8
20170705,IF1709                        ,15,鲁证期货    ,64,-31,第一创业    ,177,0,中粮期货    ,191,-1
20170705,IF1709                        ,16,申银万国    ,61,10,海通期货    ,171,-24,海通期货    ,134,-24
20170705,IF1709                        ,17,上海东证    ,52,-9,上海东证    ,164,19,方正中期    ,117,-5
20170705,IF1709                        ,18,宏源期货    ,49,14,瑞达期货    ,158,7,国信期货    ,115,-3
20170705,IF1709                        ,19,格林大华    ,48,8,永安期货    ,152,-13,鲁证期货    ,113,30
20170705,IF1709                        ,20,西部期货    ,47,-11,浙商期货    ,151,-32,申银万国    ,92,-5
