								大连商品交易所 成交量_买持仓_卖持仓排名	

品种代码：i		Date：20160830	

			期货公司会员	

名次		会员简称	成交量		增减		
1		国投安信	236,255		-22,068		
2		东证期货	107,318		8,716		
3		银河期货	102,911		-19,608		
4		永安期货	76,086		-20,303		
5		海通期货	73,374		-20,114		
6		国泰君安	70,161		4,011		
7		中信期货	56,459		-15,975		
8		徽商期货	53,537		-14,509		
9		安粮期货	50,707		-17,398		
10		建信期货	46,759		21,282		
11		大地期货	42,805		5,624		
12		光大期货	40,485		-8,602		
13		中辉期货	40,193		-6,354		
14		华泰期货	34,685		-18,931		
15		一德期货	33,431		-8,244		
16		申银万国	32,447		-11,291		
17		方正中期	31,792		-797		
18		广发期货	29,356		-25,855		
19		招商期货	27,762		4,664		
20		浙商期货	27,140		-11,676		
21		国海良时	27,065		795		
22		中信建投	26,880		665		
23		宝城期货	25,858		79		
24		新湖期货	22,895		-7,831		
25		海航期货	22,586		9,255		
26		南华期货	21,695		849		
27		东航期货	20,878		-288		
28		五矿经易	17,430		-1,142		
29		上海东亚	17,199		4,669		
30		中国国际	15,954		-13,575		
31		上海中期	14,932		69		
32		国信期货	13,909		-8,846		
33		宏源期货	13,711		-15,354		
34		兴证期货	13,684		-3,610		
35		长江期货	13,642		-2,088		
36		鲁证期货	13,633		-5,828		
37		瑞达期货	12,893		-13,779		
38		上海大陆	12,667		-5,160		
39		金瑞期货	12,089		2,716		
40		华安期货	12,036		-17,891		
41		信达期货	11,987		3,255		
42		华信万达	11,583		1,617		
43		国富期货	11,303		8,488		
44		英大期货	10,834		-7,495		
45		北京首创	9,785		-2,885		
46		东吴期货	9,552		-1,868		
47		福能期货	9,071		4,425		
48		冠通期货	8,548		215		
49		东海期货	8,260		-2,818		
50		迈科期货	8,085		-4,029		
51		上海中财	7,713		-3,282		
52		中粮期货	7,583		-4,385		
53		国金期货	7,368		3,651		
54		国联期货	7,200		-1,962		
55		弘业期货	7,176		-2,076		
56		中大期货	7,144		-1,646		
57		晟鑫期货	7,083		388		
58		道通期货	6,791		-1,253		
59		西部期货	6,642		1,907		
60		格林大华	6,406		-8,870		
61		中衍期货	6,056		-1,953		
62		混沌天成	5,861		-4,907		
63		国元期货	5,822		2,013		
64		创元期货	4,975		-64		
65		江苏新纪元	4,927		-1,243		
66		同信久恒	4,719		-3,154		
67		华创期货	4,719		1,419		
68		深圳瑞龙	4,683		-184		
69		平安期货	4,532		-519		
70		国贸期货	4,521		-2,828		
71		美尔雅期货	4,336		-2,525		
72		中原期货	4,184		814		
73		金元期货	4,104		-3,916		
74		广州期货	4,002		-510		
75		华西期货	3,929		671		
76		东兴期货	3,900		-7,992		
77		恒泰期货	3,688		-4,219		
78		德盛期货	3,505		-1,447		
79		广永期货	3,288		-348		
80		华联期货	3,198		-243		
81		倍特期货	3,147		-1,606		
82		兴业期货	3,053		2,109		
83		大越期货	2,999		-1,122		
84		中投期货	2,812		-7,723		
85		民生期货	2,611		-1,033		
86		大有期货	2,555		-2,690		
87		中银国际	2,504		-774		
88		浙江新世纪	2,460		-2,888		
89		天风期货	2,422		-1,806		
90		东方汇金	2,275		-461		
91		渤海期货	2,258		-591		
92		江西瑞奇	2,173		-902		
93		招金期货	2,168		-549		
94		汇鑫期货	2,140		-6,131		
95		锦泰期货	2,015		-1,840		
96		北京金鹏	1,957		-1,444		
97		铜冠金源	1,861		-3,653		
98		神华期货	1,750		-1,773		
99		华融期货	1,688		-593		
100		中钢期货	1,637		-700		
101		国都期货	1,601		99		
102		红塔期货	1,591		-103		
103		长安期货	1,591		-1,049		
104		华龙期货	1,586		859		
105		大连良运	1,550		-1,683		
106		中航期货	1,512		-146		
107		先融期货	1,470		-703		
108		银建期货	1,421		11		
109		中州期货	1,348		-761		
110		财达期货	1,229		333		
111		西南期货	1,136		-515		
112		大通期货	1,004		947		
113		海证期货	1,004		-961		
114		江苏东华	943		-1,033		
115		中融汇信	939		-383		
116		华鑫期货	911		-1,195		
117		南证期货	888		-726		
118		河北恒银	874		21		
119		深圳金汇	854		175		
120		鑫鼎盛期货	827		326		
121		和合期货	774		-407		
122		云晨期货	725		43		
123		新晟期货	714		-43		
124		中金期货	678		480		
125		湖南金信	655		-459		
126		上海浙石	619		-423		
127		盛达期货	548		-400		
128		金石期货	506		-415		
129		华金期货	473		344		
130		津投期货	406		11		
131		和融期货	384		-1,275		
132		山金期货	357		-1,553		
133		华闻期货	356		-516		
134		集成期货	342		-453		
135		首创京都	341		-146		
136		文峰期货	273		-521		
137		江信国盛	236		-229		
138		九州期货	175		-44		
139		山西三立	163		-22		
140		东方期货	149		-280		
141		第一创业	142		-343		
142		天鸿期货	130		-121		
143		新疆天利	115		5		
144		天富期货	113		-160		
145		通惠期货	20		-1		
总计				1,904,520	-353,066	

名次		会员简称	持买单量	增减		
1		国投安信	74,280		5,647		
2		永安期货	57,576		12,413		
3		中信期货	54,596		11,579		
4		国富期货	51,857		-244		
5		东证期货	47,638		11,910		
6		银河期货	41,359		-1,649		
7		华泰期货	38,138		-1,747		
8		方正中期	35,877		1,555		
9		国泰君安	34,475		4,738		
10		海通期货	34,032		-1,125		
11		浙商期货	23,712		5,396		
12		申银万国	22,835		4,315		
13		广发期货	19,904		1,211		
14		安粮期货	19,082		-62		
15		兴证期货	15,563		7		
16		长江期货	14,663		164		
17		英大期货	13,933		-117		
18		建信期货	12,946		723		
19		新湖期货	12,935		518		
20		一德期货	12,918		2,205		
21		徽商期货	12,774		309		
22		光大期货	12,590		-2,013		
23		华融期货	11,239		-124		
24		五矿经易	10,362		2,009		
25		大地期货	10,266		-2,302		
26		宝城期货	9,538		849		
27		弘业期货	8,639		84		
28		中辉期货	8,451		-2,875		
29		中粮期货	8,347		570		
30		中金期货	7,829		-169		
31		中信建投	7,588		1,087		
32		国海良时	7,465		-2,671		
33		金瑞期货	6,899		-468		
34		招商期货	6,473		516		
35		南华期货	6,380		-4,021		
36		鲁证期货	6,247		156		
37		东航期货	5,906		451		
38		中国国际	5,849		-1,210		
39		格林大华	5,832		-8		
40		东吴期货	5,551		811		
