								大连商品交易所 成交量_买持仓_卖持仓排名	

品种代码：cs		Date：20150205	

			期货公司会员	

名次		会员简称	成交量		增减		
1		徽商期货	5,630		4,843		
2		东航期货	3,639		2,602		
3		中粮期货	2,010		1,881		
4		银河期货	1,955		1,632		
5		中衍期货	1,949		1,420		
6		申银万国	1,768		1,563		
7		中国国际	1,747		996		
8		方正中期	1,732		1,609		
9		光大期货	1,596		1,253		
10		中信期货	1,459		1,045		
11		华泰长城	1,429		1,272		
12		金瑞期货	1,396		1,278		
13		国泰君安	1,373		1,222		
14		海通期货	1,194		1,033		
15		广发期货	1,189		1,053		
16		华安期货	993		750		
17		永安期货	968		504		
18		先融期货	910		879		
19		大地期货	887		817		
20		一德期货	868		768		
21		万达期货	845		729		
22		津投期货	805		412		
23		金元期货	791		616		
24		美尔雅期货	763		691		
25		弘业期货	719		628		
26		鲁证期货	717		598		
27		中信建投	703		495		
28		安粮期货	699		452		
29		南华期货	699		613		
30		浙商期货	697		493		
31		国信期货	666		374		
32		广永期货	643		628		
33		宏源期货	634		557		
34		长江期货	620		509		
35		国海良时	615		494		
36		兴证期货	610		498		
37		东海期货	608		594		
38		渤海期货	602		419		
39		国贸期货	574		522		
40		英大期货	565		523		
41		恒泰期货	561		487		
42		招商期货	551		325		
43		上海中期	548		417		
44		深圳瑞龙	489		410		
45		安信期货	485		384		
46		汇鑫期货	464		413		
47		国联期货	449		421		
48		浙江新世纪	431		310		
49		中辉期货	406		212		
50		国投期货	394		316		
51		江苏新纪元	363		324		
52		北京首创	343		165		
53		宝城期货	328		272		
54		招金期货	320		121		
55		锦泰期货	298		263		
56		格林大华	280		211		
57		集成期货	268		229		
58		新湖期货	254		219		
59		东证期货	251		164		
60		东方汇金	245		216		
61		冠通期货	234		194		
62		建信期货	233		133		
63		中航期货	233		219		
64		华联期货	231		188		
65		天富期货	218		175		
66		大连良运	218		154		
67		金友期货	200		123		
68		红塔期货	198		184		
69		神华期货	191		141		
70		江西瑞奇	186		164		
71		信达期货	179		47		
72		民生期货	176		162		
73		瑞达期货	173		158		
74		上海东亚	162		162		
75		中投期货	160		86		
76		东兴期货	152		114		
77		同信久恒	149		136		
