交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20110221,IF1103                        ,期货公司,409622,25634,33065,2063,33140,2085
20110221,IF1103                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20110221,IF1103                        ,1,海通期货    ,39041,2458,国泰君安    ,2542,471,中信期货    ,6507,360
20110221,IF1103                        ,2,国泰君安    ,36376,2958,华泰长城    ,2080,475,海通期货    ,4053,61
20110221,IF1103                        ,3,广发期货    ,34907,2770,永安期货    ,1748,-474,国泰君安    ,3384,185
20110221,IF1103                        ,4,华泰长城    ,25953,2246,银河期货    ,1669,126,华泰长城    ,3275,-568
20110221,IF1103                        ,5,鲁证期货    ,17707,3094,海通期货    ,1663,266,招商期货    ,2176,29
20110221,IF1103                        ,6,银河期货    ,16922,2044,广发期货    ,1471,-104,广发期货    ,1767,55
20110221,IF1103                        ,7,上海东证    ,13555,4180,南华期货    ,1310,-241,中粮期货    ,1682,196
20110221,IF1103                        ,8,中投天琪    ,13280,340,鲁证期货    ,1310,-10,中信建投    ,803,161
20110221,IF1103                        ,9,永安期货    ,10608,1680,中信期货    ,1184,47,上海东证    ,643,240
20110221,IF1103                        ,10,申银万国    ,10512,-204,弘业期货    ,968,335,鲁证期货    ,638,69
20110221,IF1103                        ,11,南华期货    ,10256,-113,浙商期货    ,898,261,南华期货    ,604,107
20110221,IF1103                        ,12,光大期货    ,10105,-1469,申银万国    ,894,-55,银河期货    ,533,50
20110221,IF1103                        ,13,东吴期货    ,9044,1756,安信期货    ,868,414,信达期货    ,473,261
20110221,IF1103                        ,14,中信期货    ,8865,-1128,信达期货    ,828,263,永安期货    ,463,14
20110221,IF1103                        ,15,招商期货    ,8751,-128,光大期货    ,697,-559,申银万国    ,463,121
20110221,IF1103                        ,16,浙商期货    ,8679,-217,中粮期货    ,649,219,光大期货    ,435,42
20110221,IF1103                        ,17,兴证期货    ,7998,2264,招商期货    ,565,58,中投天琪    ,394,162
20110221,IF1103                        ,18,弘业期货    ,7233,1391,上海东证    ,565,-451,国信期货    ,282,51
20110221,IF1103                        ,19,信达期货    ,7062,-91,东海期货    ,560,-18,东海期货    ,265,65
20110221,IF1103                        ,20,中信建投    ,6713,96,中投天琪    ,507,162,宏源期货    ,261,131
