交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20110811,IF1108                        ,期货公司,477785,139277,18731,4,18754,-99
20110811,IF1108                        ,非期货公司,0,0,0,0,0,0
20110811,IF1109                        ,期货公司,62461,26880,11621,1185,11722,1162
20110811,IF1109                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20110811,IF1108                        ,1,广发期货    ,41599,16176,国泰君安    ,1287,-116,海通期货    ,3032,-635
20110811,IF1108                        ,2,海通期货    ,38720,9724,华泰长城    ,1243,76,国泰君安    ,2227,341
20110811,IF1108                        ,3,国泰君安    ,37509,11686,海通期货    ,1131,529,华泰长城    ,1736,185
20110811,IF1108                        ,4,华泰长城    ,26815,5195,广发期货    ,1067,-29,大华期货    ,915,561
20110811,IF1108                        ,5,银河期货    ,19277,4527,永安期货    ,1048,330,中信期货    ,856,188
20110811,IF1108                        ,6,鲁证期货    ,18601,5839,光大期货    ,1044,215,兴证期货    ,819,662
20110811,IF1108                        ,7,兴证期货    ,16210,7413,中信期货    ,1031,-12,光大期货    ,695,-254
20110811,IF1108                        ,8,上海东证    ,16083,5787,鲁证期货    ,795,-104,广发期货    ,681,-94
20110811,IF1108                        ,9,中投天琪    ,13827,3812,上海东证    ,701,-42,鲁证期货    ,508,-89
20110811,IF1108                        ,10,东吴期货    ,13767,7251,招商期货    ,545,-14,银河期货    ,475,-110
20110811,IF1108                        ,11,光大期货    ,13751,4198,银河期货    ,517,21,中粮期货    ,435,111
20110811,IF1108                        ,12,申银万国    ,12320,2643,安信期货    ,486,-12,上海东证    ,374,-11
20110811,IF1108                        ,13,南华期货    ,12304,4023,南华期货    ,467,-218,国信期货    ,364,-5
20110811,IF1108                        ,14,中国国际    ,11197,2492,申银万国    ,427,-76,招商期货    ,352,76
20110811,IF1108                        ,15,中信期货    ,10504,1030,中投天琪    ,404,170,申银万国    ,343,-134
20110811,IF1108                        ,16,永安期货    ,10405,3350,浙商期货    ,349,-122,南华期货    ,340,70
20110811,IF1108                        ,17,中信建投    ,9984,2339,新世纪     ,311,150,中信建投    ,310,-37
20110811,IF1108                        ,18,浙商期货    ,9788,2654,瑞达期货    ,298,20,永安期货    ,272,-59
20110811,IF1108                        ,19,招商期货    ,8500,2732,中信建投    ,296,-7,中国国际    ,243,138
20110811,IF1108                        ,20,大华期货    ,8040,3552,东海期货    ,294,-115,信达期货    ,217,-37
20110811,IF1109                        ,1,华泰长城    ,6978,3272,永安期货    ,1275,256,招商期货    ,2698,-61
20110811,IF1109                        ,2,海通期货    ,6091,2228,华泰长城    ,783,98,广发期货    ,987,-218
20110811,IF1109                        ,3,国泰君安    ,4310,2125,广发期货    ,758,89,华泰长城    ,895,58
20110811,IF1109                        ,4,广发期货    ,4043,2787,国泰君安    ,727,1,海通期货    ,857,373
20110811,IF1109                        ,5,银河期货    ,2621,997,光大期货    ,542,288,中信期货    ,826,441
20110811,IF1109                        ,6,宏源期货    ,2445,489,南华期货    ,463,8,国泰君安    ,708,231
20110811,IF1109                        ,7,申银万国    ,2377,787,银河期货    ,396,43,南华期货    ,697,88
20110811,IF1109                        ,8,中信期货    ,2215,1333,中国国际    ,328,7,中粮期货    ,398,25
20110811,IF1109                        ,9,光大期货    ,2070,743,鲁证期货    ,319,18,光大期货    ,305,-164
20110811,IF1109                        ,10,鲁证期货    ,1997,1395,中粮期货    ,246,20,国信期货    ,236,96
20110811,IF1109                        ,11,永安期货    ,1500,715,东海期货    ,243,6,银河期货    ,217,-4
20110811,IF1109                        ,12,上海东证    ,1431,484,浙江中大    ,229,71,永安期货    ,202,118
20110811,IF1109                        ,13,南华期货    ,1314,463,弘业期货    ,219,-4,中信建投    ,157,-6
20110811,IF1109                        ,14,浙商期货    ,1272,654,申银万国    ,204,-20,东海期货    ,123,-11
20110811,IF1109                        ,15,中国国际    ,1017,547,瑞达期货    ,201,4,中投天琪    ,123,26
20110811,IF1109                        ,16,国信期货    ,931,221,国信期货    ,200,27,五矿期货    ,115,55
20110811,IF1109                        ,17,招商期货    ,919,-188,上海东证    ,196,18,金瑞期货    ,113,-3
20110811,IF1109                        ,18,五矿期货    ,880,330,中信期货    ,193,-36,国元期货    ,109,-7
20110811,IF1109                        ,19,安信期货    ,876,432,安信期货    ,185,71,兴证期货    ,103,-42
20110811,IF1109                        ,20,中信建投    ,849,405,海通期货    ,183,28,申银万国    ,101,49
