交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20120120,IF1201                        ,期货公司,26221,-69467,0,-2974,0,-2976
20120120,IF1201                        ,非期货公司,0,0,0,0,0,0
20120120,IF1202                        ,期货公司,707617,-225742,38633,-1868,38733,-1823
20120120,IF1202                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20120120,IF1201                        ,1,华泰长城    ,4583,-9820,国泰君安    ,0,-217,国泰君安    ,0,-890
20120120,IF1201                        ,2,国泰君安    ,2617,-3611,南华期货    ,0,-101,南华期货    ,0,-438
20120120,IF1201                        ,3,申银万国    ,1443,-5048,永安期货    ,0,-66,永安期货    ,0,-33
20120120,IF1201                        ,4,海通期货    ,1345,-6070,一德期货    ,0,-4,一德期货    ,0,-2
20120120,IF1201                        ,5,银河期货    ,1238,-2783,鲁证期货    ,0,-76,鲁证期货    ,0,-68
20120120,IF1201                        ,6,南华期货    ,1199,-1921,光大期货    ,0,-232,光大期货    ,0,-12
20120120,IF1201                        ,7,光大期货    ,849,-992,东海期货    ,0,-20,东海期货    ,0,-14
20120120,IF1201                        ,8,鲁证期货    ,757,-2409,浙商期货    ,0,-115,浙商期货    ,0,-9
20120120,IF1201                        ,9,宏源期货    ,755,-2314,中粮期货    ,0,-20,中粮期货    ,0,-104
20120120,IF1201                        ,10,国信期货    ,706,-1841,华泰长城    ,0,-56,华泰长城    ,0,-50
20120120,IF1201                        ,11,华安期货    ,682,-1355,五矿期货    ,0,-5,五矿期货    ,0,-15
20120120,IF1201                        ,12,五矿期货    ,607,-619,广发期货    ,0,-207,广发期货    ,0,-62
20120120,IF1201                        ,13,兴证期货    ,546,-2192,信达期货    ,0,-64,信达期货    ,0,-6
20120120,IF1201                        ,14,广发期货    ,533,-1345,中信期货    ,0,-69,中信期货    ,0,-234
20120120,IF1201                        ,15,中信期货    ,532,-3011,金瑞期货    ,0,-25,金瑞期货    ,0,-107
20120120,IF1201                        ,16,长江期货    ,466,-706,新世纪     ,0,-13,新世纪     ,0,0
20120120,IF1201                        ,17,安信期货    ,445,-877,经易期货    ,0,-5,经易期货    ,0,-4
20120120,IF1201                        ,18,招商期货    ,426,-1427,兴证期货    ,0,-42,兴证期货    ,0,-32
20120120,IF1201                        ,19,东吴期货    ,424,-181,建信期货    ,0,-12,建信期货    ,0,-4
20120120,IF1201                        ,20,经易期货    ,393,-1736,平安期货    ,0,-37,平安期货    ,0,-5
20120120,IF1202                        ,1,兴证期货    ,67604,-15660,国泰君安    ,2805,-237,中信期货    ,9425,48
20120120,IF1202                        ,2,广发期货    ,52395,-28198,华泰长城    ,2237,-49,国泰君安    ,4914,204
20120120,IF1202                        ,3,华泰长城    ,49151,-17251,光大期货    ,2125,335,海通期货    ,3077,-78
20120120,IF1202                        ,4,国泰君安    ,44835,-17685,中信期货    ,2081,322,华泰长城    ,2647,-482
20120120,IF1202                        ,5,海通期货    ,42200,-20073,海通期货    ,2000,-98,广发期货    ,2029,-207
20120120,IF1202                        ,6,申银万国    ,26221,-8044,南华期货    ,1565,-147,光大期货    ,1852,-223
20120120,IF1202                        ,7,银河期货    ,24823,-7105,银河期货    ,1472,-365,上海东证    ,1335,-106
20120120,IF1202                        ,8,鲁证期货    ,23225,-9675,广发期货    ,1358,-114,中粮期货    ,1246,12
20120120,IF1202                        ,9,南华期货    ,23106,-4244,永安期货    ,1223,-473,中信建投    ,1197,-8
20120120,IF1202                        ,10,中信期货    ,22732,-5419,浙商期货    ,1140,423,银河期货    ,1029,-44
20120120,IF1202                        ,11,光大期货    ,22358,-2478,鲁证期货    ,1097,-131,大华期货    ,985,28
20120120,IF1202                        ,12,浙商期货    ,19296,-6826,国信期货    ,1008,23,南华期货    ,752,99
20120120,IF1202                        ,13,中投天琪    ,15453,-5038,兴证期货    ,880,-36,招商期货    ,673,-93
20120120,IF1202                        ,14,上海东证    ,14993,-1652,东海期货    ,830,55,兴证期货    ,667,-392
20120120,IF1202                        ,15,招商期货    ,13811,-2976,金瑞期货    ,830,322,东海期货    ,562,65
20120120,IF1202                        ,16,永安期货    ,12735,-1398,信达期货    ,803,-161,申银万国    ,506,-192
20120120,IF1202                        ,17,中国国际    ,12346,-3570,招商期货    ,796,-146,永安期货    ,448,-36
20120120,IF1202                        ,18,信达期货    ,11284,-2443,中粮期货    ,785,-110,中钢期货    ,430,70
20120120,IF1202                        ,19,渤海期货    ,10279,-4648,申银万国    ,751,-521,鲁证期货    ,357,-46
20120120,IF1202                        ,20,国信期货    ,10179,-734,安信期货    ,683,-77,金瑞期货    ,341,35
