交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20120208,IF1202                        ,期货公司,773075,121794,37140,2343,37151,2290
20120208,IF1202                        ,非期货公司,0,0,0,0,0,0
20120208,IF1203                        ,期货公司,64419,22000,14538,915,14553,908
20120208,IF1203                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20120208,IF1202                        ,1,兴证期货    ,62533,13330,国泰君安    ,2999,508,中信期货    ,6618,602
20120208,IF1202                        ,2,广发期货    ,61559,11753,海通期货    ,2460,298,国泰君安    ,5093,695
20120208,IF1202                        ,3,华泰长城    ,58522,8868,华泰长城    ,2195,204,华泰长城    ,2553,142
20120208,IF1202                        ,4,海通期货    ,56960,10053,南华期货    ,1805,279,上海东证    ,2165,578
20120208,IF1202                        ,5,国泰君安    ,53073,5606,广发期货    ,1570,236,海通期货    ,1624,76
20120208,IF1202                        ,6,银河期货    ,27700,2308,银河期货    ,1505,122,广发期货    ,1375,29
20120208,IF1202                        ,7,中信期货    ,27598,4366,中信期货    ,1457,358,光大期货    ,1244,-709
20120208,IF1202                        ,8,鲁证期货    ,25108,3198,永安期货    ,1324,192,申银万国    ,1209,286
20120208,IF1202                        ,9,申银万国    ,24392,2296,鲁证期货    ,1303,229,中信建投    ,1137,273
20120208,IF1202                        ,10,光大期货    ,24367,5183,光大期货    ,1301,-124,南华期货    ,1016,146
20120208,IF1202                        ,11,南华期货    ,23765,3794,申银万国    ,937,-280,中粮期货    ,1007,353
20120208,IF1202                        ,12,浙商期货    ,18394,2236,招商期货    ,919,142,银河期货    ,881,-270
20120208,IF1202                        ,13,永安期货    ,15522,2915,中粮期货    ,917,148,东海期货    ,775,452
20120208,IF1202                        ,14,中投天琪    ,15363,2482,浙商期货    ,767,-167,国信期货    ,660,55
20120208,IF1202                        ,15,信达期货    ,13958,774,信达期货    ,766,-103,鲁证期货    ,646,151
20120208,IF1202                        ,16,上海东证    ,13612,-1533,格林大华    ,733,-3,兴证期货    ,643,-99
20120208,IF1202                        ,17,招商期货    ,12362,-612,上海东证    ,732,6,永安期货    ,558,-286
20120208,IF1202                        ,18,中国国际    ,12245,4165,中投天琪    ,720,151,中投天琪    ,529,210
20120208,IF1202                        ,19,长江期货    ,11486,3510,安信期货    ,632,134,大华期货    ,517,-455
20120208,IF1202                        ,20,东吴期货    ,11125,2126,中国国际    ,585,-133,招商期货    ,465,-140
20120208,IF1203                        ,1,华泰长城    ,11845,3185,国泰君安    ,1101,136,海通期货    ,2339,64
20120208,IF1203                        ,2,海通期货    ,3701,1359,南华期货    ,1046,58,中信期货    ,2164,858
20120208,IF1203                        ,3,中国国际    ,3347,1278,华泰长城    ,985,231,华泰长城    ,1687,-10
20120208,IF1203                        ,4,申银万国    ,3307,1084,广发期货    ,704,62,光大期货    ,1476,-135
20120208,IF1203                        ,5,国泰君安    ,3019,852,海通期货    ,693,55,国泰君安    ,1108,15
20120208,IF1203                        ,6,银河期货    ,2654,532,东吴期货    ,658,36,广发期货    ,961,-144
20120208,IF1203                        ,7,南华期货    ,2450,760,中信期货    ,627,10,招商期货    ,910,5
20120208,IF1203                        ,8,永安期货    ,2221,712,光大期货    ,614,245,中粮期货    ,469,58
20120208,IF1203                        ,9,经易期货    ,2178,1162,永安期货    ,588,105,兴证期货    ,387,75
20120208,IF1203                        ,10,中信期货    ,2116,1012,浙商期货    ,545,126,永安期货    ,227,42
20120208,IF1203                        ,11,宏源期货    ,1983,684,银河期货    ,455,68,南华期货    ,183,4
20120208,IF1203                        ,12,光大期货    ,1848,725,鲁证期货    ,454,17,银河期货    ,177,-78
20120208,IF1203                        ,13,广发期货    ,1646,741,浙江中大    ,427,63,中投天琪    ,172,112
20120208,IF1203                        ,14,鲁证期货    ,1619,644,信达期货    ,368,-121,申银万国    ,139,45
20120208,IF1203                        ,15,浙商期货    ,1354,770,中粮期货    ,343,59,南证期货    ,135,-35
20120208,IF1203                        ,16,上海东证    ,1174,337,申银万国    ,303,-66,中信建投    ,121,9
20120208,IF1203                        ,17,信达期货    ,1103,772,东海期货    ,270,-21,中钢期货    ,120,-38
20120208,IF1203                        ,18,国信期货    ,1039,536,弘业期货    ,270,24,新湖期货    ,117,58
20120208,IF1203                        ,19,兴证期货    ,980,89,中国国际    ,234,-109,鲁证期货    ,114,30
20120208,IF1203                        ,20,中粮期货    ,973,317,瑞达期货    ,225,-2,东吴期货    ,112,68
