交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20120507,IF1205                        ,期货公司,488104,-153396,47677,847,47768,813
20120507,IF1205                        ,非期货公司,0,0,0,0,0,0
20120507,IF1206                        ,期货公司,33096,638,18529,1810,18544,1802
20120507,IF1206                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20120507,IF1205                        ,1,华泰长城    ,40912,-15830,国泰君安    ,3499,85,国泰君安    ,7251,957
20120507,IF1205                        ,2,国泰君安    ,38888,-9825,华泰长城    ,2754,-24,中信期货    ,6542,-506
20120507,IF1205                        ,3,兴证期货    ,32097,-7892,永安期货    ,2683,249,华泰长城    ,3983,344
20120507,IF1205                        ,4,海通期货    ,29034,-6508,南华期货    ,2432,-4,海通期货    ,3304,-137
20120507,IF1205                        ,5,广发期货    ,25020,-13244,海通期货    ,2366,19,银河期货    ,1587,319
20120507,IF1205                        ,6,南华期货    ,18853,-6671,光大期货    ,2343,555,兴证期货    ,1535,232
20120507,IF1205                        ,7,鲁证期货    ,17933,-2108,广发期货    ,2181,32,申银万国    ,1528,-165
20120507,IF1205                        ,8,申银万国    ,17853,-5387,中信期货    ,1828,-506,南华期货    ,1476,-233
20120507,IF1205                        ,9,中信期货    ,17596,-4105,申银万国    ,1445,170,光大期货    ,1427,-63
20120507,IF1205                        ,10,中投天琪    ,15236,-446,银河期货    ,1303,-317,大华期货    ,1263,306
20120507,IF1205                        ,11,光大期货    ,14634,-4823,鲁证期货    ,1269,-380,广发期货    ,1167,-84
20120507,IF1205                        ,12,银河期货    ,12800,-6832,东海期货    ,1226,302,鲁证期货    ,1116,193
20120507,IF1205                        ,13,渤海期货    ,12715,-4556,上海东证    ,1203,-107,国信期货    ,1021,315
20120507,IF1205                        ,14,浙商期货    ,11093,-3089,信达期货    ,1187,92,中粮期货    ,835,-375
20120507,IF1205                        ,15,上海东证    ,11044,-6409,浙商期货    ,1076,300,中信建投    ,809,-33
20120507,IF1205                        ,16,永安期货    ,10023,-5606,国联期货    ,1043,-20,长江期货    ,801,94
20120507,IF1205                        ,17,招商期货    ,8997,-1972,金瑞期货    ,1007,251,上海东证    ,787,63
20120507,IF1205                        ,18,信达期货    ,8344,-1625,中投天琪    ,1001,331,永安期货    ,683,26
20120507,IF1205                        ,19,东海期货    ,7683,-1443,格林大华    ,875,50,浙商期货    ,636,3
20120507,IF1205                        ,20,国信期货    ,7429,-2502,国信期货    ,848,92,东海期货    ,596,11
20120507,IF1206                        ,1,华泰长城    ,5662,-1217,国泰君安    ,1516,246,海通期货    ,2515,163
20120507,IF1206                        ,2,海通期货    ,2319,-424,广发期货    ,1042,87,光大期货    ,2295,-24
20120507,IF1206                        ,3,广发期货    ,2078,708,华泰长城    ,893,93,国泰君安    ,2243,92
20120507,IF1206                        ,4,国泰君安    ,1686,15,永安期货    ,860,101,招商期货    ,1916,4
20120507,IF1206                        ,5,光大期货    ,1237,551,光大期货    ,764,315,广发期货    ,1883,563
20120507,IF1206                        ,6,鲁证期货    ,1090,451,南华期货    ,762,252,中信期货    ,1724,62
20120507,IF1206                        ,7,银河期货    ,1074,9,海通期货    ,722,-70,华泰长城    ,536,-1
20120507,IF1206                        ,8,南华期货    ,990,104,中信期货    ,640,63,中粮期货    ,518,84
20120507,IF1206                        ,9,经易期货    ,959,-586,银河期货    ,626,53,宝城期货    ,334,136
20120507,IF1206                        ,10,浙商期货    ,953,296,中国国际    ,582,-28,国信期货    ,314,-96
20120507,IF1206                        ,11,申银万国    ,918,-286,信达期货    ,524,103,南华期货    ,311,-4
20120507,IF1206                        ,12,中国国际    ,827,-289,国联期货    ,469,-11,永安期货    ,260,23
20120507,IF1206                        ,13,英大期货    ,813,567,浙商期货    ,468,179,中信建投    ,256,98
20120507,IF1206                        ,14,宏源期货    ,632,-67,万达期货    ,464,74,北京首创    ,253,99
20120507,IF1206                        ,15,国信期货    ,627,244,鲁证期货    ,406,-30,长江期货    ,203,-6
20120507,IF1206                        ,16,东海期货    ,615,213,东吴期货    ,399,-19,大华期货    ,195,108
20120507,IF1206                        ,17,永安期货    ,562,-263,中粮期货    ,395,-46,中钢期货    ,169,46
20120507,IF1206                        ,18,中信期货    ,549,-100,上海东证    ,395,0,国都期货    ,166,47
20120507,IF1206                        ,19,兴证期货    ,522,67,东海期货    ,350,15,信达期货    ,146,108
20120507,IF1206                        ,20,万达期货    ,521,39,申银万国    ,306,49,平安期货    ,140,69
