交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20120619,IF1207                        ,期货公司,582948,-140821,50034,1729,50073,1717
20120619,IF1207                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20120619,IF1207                        ,1,海通期货    ,47149,-16068,国泰君安    ,4089,446,国泰君安    ,7595,-392
20120619,IF1207                        ,2,国泰君安    ,44742,-5074,银河期货    ,2729,253,海通期货    ,5699,14
20120619,IF1207                        ,3,华泰长城    ,42061,-11643,中信期货    ,2722,167,中信期货    ,5030,279
20120619,IF1207                        ,4,广发期货    ,30360,-16605,华泰长城    ,2621,268,光大期货    ,4221,-286
20120619,IF1207                        ,5,兴证期货    ,28896,-14620,广发期货    ,2273,70,广发期货    ,2488,-14
20120619,IF1207                        ,6,鲁证期货    ,22010,-4910,海通期货    ,2270,53,招商期货    ,2241,-124
20120619,IF1207                        ,7,中信期货    ,21482,-6952,南华期货    ,2195,227,申银万国    ,1985,8
20120619,IF1207                        ,8,申银万国    ,21182,-3386,光大期货    ,1721,94,华泰长城    ,1906,55
20120619,IF1207                        ,9,南华期货    ,20130,-4386,申银万国    ,1602,72,中粮期货    ,1563,70
20120619,IF1207                        ,10,光大期货    ,19852,1277,鲁证期货    ,1477,80,南华期货    ,1220,245
20120619,IF1207                        ,11,中投天琪    ,18212,9,国信期货    ,1450,439,国信期货    ,1171,169
20120619,IF1207                        ,12,银河期货    ,16288,-5716,永安期货    ,1391,-198,中信建投    ,1035,32
20120619,IF1207                        ,13,上海东证    ,15727,-2135,金瑞期货    ,1278,-224,大华期货    ,854,252
20120619,IF1207                        ,14,渤海期货    ,14659,1242,上海东证    ,1217,204,鲁证期货    ,851,-210
20120619,IF1207                        ,15,永安期货    ,12696,-1923,浙商期货    ,1143,88,银河期货    ,737,31
20120619,IF1207                        ,16,招商期货    ,11610,-3990,信达期货    ,1129,70,浙商期货    ,710,11
20120619,IF1207                        ,17,国信期货    ,11298,-2260,招商期货    ,1082,118,永安期货    ,632,294
20120619,IF1207                        ,18,浙商期货    ,11085,-2120,格林大华    ,839,22,兴证期货    ,629,-99
20120619,IF1207                        ,19,信达期货    ,10605,439,兴证期货    ,771,95,宝城期货    ,624,344
20120619,IF1207                        ,20,瑞达期货    ,10283,-3159,东海期货    ,745,50,上海东证    ,584,-635
