交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20120719,IF1207                        ,期货公司,114127,-220874,10853,-12232,10878,-12253
20120719,IF1207                        ,非期货公司,0,0,0,0,0,0
20120719,IF1208                        ,期货公司,881737,169515,52548,8644,52608,8669
20120719,IF1208                        ,非期货公司,0,0,0,0,0,0
20120719,IF1209                        ,期货公司,17937,-5809,16670,-50,16705,-41
20120719,IF1209                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20120719,IF1207                        ,1,华泰长城    ,26727,-26998,华泰长城    ,969,-615,国泰君安    ,4027,-2044
20120719,IF1207                        ,2,国泰君安    ,7153,-15761,中信期货    ,628,-355,中信期货    ,1175,-3026
20120719,IF1207                        ,3,光大期货    ,6021,-8188,国泰君安    ,555,-801,中粮期货    ,618,-1152
20120719,IF1207                        ,4,申银万国    ,5200,-9751,金瑞期货    ,546,-180,东海期货    ,560,-100
20120719,IF1207                        ,5,海通期货    ,4968,-11758,海通期货    ,471,-516,银河期货    ,559,-100
20120719,IF1207                        ,6,广发期货    ,4926,-14086,银河期货    ,459,-934,华泰长城    ,380,-852
20120719,IF1207                        ,7,中信期货    ,4895,-5550,广发期货    ,457,-741,上海东证    ,373,-204
20120719,IF1207                        ,8,银河期货    ,4586,-8220,浙商期货    ,418,-358,海通期货    ,332,-478
20120719,IF1207                        ,9,鲁证期货    ,3350,-5818,南华期货    ,412,-561,中投天琪    ,314,-93
20120719,IF1207                        ,10,宏源期货    ,2535,-2090,兴证期货    ,354,-242,申银万国    ,261,-598
20120719,IF1207                        ,11,国信期货    ,2376,-4987,上海东证    ,334,-180,鲁证期货    ,246,-205
20120719,IF1207                        ,12,南华期货    ,2362,-6173,永安期货    ,314,-449,浙商期货    ,232,-75
20120719,IF1207                        ,13,招商期货    ,2115,-4876,中投天琪    ,307,-366,南华期货    ,206,-207
20120719,IF1207                        ,14,永安期货    ,1983,-4578,信达期货    ,304,-301,中信建投    ,164,-248
20120719,IF1207                        ,15,信达期货    ,1962,-3849,光大期货    ,284,-290,广发期货    ,151,-235
20120719,IF1207                        ,16,浙商期货    ,1817,-6037,国信期货    ,263,-370,宏源期货    ,136,-113
20120719,IF1207                        ,17,华安期货    ,1631,-1161,长江期货    ,262,-163,国信期货    ,123,-118
20120719,IF1207                        ,18,中粮期货    ,1564,-210,大华期货    ,235,-43,新湖期货    ,118,-58
20120719,IF1207                        ,19,中信建投    ,1325,-2257,招商期货    ,230,-275,招商期货    ,110,-202
20120719,IF1207                        ,20,中投天琪    ,1293,-3398,弘业期货    ,217,-149,万达期货    ,100,-132
20120719,IF1208                        ,1,华泰长城    ,68149,1823,国泰君安    ,4763,538,中信期货    ,11131,2419
20120719,IF1208                        ,2,海通期货    ,67816,10328,海通期货    ,3339,582,国泰君安    ,4414,1663
20120719,IF1208                        ,3,国泰君安    ,64817,11413,银河期货    ,2699,1163,光大期货    ,4387,197
20120719,IF1208                        ,4,兴证期货    ,61655,16061,华泰长城    ,2681,-123,海通期货    ,3534,276
20120719,IF1208                        ,5,广发期货    ,58648,9267,广发期货    ,2195,132,华泰长城    ,3348,646
20120719,IF1208                        ,6,光大期货    ,32680,1166,南华期货    ,2088,388,申银万国    ,3013,610
20120719,IF1208                        ,7,申银万国    ,30769,4122,中信期货    ,1945,93,招商期货    ,2476,-95
20120719,IF1208                        ,8,渤海期货    ,30116,4972,申银万国    ,1919,617,金瑞期货    ,1831,-462
20120719,IF1208                        ,9,中信期货    ,30100,10790,永安期货    ,1848,535,广发期货    ,1697,298
20120719,IF1208                        ,10,鲁证期货    ,27663,4226,光大期货    ,1671,-755,中信建投    ,1437,175
20120719,IF1208                        ,11,南华期货    ,26488,4874,浙商期货    ,1644,472,中粮期货    ,1407,688
20120719,IF1208                        ,12,银河期货    ,26399,5807,鲁证期货    ,1566,365,鲁证期货    ,1135,298
20120719,IF1208                        ,13,中投天琪    ,22124,1689,上海东证    ,1469,314,南华期货    ,987,8
20120719,IF1208                        ,14,浙商期货    ,21556,8166,信达期货    ,1318,16,国信期货    ,882,77
20120719,IF1208                        ,15,上海东证    ,18660,3840,东海期货    ,1286,722,兴证期货    ,797,133
20120719,IF1208                        ,16,永安期货    ,17481,7089,国信期货    ,1207,43,中投天琪    ,651,403
20120719,IF1208                        ,17,国信期货    ,16332,1491,招商期货    ,1194,285,银河期货    ,528,-132
20120719,IF1208                        ,18,招商期货    ,14098,1294,中投天琪    ,974,363,上海浙石    ,525,4
20120719,IF1208                        ,19,信达期货    ,13168,6168,金瑞期货    ,879,194,宝城期货    ,516,33
20120719,IF1208                        ,20,中信建投    ,12580,2087,兴证期货    ,840,208,中钢期货    ,453,74
20120719,IF1209                        ,1,华泰长城    ,5814,-2017,国泰君安    ,2665,54,招商期货    ,3088,-36
20120719,IF1209                        ,2,广发期货    ,971,-146,华泰长城    ,1036,5,海通期货    ,2597,16
20120719,IF1209                        ,3,国泰君安    ,900,-655,广发期货    ,940,-194,国泰君安    ,1863,-118
20120719,IF1209                        ,4,申银万国    ,793,-112,银河期货    ,809,-19,广发期货    ,1483,-73
20120719,IF1209                        ,5,海通期货    ,636,-597,海通期货    ,752,18,中信期货    ,1457,72
20120719,IF1209                        ,6,宝城期货    ,603,233,金瑞期货    ,742,16,兴证期货    ,886,15
20120719,IF1209                        ,7,兴证期货    ,600,-217,中信期货    ,632,36,银河期货    ,820,6
20120719,IF1209                        ,8,国信期货    ,404,-167,南华期货    ,548,-1,华泰长城    ,664,21
20120719,IF1209                        ,9,南华期货    ,386,-75,鲁证期货    ,500,-10,光大期货    ,659,-1
20120719,IF1209                        ,10,经易期货    ,385,-174,永安期货    ,445,-31,国元期货    ,489,60
20120719,IF1209                        ,11,英大期货    ,376,169,民生期货    ,439,0,南华期货    ,334,-3
20120719,IF1209                        ,12,鲁证期货    ,356,-23,光大期货    ,419,17,金元期货    ,301,-1
20120719,IF1209                        ,13,永安期货    ,336,-59,招商期货    ,416,-5,国信期货    ,290,7
20120719,IF1209                        ,14,长江期货    ,325,159,中国国际    ,396,42,中粮期货    ,268,4
20120719,IF1209                        ,15,银河期货    ,319,36,上海东证    ,372,-37,国都期货    ,217,0
20120719,IF1209                        ,16,万达期货    ,299,96,申银万国    ,313,-56,西部期货    ,167,0
20120719,IF1209                        ,17,中信期货    ,278,-28,万达期货    ,308,-37,和融期货    ,114,0
20120719,IF1209                        ,18,光大期货    ,274,-347,方正中期    ,308,8,东吴期货    ,96,2
20120719,IF1209                        ,19,中国国际    ,231,-147,信达期货    ,306,16,申银万国    ,89,19
20120719,IF1209                        ,20,中粮期货    ,222,125,弘业期货    ,227,4,中银国际    ,88,0
