交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20120723,IF1208                        ,期货公司,623663,-97290,59904,-190,59974,-203
20120723,IF1208                        ,非期货公司,0,0,0,0,0,0
20120723,IF1209                        ,期货公司,16936,193,16616,-303,16648,-307
20120723,IF1209                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20120723,IF1208                        ,1,华泰长城    ,47358,-3112,国泰君安    ,5298,287,中信期货    ,11437,29
20120723,IF1208                        ,2,国泰君安    ,45836,-8361,华泰长城    ,3620,290,国泰君安    ,7854,245
20120723,IF1208                        ,3,海通期货    ,45353,-8189,海通期货    ,3137,72,海通期货    ,3973,19
20120723,IF1208                        ,4,广发期货    ,42189,-4730,银河期货    ,2991,-248,光大期货    ,3777,-992
20120723,IF1208                        ,5,兴证期货    ,40329,-10414,南华期货    ,2694,246,华泰长城    ,3667,120
20120723,IF1208                        ,6,光大期货    ,26868,2824,广发期货    ,2637,-260,申银万国    ,3391,211
20120723,IF1208                        ,7,申银万国    ,23634,-2178,中信期货    ,2549,-88,招商期货    ,2328,-372
20120723,IF1208                        ,8,鲁证期货    ,23335,-2896,申银万国    ,2177,331,中粮期货    ,2113,57
20120723,IF1208                        ,9,中信期货    ,19171,-2220,光大期货    ,2043,158,金瑞期货    ,1880,-12
20120723,IF1208                        ,10,渤海期货    ,18524,-10847,鲁证期货    ,1725,-224,中信建投    ,1504,-178
20120723,IF1208                        ,11,中投天琪    ,17763,-1802,信达期货    ,1710,-192,广发期货    ,1393,-99
20120723,IF1208                        ,12,南华期货    ,17586,-4269,上海东证    ,1673,97,鲁证期货    ,1336,211
20120723,IF1208                        ,13,银河期货    ,16957,-5530,永安期货    ,1670,-410,上海东证    ,1013,-203
20120723,IF1208                        ,14,上海东证    ,14122,-2594,浙商期货    ,1631,-68,南华期货    ,982,48
20120723,IF1208                        ,15,招商期货    ,14116,-285,国信期货    ,1571,58,国信期货    ,947,-223
20120723,IF1208                        ,16,浙商期货    ,13411,-3442,招商期货    ,1511,248,中投天琪    ,912,603
20120723,IF1208                        ,17,永安期货    ,11877,-3643,中投天琪    ,1085,-14,宝城期货    ,883,355
20120723,IF1208                        ,18,国信期货    ,10415,-3839,兴证期货    ,1029,-56,银河期货    ,812,27
20120723,IF1208                        ,19,信达期货    ,9886,-1765,长江期货    ,948,150,兴证期货    ,730,-189
20120723,IF1208                        ,20,中信建投    ,7888,-2150,东吴期货    ,905,74,上海浙石    ,580,32
20120723,IF1209                        ,1,华泰长城    ,5734,1169,国泰君安    ,2683,-58,招商期货    ,3079,-2
20120723,IF1209                        ,2,中信期货    ,858,605,华泰长城    ,1060,45,海通期货    ,2589,-8
20120723,IF1209                        ,3,国泰君安    ,757,75,海通期货    ,902,56,国泰君安    ,1808,17
20120723,IF1209                        ,4,海通期货    ,756,-186,广发期货    ,864,-48,中信期货    ,1455,8
20120723,IF1209                        ,5,申银万国    ,590,30,银河期货    ,804,3,广发期货    ,1355,23
20120723,IF1209                        ,6,广发期货    ,583,-346,金瑞期货    ,678,-52,兴证期货    ,922,-74
20120723,IF1209                        ,7,银河期货    ,520,-182,南华期货    ,644,-16,华泰长城    ,823,127
20120723,IF1209                        ,8,永安期货    ,417,-221,中信期货    ,635,6,银河期货    ,787,-59
20120723,IF1209                        ,9,鲁证期货    ,403,-91,招商期货    ,452,33,光大期货    ,662,3
20120723,IF1209                        ,10,宏源期货    ,381,256,民生期货    ,444,3,国元期货    ,494,5
20120723,IF1209                        ,11,金元期货    ,329,311,鲁证期货    ,426,18,南华期货    ,329,0
20120723,IF1209                        ,12,光大期货    ,321,-156,信达期货    ,394,-1,国信期货    ,307,-11
20120723,IF1209                        ,13,兴证期货    ,295,-181,中国国际    ,390,-33,中粮期货    ,261,-2
20120723,IF1209                        ,14,南华期货    ,294,-27,上海东证    ,381,-70,国都期货    ,217,-1
20120723,IF1209                        ,15,新湖期货    ,287,69,永安期货    ,376,-223,西部期货    ,217,53
20120723,IF1209                        ,16,中国国际    ,279,5,申银万国    ,338,14,上海东证    ,120,-55
20120723,IF1209                        ,17,金瑞期货    ,276,176,方正中期    ,319,4,和融期货    ,114,0
20120723,IF1209                        ,18,经易期货    ,264,-47,万达期货    ,277,-19,宝城期货    ,103,40
20120723,IF1209                        ,19,万达期货    ,263,-45,光大期货    ,248,0,东吴期货    ,99,1
20120723,IF1209                        ,20,国信期货    ,217,-286,弘业期货    ,243,10,中银国际    ,88,1
