交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20130218,IF1302                        ,期货公司,65187,-102720,0,-9371,0,-9355
20130218,IF1302                        ,非期货公司,0,0,0,0,0,0
20130218,IF1303                        ,期货公司,1223464,-17931,101844,2100,101972,1958
20130218,IF1303                        ,非期货公司,0,0,0,0,0,0
20130218,IF1306                        ,期货公司,30221,713,21401,2065,21402,2064
20130218,IF1306                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20130218,IF1302                        ,1,华泰长城    ,17059,-28721,国泰君安    ,0,-866,国泰君安    ,0,-1606
20130218,IF1302                        ,2,国泰君安    ,4322,-6419,南华期货    ,0,-318,南华期货    ,0,-100
20130218,IF1302                        ,3,申银万国    ,3204,-2986,永安期货    ,0,-428,永安期货    ,0,-60
20130218,IF1302                        ,4,海通期货    ,2472,-3060,一德期货    ,0,-41,一德期货    ,0,-9
20130218,IF1302                        ,5,鲁证期货    ,2341,-2201,鲁证期货    ,0,-453,鲁证期货    ,0,-63
20130218,IF1302                        ,6,中信期货    ,2148,-2402,光大期货    ,0,-146,光大期货    ,0,-593
20130218,IF1302                        ,7,经易期货    ,2017,-1750,东海期货    ,0,-269,东海期货    ,0,-61
20130218,IF1302                        ,8,新湖期货    ,1895,605,浙商期货    ,0,-222,浙商期货    ,0,-43
20130218,IF1302                        ,9,光大期货    ,1822,-5863,中粮期货    ,0,-23,中粮期货    ,0,-391
20130218,IF1302                        ,10,宏源期货    ,1751,-823,华泰长城    ,0,-416,华泰长城    ,0,-357
20130218,IF1302                        ,11,兴证期货    ,1680,-2024,五矿期货    ,0,-155,五矿期货    ,0,-38
20130218,IF1302                        ,12,南华期货    ,1492,-2476,广发期货    ,0,-184,广发期货    ,0,-223
20130218,IF1302                        ,13,浙商期货    ,1465,-1792,信达期货    ,0,-655,信达期货    ,0,-379
20130218,IF1302                        ,14,五矿期货    ,1441,-42,中信期货    ,0,-320,中信期货    ,0,-1737
20130218,IF1302                        ,15,信达期货    ,1411,-1565,金瑞期货    ,0,-671,金瑞期货    ,0,-144
20130218,IF1302                        ,16,中信建投    ,1282,-1209,新世纪     ,0,-114,新世纪     ,0,-12
20130218,IF1302                        ,17,银河期货    ,1252,-3461,经易期货    ,0,-5,经易期货    ,0,-257
20130218,IF1302                        ,18,广发期货    ,1147,-3490,兴证期货    ,0,-245,兴证期货    ,0,-164
20130218,IF1302                        ,19,招商期货    ,1006,-1048,建信期货    ,0,-32,建信期货    ,0,-5
20130218,IF1302                        ,20,国信期货    ,860,-1736,平安期货    ,0,-35,平安期货    ,0,-4
20130218,IF1303                        ,1,海通期货    ,108000,-8531,国泰君安    ,8621,-992,海通期货    ,16724,-888
20130218,IF1303                        ,2,华泰长城    ,102296,-7816,华泰长城    ,6286,748,中信期货    ,15227,-361
20130218,IF1303                        ,3,兴证期货    ,96804,18472,永安期货    ,5681,14,国泰君安    ,11116,2000
20130218,IF1303                        ,4,广发期货    ,95746,964,广发期货    ,5465,9,光大期货    ,6567,-206
20130218,IF1303                        ,5,国泰君安    ,87388,-4143,海通期货    ,5057,126,广发期货    ,5828,-187
20130218,IF1303                        ,6,光大期货    ,77838,7765,东海期货    ,4608,258,中粮期货    ,4586,130
20130218,IF1303                        ,7,申银万国    ,45917,8685,南华期货    ,3997,35,华泰长城    ,4526,136
20130218,IF1303                        ,8,南华期货    ,41928,-6119,光大期货    ,3846,234,南华期货    ,2720,297
20130218,IF1303                        ,9,中信期货    ,40490,1925,中信期货    ,3680,-2471,鲁证期货    ,2482,633
20130218,IF1303                        ,10,上海东证    ,35559,864,金瑞期货    ,3097,422,中信建投    ,2319,5
20130218,IF1303                        ,11,浙商期货    ,31005,-3868,申银万国    ,3029,388,银河期货    ,1853,84
20130218,IF1303                        ,12,鲁证期货    ,27919,-4817,银河期货    ,2912,-61,申银万国    ,1667,53
20130218,IF1303                        ,13,银河期货    ,27259,-2668,鲁证期货    ,2592,428,国信期货    ,1609,251
20130218,IF1303                        ,14,永安期货    ,21692,-5255,浙商期货    ,2525,16,金瑞期货    ,1547,222
20130218,IF1303                        ,15,招商期货    ,21128,-1650,上海东证    ,2486,-184,国都期货    ,1479,203
20130218,IF1303                        ,16,中投天琪    ,21007,4161,安信期货    ,2245,-32,长江期货    ,1468,101
20130218,IF1303                        ,17,渤海期货    ,17436,583,中国国际    ,2082,134,兴证期货    ,1432,143
20130218,IF1303                        ,18,东海期货    ,16541,2075,招商期货    ,2032,461,信达期货    ,1287,-251
20130218,IF1303                        ,19,国信期货    ,15525,920,兴证期货    ,1984,293,宝城期货    ,1226,-37
20130218,IF1303                        ,20,金瑞期货    ,15422,-5948,信达期货    ,1650,190,招商期货    ,1193,-143
20130218,IF1306                        ,1,华泰长城    ,7438,1577,国泰君安    ,4091,295,招商期货    ,4103,70
20130218,IF1306                        ,2,宏源期货    ,2602,2483,永安期货    ,1982,30,广发期货    ,4084,488
20130218,IF1306                        ,3,经易期货    ,2270,296,金瑞期货    ,1274,226,中信期货    ,2773,288
20130218,IF1306                        ,4,广发期货    ,1881,-190,中信期货    ,981,72,国泰君安    ,2772,53
20130218,IF1306                        ,5,鲁证期货    ,1203,726,新湖期货    ,914,4,海通期货    ,1652,167
20130218,IF1306                        ,6,申银万国    ,1146,240,南华期货    ,907,46,光大期货    ,968,600
20130218,IF1306                        ,7,光大期货    ,1123,-218,海通期货    ,829,336,上海东证    ,760,8
20130218,IF1306                        ,8,招商期货    ,1092,-296,一德期货    ,797,-58,长江期货    ,572,-3
20130218,IF1306                        ,9,海通期货    ,1027,-378,信达期货    ,660,15,平安期货    ,471,61
20130218,IF1306                        ,10,国泰君安    ,888,-563,华泰长城    ,620,75,华泰长城    ,375,91
20130218,IF1306                        ,11,瑞达期货    ,866,-375,东海期货    ,518,-1,国信期货    ,368,325
20130218,IF1306                        ,12,浙商期货    ,698,16,广发期货    ,507,67,兴证期货    ,306,-10
20130218,IF1306                        ,13,兴证期货    ,695,-105,中国国际    ,489,12,和融期货    ,261,6
20130218,IF1306                        ,14,国信期货    ,581,67,招商期货    ,430,20,宏源期货    ,235,10
20130218,IF1306                        ,15,中信期货    ,558,121,安信期货    ,420,-8,信达期货    ,214,193
20130218,IF1306                        ,16,中国国际    ,525,274,万达期货    ,396,3,申银万国    ,200,-10
20130218,IF1306                        ,17,渤海期货    ,470,-125,上海东证    ,323,3,南华期货    ,199,5
20130218,IF1306                        ,18,方正中期    ,404,231,方正中期    ,321,220,鲁证期货    ,181,-2
20130218,IF1306                        ,19,同信久恒    ,394,88,国金期货    ,312,-1,中信建投    ,110,0
20130218,IF1306                        ,20,弘业期货    ,393,223,光大期货    ,309,95,国都期货    ,83,0
