交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20130603,IF1306                        ,期货公司,1158974,-166418,89068,1134,89068,1134
20130603,IF1306                        ,非期货公司,0,0,0,0,0,0
20130603,IF1307                        ,期货公司,44118,2876,19226,1289,19226,1289
20130603,IF1307                        ,非期货公司,0,0,0,0,0,0
20130603,IF1309                        ,期货公司,18532,-1258,18435,-624,18435,-624
20130603,IF1309                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20130603,IF1306                        ,1,华泰长城    ,101623,-9490,国泰君安    ,10688,649,国泰君安    ,10315,659
20130603,IF1306                        ,2,兴证期货    ,87730,-14989,银河期货    ,4623,229,中信期货    ,10102,538
20130603,IF1306                        ,3,国泰君安    ,86756,-7032,华泰长城    ,4073,-282,华泰长城    ,7524,361
20130603,IF1306                        ,4,海通期货    ,74986,-15372,广发期货    ,4012,56,光大期货    ,6291,386
20130603,IF1306                        ,5,光大期货    ,58967,-8389,中信期货    ,3613,-258,广发期货    ,4977,-143
20130603,IF1306                        ,6,广发期货    ,53993,-5186,永安期货    ,3557,77,银河期货    ,4209,-216
20130603,IF1306                        ,7,南华期货    ,45012,-10342,南华期货    ,3535,514,海通期货    ,4169,-112
20130603,IF1306                        ,8,申银万国    ,43384,-3642,海通期货    ,3475,-290,中粮期货    ,3708,-91
20130603,IF1306                        ,9,鲁证期货    ,41735,-4276,光大期货    ,3104,-269,申银万国    ,2801,87
20130603,IF1306                        ,10,中信期货    ,40606,-4836,鲁证期货    ,2797,-245,招商期货    ,2800,117
20130603,IF1306                        ,11,上海东证    ,34066,-3129,申银万国    ,2081,-5,鲁证期货    ,2720,248
20130603,IF1306                        ,12,银河期货    ,32451,-5409,中国国际    ,2062,-90,中信建投    ,2515,289
20130603,IF1306                        ,13,招商期货    ,27673,863,招商期货    ,2057,86,南华期货    ,2031,-262
20130603,IF1306                        ,14,浙商期货    ,26484,-7112,浙商期货    ,1948,607,国金期货    ,2014,61
20130603,IF1306                        ,15,中投天琪    ,24084,-1752,上海东证    ,1774,-158,国元期货    ,1921,-21
20130603,IF1306                        ,16,永安期货    ,20894,-7112,信达期货    ,1688,-42,中银国际    ,1559,57
20130603,IF1306                        ,17,经易期货    ,20594,-917,中投天琪    ,1642,-182,上海东证    ,1438,768
20130603,IF1306                        ,18,渤海期货    ,19290,-2381,东海期货    ,1548,-110,金瑞期货    ,1383,-378
20130603,IF1306                        ,19,中信建投    ,18352,-1012,中信建投    ,1448,77,兴证期货    ,1187,-67
20130603,IF1306                        ,20,金瑞期货    ,15760,-4718,兴证期货    ,1393,-1,国信期货    ,1169,-86
20130603,IF1307                        ,1,华泰长城    ,10594,1664,国泰君安    ,2545,445,海通期货    ,8852,378
20130603,IF1307                        ,2,海通期货    ,5796,-752,永安期货    ,1412,42,国泰君安    ,2094,430
20130603,IF1307                        ,3,国泰君安    ,2785,1171,国投中谷    ,1087,0,中信期货    ,1826,77
20130603,IF1307                        ,4,南华期货    ,2636,18,海通期货    ,808,-72,兴证期货    ,888,39
20130603,IF1307                        ,5,申银万国    ,2297,489,中粮期货    ,798,30,光大期货    ,837,1
20130603,IF1307                        ,6,经易期货    ,1982,323,银河期货    ,797,25,广发期货    ,826,64
20130603,IF1307                        ,7,中信期货    ,1068,-177,光大期货    ,779,-70,中粮期货    ,504,-1
20130603,IF1307                        ,8,浙商期货    ,1066,30,华泰长城    ,660,-188,中银国际    ,500,0
20130603,IF1307                        ,9,银河期货    ,1031,-375,五矿期货    ,660,6,南华期货    ,462,10
20130603,IF1307                        ,10,宏源期货    ,1015,-348,浙商期货    ,658,100,华泰长城    ,450,82
20130603,IF1307                        ,11,中国国际    ,1009,571,中信期货    ,625,99,信达期货    ,309,1
20130603,IF1307                        ,12,光大期货    ,965,-39,金瑞期货    ,612,112,弘业期货    ,235,2
20130603,IF1307                        ,13,金瑞期货    ,926,632,广发期货    ,576,29,鲁证期货    ,189,55
20130603,IF1307                        ,14,广发期货    ,859,262,中国国际    ,566,46,申银万国    ,175,3
20130603,IF1307                        ,15,浙江中大    ,768,127,鲁证期货    ,524,212,银河期货    ,169,28
20130603,IF1307                        ,16,兴证期货    ,761,4,招商期货    ,520,135,中钢期货    ,155,4
20130603,IF1307                        ,17,招商期货    ,737,65,宝城期货    ,430,37,和融期货    ,130,0
20130603,IF1307                        ,18,鲁证期货    ,615,-89,方正中期    ,418,18,国金期货    ,67,2
20130603,IF1307                        ,19,东吴期货    ,585,92,北京首创    ,387,13,长江期货    ,56,2
20130603,IF1307                        ,20,永安期货    ,456,147,东海期货    ,385,23,国都期货    ,53,0
20130603,IF1309                        ,1,华泰长城    ,4137,-700,国泰君安    ,3345,18,海通期货    ,4515,-43
20130603,IF1309                        ,2,海通期货    ,1813,-172,永安期货    ,1054,57,中信期货    ,4238,-19
20130603,IF1309                        ,3,南华期货    ,1227,102,中国国际    ,1053,17,招商期货    ,2761,14
20130603,IF1309                        ,4,经易期货    ,1139,228,银河期货    ,849,30,国泰君安    ,2139,-180
20130603,IF1309                        ,5,浙商期货    ,905,392,海通期货    ,826,4,上海东证    ,827,-108
20130603,IF1309                        ,6,永安期货    ,898,418,方正中期    ,804,16,平安期货    ,542,-17
20130603,IF1309                        ,7,申银万国    ,696,-33,南华期货    ,803,33,光大期货    ,405,-87
20130603,IF1309                        ,8,国泰君安    ,610,-175,广发期货    ,709,-4,华泰长城    ,378,-6
20130603,IF1309                        ,9,招商期货    ,593,-524,国投中谷    ,665,0,中信建投    ,317,-16
20130603,IF1309                        ,10,浙江中大    ,548,474,华泰长城    ,606,-7,新湖期货    ,302,-6
20130603,IF1309                        ,11,广发期货    ,497,-199,中信期货    ,495,-24,宏源期货    ,220,3
20130603,IF1309                        ,12,光大期货    ,434,156,宝城期货    ,473,1,和融期货    ,200,0
20130603,IF1309                        ,13,金瑞期货    ,413,194,五矿期货    ,460,4,弘业期货    ,179,5
20130603,IF1309                        ,14,中信期货    ,381,-462,鲁证期货    ,396,-2,鲁证期货    ,127,-11
20130603,IF1309                        ,15,兴证期货    ,298,66,中粮期货    ,374,23,宝城期货    ,120,-2
20130603,IF1309                        ,16,国信期货    ,243,-3,申银万国    ,359,8,中钢期货    ,111,-2
20130603,IF1309                        ,17,长江期货    ,227,75,招商期货    ,330,1,银河期货    ,105,-18
20130603,IF1309                        ,18,新湖期货    ,190,-36,光大期货    ,313,19,浙江中大    ,103,8
20130603,IF1309                        ,19,宏源期货    ,186,-533,中钢期货    ,293,-3,浙商期货    ,70,-2
20130603,IF1309                        ,20,鲁证期货    ,175,-138,万达期货    ,279,6,广发期货    ,64,-43
