交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20130711,IF1307                        ,期货公司,2353920,300904,51385,-10650,51385,-10650
20130711,IF1307                        ,非期货公司,0,0,0,0,0,0
20130711,IF1308                        ,期货公司,125212,67148,12515,2225,12515,2225
20130711,IF1308                        ,非期货公司,0,0,0,0,0,0
20130711,IF1309                        ,期货公司,134102,60454,19717,-813,19717,-813
20130711,IF1309                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20130711,IF1307                        ,1,兴证期货    ,233377,45572,国泰君安    ,5431,-1384,中信期货    ,6185,495
20130711,IF1307                        ,2,华泰长城    ,180915,20956,广发期货    ,3447,13,华泰长城    ,5336,-1631
20130711,IF1307                        ,3,国泰君安    ,173754,31668,光大期货    ,3100,265,国泰君安    ,3456,-466
20130711,IF1307                        ,4,海通期货    ,163523,16910,华泰长城    ,2821,-380,广发期货    ,2892,-341
20130711,IF1307                        ,5,广发期货    ,152958,31017,海通期货    ,2432,-277,海通期货    ,2681,-230
20130711,IF1307                        ,6,光大期货    ,117997,14848,鲁证期货    ,2354,511,国金期货    ,2099,-422
20130711,IF1307                        ,7,申银万国    ,82488,12446,中粮期货    ,2260,-455,南华期货    ,2092,-407
20130711,IF1307                        ,8,南华期货    ,79675,2978,上海东证    ,2028,1177,银河期货    ,1674,89
20130711,IF1307                        ,9,中信期货    ,76717,6379,南华期货    ,1888,-712,申银万国    ,1373,-506
20130711,IF1307                        ,10,鲁证期货    ,70063,6229,中信期货    ,1614,-1444,永安期货    ,1371,153
20130711,IF1307                        ,11,银河期货    ,63282,4372,永安期货    ,1485,-1226,鲁证期货    ,1281,-342
20130711,IF1307                        ,12,永安期货    ,59443,13023,申银万国    ,1330,-1150,光大期货    ,1226,-1002
20130711,IF1307                        ,13,上海东证    ,55674,10089,招商期货    ,1276,180,中粮期货    ,1217,-41
20130711,IF1307                        ,14,浙商期货    ,53765,8667,银河期货    ,1235,-1103,安信期货    ,1085,-315
20130711,IF1307                        ,15,招商期货    ,38163,4536,一德期货    ,1128,609,中信建投    ,1058,-268
20130711,IF1307                        ,16,宏源期货    ,37297,9278,锦泰期货    ,944,739,信达期货    ,967,-337
20130711,IF1307                        ,17,经易期货    ,34676,6571,兴证期货    ,773,-138,国信期货    ,939,-210
20130711,IF1307                        ,18,信达期货    ,34261,-686,国信期货    ,754,-65,金瑞期货    ,839,16
20130711,IF1307                        ,19,渤海期货    ,32494,-410,瑞达期货    ,742,349,兴证期货    ,818,-171
20130711,IF1307                        ,20,中信建投    ,29747,447,同信久恒    ,689,-16,国元期货    ,744,-92
20130711,IF1308                        ,1,华泰长城    ,21757,8558,永安期货    ,1334,707,海通期货    ,2250,202
20130711,IF1308                        ,2,海通期货    ,7754,2486,国泰君安    ,848,442,国泰君安    ,1345,88
20130711,IF1308                        ,3,南华期货    ,6812,3020,中信期货    ,801,215,南华期货    ,1206,392
20130711,IF1308                        ,4,申银万国    ,6403,4374,广发期货    ,738,310,鲁证期货    ,844,13
20130711,IF1308                        ,5,经易期货    ,5667,3806,华泰长城    ,650,-72,光大期货    ,841,58
20130711,IF1308                        ,6,中信期货    ,5190,2668,光大期货    ,619,-125,金瑞期货    ,643,568
20130711,IF1308                        ,7,国泰君安    ,4900,2989,招商期货    ,590,51,信达期货    ,622,60
20130711,IF1308                        ,8,永安期货    ,4622,2924,海通期货    ,566,346,新湖期货    ,613,490
20130711,IF1308                        ,9,新湖期货    ,4571,3074,申银万国    ,519,366,中信期货    ,497,1
20130711,IF1308                        ,10,广发期货    ,3984,2187,中粮期货    ,446,232,华泰长城    ,398,-85
20130711,IF1308                        ,11,鲁证期货    ,3792,2707,银河期货    ,400,200,永安期货    ,255,-19
20130711,IF1308                        ,12,浙商期货    ,3749,1821,南华期货    ,385,2,宏源期货    ,212,28
20130711,IF1308                        ,13,宏源期货    ,3468,1958,信达期货    ,351,301,东吴期货    ,211,120
20130711,IF1308                        ,14,兴证期货    ,3280,2171,兴证期货    ,342,194,安信期货    ,208,167
20130711,IF1308                        ,15,光大期货    ,3243,2012,鲁证期货    ,268,47,北京首创    ,186,32
20130711,IF1308                        ,16,招商期货    ,2727,1422,浙商期货    ,236,-457,中信建投    ,147,-39
20130711,IF1308                        ,17,银河期货    ,2590,1064,安信期货    ,231,-19,国金期货    ,131,131
20130711,IF1308                        ,18,国信期货    ,2472,1533,东海期货    ,181,61,申银万国    ,126,-133
20130711,IF1308                        ,19,上海东证    ,2176,1398,长江期货    ,179,49,和融期货    ,123,33
20130711,IF1308                        ,20,浙江中大    ,2161,856,东吴期货    ,172,-131,上海东证    ,123,16
20130711,IF1309                        ,1,华泰长城    ,28737,13211,华泰长城    ,2112,-12,国泰君安    ,4679,413
20130711,IF1309                        ,2,海通期货    ,8809,2790,信达期货    ,1988,311,招商期货    ,3059,-48
20130711,IF1309                        ,3,南华期货    ,7092,1126,国泰君安    ,1409,-17,中信期货    ,1980,45
20130711,IF1309                        ,4,广发期货    ,6510,3661,光大期货    ,1103,405,光大期货    ,1135,-90
20130711,IF1309                        ,5,经易期货    ,6482,3946,中信期货    ,1095,54,海通期货    ,1013,-28
20130711,IF1309                        ,6,新湖期货    ,6230,4026,广发期货    ,930,100,银河期货    ,743,178
20130711,IF1309                        ,7,光大期货    ,6187,3032,浙商期货    ,863,-81,华泰长城    ,558,-361
20130711,IF1309                        ,8,国泰君安    ,5328,2404,海通期货    ,775,-171,上海东证    ,540,-39
20130711,IF1309                        ,9,银河期货    ,4879,2617,南华期货    ,654,-50,广发期货    ,487,212
20130711,IF1309                        ,10,中信期货    ,4721,883,永安期货    ,597,-130,中银国际    ,465,190
20130711,IF1309                        ,11,宏源期货    ,3445,1091,银河期货    ,542,69,永安期货    ,444,-496
20130711,IF1309                        ,12,永安期货    ,3184,1566,中国国际    ,478,2,金瑞期货    ,381,-336
20130711,IF1309                        ,13,鲁证期货    ,2866,1231,兴证期货    ,437,-74,安信期货    ,333,18
20130711,IF1309                        ,14,申银万国    ,2848,807,鲁证期货    ,428,-7,新湖期货    ,316,-127
20130711,IF1309                        ,15,金瑞期货    ,2820,1653,申银万国    ,371,-165,南华期货    ,301,-78
20130711,IF1309                        ,16,信达期货    ,2783,1760,宏源期货    ,334,50,宏源期货    ,254,21
20130711,IF1309                        ,17,中投天琪    ,2695,2005,方正中期    ,331,-62,和融期货    ,230,27
20130711,IF1309                        ,18,浙商期货    ,2258,693,中粮期货    ,281,21,中钢期货    ,185,-86
20130711,IF1309                        ,19,国信期货    ,1640,750,东海期货    ,254,8,申银万国    ,167,7
20130711,IF1309                        ,20,招商期货    ,1569,327,招商期货    ,251,-73,经易期货    ,164,107
