交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20130717,IF1307                        ,期货公司,1425514,-241956,22596,-11614,22596,-11614
20130717,IF1307                        ,非期货公司,0,0,0,0,0,0
20130717,IF1308                        ,期货公司,671736,375338,36341,11030,36341,11030
20130717,IF1308                        ,非期货公司,0,0,0,0,0,0
20130717,IF1309                        ,期货公司,88542,19016,21452,1402,21452,1402
20130717,IF1309                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20130717,IF1307                        ,1,兴证期货    ,141433,-21836,国泰君安    ,4309,-1464,中信期货    ,2345,-915
20130717,IF1307                        ,2,华泰长城    ,119626,-13748,华泰长城    ,1343,-715,华泰长城    ,1690,-513
20130717,IF1307                        ,3,海通期货    ,103254,-22696,南华期货    ,1266,-417,国泰君安    ,1481,-873
20130717,IF1307                        ,4,广发期货    ,84917,-5673,永安期货    ,1194,305,国金期货    ,1359,-1026
20130717,IF1307                        ,5,国泰君安    ,78981,-28565,光大期货    ,1085,-919,广发期货    ,1214,-948
20130717,IF1307                        ,6,光大期货    ,71833,-15644,申银万国    ,934,-459,海通期货    ,1033,-769
20130717,IF1307                        ,7,南华期货    ,55334,-7917,广发期货    ,778,-661,银河期货    ,937,-55
20130717,IF1307                        ,8,申银万国    ,51016,-1963,海通期货    ,702,-305,申银万国    ,913,21
20130717,IF1307                        ,9,鲁证期货    ,45977,-11315,鲁证期货    ,651,-423,兴证期货    ,884,61
20130717,IF1307                        ,10,上海东证    ,45719,-8274,银河期货    ,635,-311,南华期货    ,796,-1127
20130717,IF1307                        ,11,中信期货    ,44025,-4276,中信建投    ,634,-108,光大期货    ,712,-238
20130717,IF1307                        ,12,银河期货    ,33424,-8510,中信期货    ,632,-244,鲁证期货    ,697,-48
20130717,IF1307                        ,13,宏源期货    ,32502,5719,西部期货    ,426,32,国信期货    ,624,-192
20130717,IF1307                        ,14,浙商期货    ,30009,-7567,安信期货    ,415,9,国都期货    ,536,-11
20130717,IF1307                        ,15,招商期货    ,29220,-3290,中粮期货    ,396,-441,上海东证    ,425,-90
20130717,IF1307                        ,16,永安期货    ,27122,-5726,浙商期货    ,368,-217,中钢期货    ,381,-44
20130717,IF1307                        ,17,经易期货    ,25700,2529,信达期货    ,330,-82,海证期货    ,381,323
20130717,IF1307                        ,18,信达期货    ,24038,1227,上海东证    ,325,-213,中粮期货    ,350,-405
20130717,IF1307                        ,19,渤海期货    ,20786,-7188,长江期货    ,310,-182,中信建投    ,338,-519
20130717,IF1307                        ,20,国信期货    ,20433,-1253,中国国际    ,293,-159,永安期货    ,323,-505
20130717,IF1308                        ,1,华泰长城    ,96786,41279,广发期货    ,2740,413,海通期货    ,4273,1167
20130717,IF1308                        ,2,海通期货    ,59982,33454,中信期货    ,2210,751,华泰长城    ,3633,1585
20130717,IF1308                        ,3,光大期货    ,44127,29234,国泰君安    ,2158,267,国泰君安    ,3038,420
20130717,IF1308                        ,4,国泰君安    ,35159,19764,鲁证期货    ,1847,515,中信期货    ,2363,1101
20130717,IF1308                        ,5,中信期货    ,26774,14877,华泰长城    ,1820,865,广发期货    ,2227,1275
20130717,IF1308                        ,6,南华期货    ,25511,13056,银河期货    ,1776,586,南华期货    ,1661,65
20130717,IF1308                        ,7,新湖期货    ,23349,12375,光大期货    ,1728,814,光大期货    ,1608,723
20130717,IF1308                        ,8,宏源期货    ,22484,13362,中粮期货    ,1719,236,中粮期货    ,1533,493
20130717,IF1308                        ,9,银河期货    ,22430,15190,永安期货    ,1477,398,永安期货    ,1181,297
20130717,IF1308                        ,10,申银万国    ,21915,12327,申银万国    ,1476,474,鲁证期货    ,1084,236
20130717,IF1308                        ,11,上海东证    ,17643,11412,招商期货    ,1212,217,招商期货    ,825,622
20130717,IF1308                        ,12,广发期货    ,17392,8318,海通期货    ,979,-5,中信建投    ,822,440
20130717,IF1308                        ,13,中投天琪    ,15348,12679,南华期货    ,948,336,安信期货    ,817,162
20130717,IF1308                        ,14,鲁证期货    ,15325,9401,宏源期货    ,848,560,上海东证    ,783,587
20130717,IF1308                        ,15,浙商期货    ,15155,9934,东海期货    ,712,428,银河期货    ,781,478
20130717,IF1308                        ,16,经易期货    ,15063,3947,金元期货    ,592,552,国元期货    ,663,526
20130717,IF1308                        ,17,永安期货    ,13437,5641,兴证期货    ,579,203,国金期货    ,662,67
20130717,IF1308                        ,18,中信建投    ,10610,6933,浙商期货    ,577,288,中国国际    ,630,85
20130717,IF1308                        ,19,信达期货    ,9868,5625,中国国际    ,574,166,金瑞期货    ,590,-244
