交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20131205,IF1312                        ,期货公司,1097376,-591598,94268,-3743,94268,-3743
20131205,IF1312                        ,非期货公司,0,0,0,0,0,0
20131205,IF1401                        ,期货公司,35136,-26160,12264,213,12264,213
20131205,IF1401                        ,非期货公司,0,0,0,0,0,0
20131205,IF1403                        ,期货公司,18006,-17132,11891,378,11891,378
20131205,IF1403                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20131205,IF1312                        ,1,海通期货    ,90597,-69543,国泰君安    ,8176,-251,海通期货    ,12738,-483
20131205,IF1312                        ,2,国泰君安    ,90419,-48192,中信期货    ,6566,114,中信期货    ,11291,368
20131205,IF1312                        ,3,华泰长城    ,87446,-29564,广发期货    ,4709,-413,国泰君安    ,9443,-324
20131205,IF1312                        ,4,光大期货    ,56482,-3433,光大期货    ,4317,110,广发期货    ,6736,162
20131205,IF1312                        ,5,广发期货    ,52421,-43346,华泰长城    ,4214,-950,华泰长城    ,5903,56
20131205,IF1312                        ,6,南华期货    ,48836,-14823,南华期货    ,4194,-184,南华期货    ,3469,-256
20131205,IF1312                        ,7,兴证期货    ,46700,-29023,银河期货    ,3808,17,永安期货    ,2961,-558
20131205,IF1312                        ,8,申银万国    ,43455,-19377,鲁证期货    ,3713,80,申银万国    ,2708,51
20131205,IF1312                        ,9,鲁证期货    ,36006,-23833,海通期货    ,3600,-776,中粮期货    ,2572,77
20131205,IF1312                        ,10,中信期货    ,33750,-29151,申银万国    ,3278,-466,银河期货    ,2488,-272
20131205,IF1312                        ,11,永安期货    ,33080,-15195,永安期货    ,2820,48,中信建投    ,2296,117
20131205,IF1312                        ,12,银河期货    ,30927,-12774,金瑞期货    ,2567,-70,鲁证期货    ,2059,-86
20131205,IF1312                        ,13,浙商期货    ,27546,-20606,中投天琪    ,2470,235,上海东证    ,1795,-516
20131205,IF1312                        ,14,招商期货    ,25102,-6969,上海东证    ,2138,555,金瑞期货    ,1682,105
20131205,IF1312                        ,15,上海东证    ,24735,-6947,东海期货    ,1964,-22,光大期货    ,1679,-562
20131205,IF1312                        ,16,金瑞期货    ,17241,-7772,信达期货    ,1923,-200,兴证期货    ,1584,-166
20131205,IF1312                        ,17,中信建投    ,16796,-4439,新湖期货    ,1869,-272,国信期货    ,1574,-154
20131205,IF1312                        ,18,宏源期货    ,16640,-9640,浙商期货    ,1743,-100,平安期货    ,1266,120
20131205,IF1312                        ,19,瑞达期货    ,16611,-4074,一德期货    ,1635,292,招商期货    ,1211,-79
20131205,IF1312                        ,20,信达期货    ,15842,-8566,中粮期货    ,1612,48,浙江中大    ,1156,-67
20131205,IF1401                        ,1,海通期货    ,4569,-3898,国泰君安    ,1202,90,海通期货    ,2162,202
