交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20131206,IF1312                        ,期货公司,1191676,94300,92816,-1452,92816,-1452
20131206,IF1312                        ,非期货公司,0,0,0,0,0,0
20131206,IF1401                        ,期货公司,38880,3744,12933,669,12933,669
20131206,IF1401                        ,非期货公司,0,0,0,0,0,0
20131206,IF1403                        ,期货公司,21894,3888,12129,238,12129,238
20131206,IF1403                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20131206,IF1312                        ,1,海通期货    ,104977,14380,国泰君安    ,7707,-469,海通期货    ,14610,1872
20131206,IF1312                        ,2,国泰君安    ,102072,11653,中信期货    ,5689,-877,中信期货    ,11096,-195
20131206,IF1312                        ,3,华泰长城    ,88374,928,广发期货    ,4754,45,国泰君安    ,9182,-261
20131206,IF1312                        ,4,广发期货    ,55127,2706,华泰长城    ,4492,278,广发期货    ,6318,-418
20131206,IF1312                        ,5,光大期货    ,53820,-2662,光大期货    ,4368,51,华泰长城    ,6189,286
20131206,IF1312                        ,6,南华期货    ,48265,-571,南华期货    ,4218,24,南华期货    ,3180,-289
20131206,IF1312                        ,7,兴证期货    ,47691,991,鲁证期货    ,3964,251,中粮期货    ,2754,182
20131206,IF1312                        ,8,申银万国    ,45928,2473,海通期货    ,3517,-83,银河期货    ,2703,215
20131206,IF1312                        ,9,鲁证期货    ,42124,6118,永安期货    ,2938,118,申银万国    ,2652,-56
20131206,IF1312                        ,10,中信期货    ,40894,7144,申银万国    ,2908,-370,中信建投    ,2197,-99
20131206,IF1312                        ,11,永安期货    ,37659,4579,银河期货    ,2881,-927,永安期货    ,2032,-929
20131206,IF1312                        ,12,浙商期货    ,30738,3192,中投天琪    ,2496,26,上海东证    ,2013,218
20131206,IF1312                        ,13,银河期货    ,30586,-341,浙商期货    ,2151,408,鲁证期货    ,1714,-345
20131206,IF1312                        ,14,上海东证    ,27812,3077,信达期货    ,2120,197,金瑞期货    ,1587,-95
20131206,IF1312                        ,15,招商期货    ,23508,-1594,东海期货    ,2093,129,安信期货    ,1571,719
20131206,IF1312                        ,16,中投天琪    ,21723,6784,上海东证    ,1944,-194,国信期货    ,1508,-66
