交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20131211,IF1312                        ,期货公司,1175910,-46494,92030,263,92030,263
20131211,IF1312                        ,非期货公司,0,0,0,0,0,0
20131211,IF1401                        ,期货公司,72784,17844,23111,5613,23111,5613
20131211,IF1401                        ,非期货公司,0,0,0,0,0,0
20131211,IF1403                        ,期货公司,23630,946,13413,114,13413,114
20131211,IF1403                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20131211,IF1312                        ,1,国泰君安    ,104563,-2022,国泰君安    ,11027,2221,海通期货    ,15293,-610
20131211,IF1312                        ,2,海通期货    ,104525,1165,广发期货    ,4752,123,中信期货    ,10402,-881
20131211,IF1312                        ,3,华泰长城    ,88586,119,华泰长城    ,4382,-349,国泰君安    ,8051,-436
20131211,IF1312                        ,4,广发期货    ,62596,3046,鲁证期货    ,4341,666,广发期货    ,5491,-511
20131211,IF1312                        ,5,光大期货    ,56983,-1820,中信期货    ,4205,-308,华泰长城    ,5209,249
20131211,IF1312                        ,6,兴证期货    ,55709,-1229,光大期货    ,3692,-323,银河期货    ,3748,383
20131211,IF1312                        ,7,申银万国    ,47894,1948,南华期货    ,3403,-241,中粮期货    ,3180,312
20131211,IF1312                        ,8,南华期货    ,46192,-2787,申银万国    ,3119,75,南华期货    ,2772,-215
20131211,IF1312                        ,9,中信期货    ,41479,5308,银河期货    ,2805,-213,申银万国    ,2700,29
20131211,IF1312                        ,10,鲁证期货    ,38551,-2714,永安期货    ,2688,-297,永安期货    ,2442,813
20131211,IF1312                        ,11,银河期货    ,30136,-3877,海通期货    ,2541,-565,上海东证    ,2386,-148
20131211,IF1312                        ,12,永安期货    ,29524,-4398,中投天琪    ,2377,345,中信建投    ,2159,59
20131211,IF1312                        ,13,浙商期货    ,27278,-5588,信达期货    ,2069,-69,光大期货    ,1913,594
20131211,IF1312                        ,14,上海东证    ,23797,-63,东海期货    ,1881,-165,金瑞期货    ,1714,275
20131211,IF1312                        ,15,宏源期货    ,21952,3421,上海东证    ,1818,-107,鲁证期货    ,1627,125
20131211,IF1312                        ,16,招商期货    ,19756,-2774,瑞达期货    ,1809,220,国信期货    ,1579,53
20131211,IF1312                        ,17,中投天琪    ,19099,-381,金瑞期货    ,1798,-334,兴证期货    ,1443,-248
20131211,IF1312                        ,18,瑞达期货    ,18412,-3545,中粮期货    ,1794,34,安信期货    ,1406,-18
20131211,IF1312                        ,19,金瑞期货    ,17985,-3515,格林大华    ,1793,10,平安期货    ,1186,-68
20131211,IF1312                        ,20,经易期货    ,17699,-570,招商期货    ,1707,116,格林大华    ,1107,205
20131211,IF1401                        ,1,华泰长城    ,10337,2269,国泰君安    ,4314,2994,海通期货    ,3814,705
20131211,IF1401                        ,2,海通期货    ,8321,1516,中信期货    ,1566,89,中信期货    ,3688,1252
20131211,IF1401                        ,3,国泰君安    ,6590,3272,海通期货    ,1227,220,华泰长城    ,2893,659
20131211,IF1401                        ,4,中信期货    ,5951,1493,永安期货    ,1058,135,广发期货    ,1775,1450
20131211,IF1401                        ,5,南华期货    ,4047,1686,光大期货    ,1021,180,南华期货    ,1636,328
20131211,IF1401                        ,6,广发期货    ,2845,1398,申银万国    ,823,65,国泰君安    ,1171,140
20131211,IF1401                        ,7,光大期货    ,2617,545,银河期货    ,750,45,申银万国    ,956,160
