交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20131231,IF1401                        ,期货公司,1631522,497728,91351,-6761,91351,-6761
20131231,IF1401                        ,非期货公司,0,0,0,0,0,0
20131231,IF1403                        ,期货公司,48964,15470,18142,-507,18142,-507
20131231,IF1403                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20131231,IF1401                        ,1,海通期货    ,138595,47025,国泰君安    ,13798,-78,海通期货    ,13370,-228
20131231,IF1401                        ,2,国泰君安    ,136027,37753,中信期货    ,5870,-76,中信期货    ,11110,-854
20131231,IF1401                        ,3,华泰长城    ,118864,34179,广发期货    ,4385,-215,华泰长城    ,8417,-388
20131231,IF1401                        ,4,广发期货    ,83260,30733,华泰长城    ,3583,-54,广发期货    ,7571,-271
20131231,IF1401                        ,5,兴证期货    ,74211,25678,海通期货    ,3492,-273,国泰君安    ,6619,-163
20131231,IF1401                        ,6,光大期货    ,71117,20327,南华期货    ,3428,-218,银河期货    ,3919,-95
20131231,IF1401                        ,7,申银万国    ,65717,18243,光大期货    ,3334,-359,南华期货    ,3223,-259
20131231,IF1401                        ,8,南华期货    ,62321,11247,鲁证期货    ,3245,-669,中粮期货    ,3031,-66
20131231,IF1401                        ,9,中信期货    ,52978,19233,方正中期    ,2893,2173,申银万国    ,2766,-446
20131231,IF1401                        ,10,浙商期货    ,49547,14352,新湖期货    ,2613,230,上海东证    ,2341,454
20131231,IF1401                        ,11,永安期货    ,44038,9058,永安期货    ,2532,-327,中信建投    ,2023,-100
20131231,IF1401                        ,12,银河期货    ,40241,12083,银河期货    ,2459,-414,鲁证期货    ,1840,-72
20131231,IF1401                        ,13,鲁证期货    ,35425,11795,申银万国    ,2325,-411,招商期货    ,1826,157
20131231,IF1401                        ,14,上海东证    ,31696,12901,中投天琪    ,2093,-49,光大期货    ,1771,-934
20131231,IF1401                        ,15,宏源期货    ,30498,9563,瑞达期货    ,2039,59,平安期货    ,1316,-109
20131231,IF1401                        ,16,上海中期    ,28691,10304,招商期货    ,1694,-94,兴证期货    ,1207,6
20131231,IF1401                        ,17,金瑞期货    ,27749,9418,信达期货    ,1653,-202,永安期货    ,1155,-139
20131231,IF1401                        ,18,经易期货    ,27332,5611,中粮期货    ,1623,-206,国金期货    ,1147,29
20131231,IF1401                        ,19,国信期货    ,25037,8817,浙商期货    ,1496,-303,浙江中大    ,1047,-147
20131231,IF1401                        ,20,信达期货    ,24981,6904,安信期货    ,1445,-99,格林大华    ,886,-329
20131231,IF1403                        ,1,华泰长城    ,7035,1857,国泰君安    ,3043,299,广发期货    ,4289,18
20131231,IF1403                        ,2,海通期货    ,6869,2300,海通期货    ,1126,-169,中信期货    ,4202,-300
20131231,IF1403                        ,3,中信期货    ,4420,1491,银河期货    ,979,22,海通期货    ,1461,156
20131231,IF1403                        ,4,南华期货    ,3246,940,北京首创    ,803,5,南华期货    ,1277,-40
20131231,IF1403                        ,5,国泰君安    ,2255,627,广发期货    ,766,-87,国泰君安    ,972,26
20131231,IF1403                        ,6,申银万国    ,1750,740,南华期货    ,678,-60,华泰长城    ,906,0
20131231,IF1403                        ,7,宏源期货    ,1638,768,永安期货    ,634,-162,永安期货    ,405,5
20131231,IF1403                        ,8,光大期货    ,1604,753,华泰长城    ,631,-29,安信期货    ,343,14
20131231,IF1403                        ,9,浙江中大    ,1555,-54,申银万国    ,619,-14,方正中期    ,332,274
20131231,IF1403                        ,10,新湖期货    ,1521,741,方正中期    ,537,153,国金期货    ,296,0
20131231,IF1403                        ,11,经易期货    ,1416,278,光大期货    ,524,-63,新湖期货    ,289,-12
20131231,IF1403                        ,12,广发期货    ,1173,555,中信期货    ,480,80,招商期货    ,234,7
20131231,IF1403                        ,13,永安期货    ,941,563,弘业期货    ,478,-23,上海东证    ,191,7
20131231,IF1403                        ,14,银河期货    ,816,262,中国国际    ,458,56,光大期货    ,169,-257
20131231,IF1403                        ,15,兴证期货    ,770,398,鲁证期货    ,449,-40,中信建投    ,164,2
20131231,IF1403                        ,16,鲁证期货    ,741,367,招商期货    ,439,14,长江期货    ,161,5
20131231,IF1403                        ,17,国信期货    ,725,174,中粮期货    ,341,-14,和融期货    ,161,4
20131231,IF1403                        ,18,中银国际    ,720,274,中信建投    ,325,5,中国国际    ,149,1
20131231,IF1403                        ,19,中国国际    ,625,494,东海期货    ,289,23,国都期货    ,147,4
20131231,IF1403                        ,20,长江期货    ,587,257,浙商期货    ,274,-30,申银万国    ,141,-46
