交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140318,IF1403                        ,期货公司,1003874,-270652,54429,-4020,54429,-4020
20140318,IF1403                        ,非期货公司,0,0,0,0,0,0
20140318,IF1404                        ,期货公司,249330,35614,38537,8900,38537,8900
20140318,IF1404                        ,非期货公司,0,0,0,0,0,0
20140318,IF1406                        ,期货公司,35494,-10284,25274,914,25274,914
20140318,IF1406                        ,非期货公司,0,0,0,0,0,0
20140318,IF1409                        ,期货公司,8024,-1862,11666,1064,11666,1064
20140318,IF1409                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140318,IF1403                        ,1,海通期货    ,82619,-29677,国泰君安    ,6701,-19,中信期货    ,6971,-1323
20140318,IF1403                        ,2,国泰君安    ,66911,-8049,安信期货    ,3691,946,海通期货    ,5691,511
20140318,IF1403                        ,3,兴证期货    ,51123,-16665,永安期货    ,2596,-377,国泰君安    ,4382,-1066
20140318,IF1403                        ,4,华泰长城    ,44544,-16370,中信期货    ,2063,22,华泰长城    ,2951,-594
20140318,IF1403                        ,5,广发期货    ,43707,-18547,广发期货    ,1999,164,光大期货    ,2262,1076
20140318,IF1403                        ,6,光大期货    ,42750,-6432,鲁证期货    ,1879,315,广发期货    ,2224,-383
20140318,IF1403                        ,7,申银万国    ,41114,-11831,申银万国    ,1813,-211,财富期货    ,2043,-390
20140318,IF1403                        ,8,中信期货    ,38565,-19797,华泰长城    ,1609,-538,锦泰期货    ,1462,1370
20140318,IF1403                        ,9,南华期货    ,34444,-6722,瑞达期货    ,1501,-136,国信期货    ,1409,135
20140318,IF1403                        ,10,银河期货    ,25944,1408,海通期货    ,1467,-480,申银万国    ,1377,-143
20140318,IF1403                        ,11,华鑫期货    ,22923,489,南华期货    ,1338,-269,华西期货    ,1331,355
20140318,IF1403                        ,12,经易期货    ,22399,-10239,东海期货    ,1294,675,招商期货    ,1240,305
20140318,IF1403                        ,13,永安期货    ,22369,-7708,方正中期    ,1290,-163,鲁证期货    ,1222,-355
20140318,IF1403                        ,14,上海东证    ,22118,73,光大期货    ,1281,-1210,银河期货    ,1191,-569
20140318,IF1403                        ,15,方正中期    ,21244,-1872,银河期货    ,1230,151,兴证期货    ,1141,123
20140318,IF1403                        ,16,招商期货    ,21222,-3104,兴证期货    ,1120,30,永安期货    ,1103,-388
20140318,IF1403                        ,17,鲁证期货    ,19444,-785,中信建投    ,1077,301,中钢期货    ,1005,-15
20140318,IF1403                        ,18,浙商期货    ,18200,-6715,浙商期货    ,1049,-122,同信久恒    ,884,428
20140318,IF1403                        ,19,中投天琪    ,17228,-4896,中投天琪    ,1047,-298,浙商期货    ,845,70
20140318,IF1403                        ,20,中信建投    ,16372,-4645,上海东证    ,947,-82,南华期货    ,844,23
20140318,IF1404                        ,1,华西期货    ,24745,-1552,中信期货    ,4048,525,中信期货    ,6805,1159
20140318,IF1404                        ,2,海通期货    ,24676,7521,银河期货    ,3368,301,海通期货    ,3557,785
20140318,IF1404                        ,3,中信期货    ,18950,265,国投中谷    ,1875,159,华泰长城    ,2539,411
20140318,IF1404                        ,4,国泰君安    ,16689,3062,广发期货    ,1848,362,广发期货    ,2150,495
20140318,IF1404                        ,5,华泰长城    ,8540,965,国泰君安    ,1605,448,财富期货    ,1895,193
20140318,IF1404                        ,6,广发期货    ,7795,2014,上海东证    ,1384,186,国泰君安    ,1822,973
20140318,IF1404                        ,7,申银万国    ,7662,273,申银万国    ,1372,332,南华期货    ,1692,-170
20140318,IF1404                        ,8,光大期货    ,6927,1945,华泰长城    ,1316,311,永安期货    ,1691,994
20140318,IF1404                        ,9,银河期货    ,6601,1575,方正中期    ,1288,167,新湖期货    ,1257,64
20140318,IF1404                        ,10,永安期货    ,6222,2293,永安期货    ,1220,246,方正中期    ,935,155
20140318,IF1404                        ,11,浙商期货    ,5773,687,海通期货    ,1123,695,鲁证期货    ,828,234
20140318,IF1404                        ,12,新湖期货    ,5416,-2745,南华期货    ,1104,208,国信期货    ,715,223
20140318,IF1404                        ,13,招商期货    ,5337,773,中粮期货    ,1082,90,中投天琪    ,688,502
20140318,IF1404                        ,14,经易期货    ,5305,2694,光大期货    ,1052,520,银河期货    ,673,120
20140318,IF1404                        ,15,南华期货    ,5034,-415,新湖期货    ,932,58,中信建投    ,605,82
20140318,IF1404                        ,16,浙江中大    ,4866,-202,浙商期货    ,828,355,光大期货    ,582,227
20140318,IF1404                        ,17,华鑫期货    ,4390,877,安信期货    ,787,121,安信期货    ,573,440
20140318,IF1404                        ,18,信达期货    ,4130,2005,西部期货    ,772,12,申银万国    ,501,86
20140318,IF1404                        ,19,方正中期    ,4126,486,兴证期货    ,675,254,浙江中大    ,495,147
20140318,IF1404                        ,20,兴证期货    ,4014,1530,招商期货    ,514,39,招商期货    ,388,50
20140318,IF1406                        ,1,华西期货    ,4842,-2547,海通期货    ,1983,7,中信期货    ,5267,20
20140318,IF1406                        ,2,中信期货    ,3253,-1095,国泰君安    ,1756,43,国泰君安    ,4017,-16
20140318,IF1406                        ,3,海通期货    ,2836,-1063,鲁证期货    ,1391,26,招商期货    ,2490,-11
20140318,IF1406                        ,4,华泰长城    ,2065,-627,信达期货    ,1230,9,银河期货    ,1704,-165
20140318,IF1406                        ,5,招商期货    ,1954,701,永安期货    ,1102,-20,广发期货    ,1123,126
20140318,IF1406                        ,6,银河期货    ,1386,-359,申银万国    ,1087,183,永安期货    ,896,-23
20140318,IF1406                        ,7,申银万国    ,1328,343,华泰长城    ,888,79,光大期货    ,730,18
20140318,IF1406                        ,8,广发期货    ,1137,238,广发期货    ,805,7,申银万国    ,685,15
20140318,IF1406                        ,9,南华期货    ,1116,-1301,浙商期货    ,798,-7,宝城期货    ,639,74
20140318,IF1406                        ,10,国泰君安    ,871,-371,方正中期    ,754,7,方正中期    ,529,58
20140318,IF1406                        ,11,中银国际    ,731,498,南华期货    ,753,52,海通期货    ,498,7
20140318,IF1406                        ,12,新湖期货    ,715,-582,光大期货    ,737,5,华泰长城    ,451,-8
