交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140319,IF1403                        ,期货公司,1058316,54442,34337,-20092,34337,-20092
20140319,IF1403                        ,非期货公司,0,0,0,0,0,0
20140319,IF1404                        ,期货公司,531668,282338,51591,13054,51591,13054
20140319,IF1404                        ,非期货公司,0,0,0,0,0,0
20140319,IF1406                        ,期货公司,41612,6118,25733,459,25733,459
20140319,IF1406                        ,非期货公司,0,0,0,0,0,0
20140319,IF1409                        ,期货公司,10802,2778,12431,765,12431,765
20140319,IF1409                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140319,IF1403                        ,1,海通期货    ,93568,10949,国泰君安    ,4567,-2134,海通期货    ,4371,-1320
20140319,IF1403                        ,2,国泰君安    ,67588,677,安信期货    ,1933,-1758,中信期货    ,4270,-2701
20140319,IF1403                        ,3,兴证期货    ,66149,15026,中信期货    ,1679,-384,国泰君安    ,2308,-2074
20140319,IF1403                        ,4,广发期货    ,48498,4791,南华期货    ,1528,190,广发期货    ,2100,-124
20140319,IF1403                        ,5,华泰长城    ,47024,2480,永安期货    ,1514,-1082,华泰长城    ,2015,-936
20140319,IF1403                        ,6,申银万国    ,40048,-1066,广发期货    ,1431,-568,财富期货    ,1456,-587
20140319,IF1403                        ,7,光大期货    ,37706,-5044,瑞达期货    ,1256,-245,申银万国    ,1117,-260
20140319,IF1403                        ,8,中信期货    ,33181,-5384,申银万国    ,1241,-572,中钢期货    ,986,-19
20140319,IF1403                        ,9,南华期货    ,32805,-1639,海通期货    ,1123,-344,银河期货    ,962,-229
20140319,IF1403                        ,10,华鑫期货    ,27614,4691,光大期货    ,1018,-263,招商期货    ,860,-380
20140319,IF1403                        ,11,永安期货    ,25042,2673,华泰长城    ,859,-750,国信期货    ,816,-593
20140319,IF1403                        ,12,浙商期货    ,24410,6210,宝城期货    ,846,-70,光大期货    ,733,-1529
20140319,IF1403                        ,13,经易期货    ,24057,1658,银河期货    ,818,-412,鲁证期货    ,716,-506
20140319,IF1403                        ,14,银河期货    ,23727,-2217,中国国际    ,767,-115,永安期货    ,691,-412
20140319,IF1403                        ,15,上海东证    ,22020,-98,上海东证    ,722,-225,华西期货    ,591,-740
20140319,IF1403                        ,16,华西期货    ,21782,6055,国信期货    ,705,-14,南华期货    ,551,-293
20140319,IF1403                        ,17,鲁证期货    ,20068,624,鲁证期货    ,697,-1182,兴证期货    ,526,-615
20140319,IF1403                        ,18,招商期货    ,19996,-1226,上海中期    ,581,29,浙商期货    ,517,-328
20140319,IF1403                        ,19,方正中期    ,18788,-2456,华西期货    ,579,346,中银国际    ,472,-41
20140319,IF1403                        ,20,中投天琪    ,18645,1417,招商期货    ,571,-306,大有期货    ,420,29
20140319,IF1404                        ,1,华西期货    ,44183,19438,中信期货    ,4567,519,中信期货    ,9467,2662
20140319,IF1404                        ,2,海通期货    ,39021,14345,国泰君安    ,3608,2003,海通期货    ,4035,478
20140319,IF1404                        ,3,中信期货    ,38435,19485,银河期货    ,3502,134,华泰长城    ,3815,1276
20140319,IF1404                        ,4,国泰君安    ,31183,14494,国投中谷    ,2545,670,国泰君安    ,3574,1752
20140319,IF1404                        ,5,华泰长城    ,27444,18904,光大期货    ,2065,1013,广发期货    ,2282,132
20140319,IF1404                        ,6,光大期货    ,23849,16922,广发期货    ,1864,16,申银万国    ,1964,1463
20140319,IF1404                        ,7,申银万国    ,18820,11158,永安期货    ,1815,595,财富期货    ,1938,43
20140319,IF1404                        ,8,广发期货    ,18216,10421,申银万国    ,1747,375,南华期货    ,1734,42
20140319,IF1404                        ,9,南华期货    ,13839,8805,上海东证    ,1568,184,新湖期货    ,1556,299
20140319,IF1404                        ,10,新湖期货    ,13749,8333,方正中期    ,1480,192,永安期货    ,1341,-350
20140319,IF1404                        ,11,银河期货    ,11646,5045,兴证期货    ,1451,776,国信期货    ,1203,488
20140319,IF1404                        ,12,方正中期    ,11075,6949,海通期货    ,1346,223,银河期货    ,1053,380
20140319,IF1404                        ,13,浙商期货    ,10977,5204,华泰长城    ,1308,-8,鲁证期货    ,919,91
20140319,IF1404                        ,14,永安期货    ,10675,4453,中投天琪    ,1286,948,浙江中大    ,849,354
20140319,IF1404                        ,15,招商期货    ,10187,4850,安信期货    ,1264,477,方正中期    ,848,-87
20140319,IF1404                        ,16,兴证期货    ,9916,5902,南华期货    ,1219,115,光大期货    ,824,242
20140319,IF1404                        ,17,经易期货    ,9908,4603,浙商期货    ,1193,365,上海东证    ,753,365
20140319,IF1404                        ,18,浙江中大    ,9651,4785,中粮期货    ,1151,69,招商期货    ,743,355
20140319,IF1404                        ,19,中投天琪    ,8380,5669,新湖期货    ,1006,74,华西期货    ,670,451
20140319,IF1404                        ,20,国信期货    ,7867,4271,西部期货    ,810,38,中信建投    ,537,-68
20140319,IF1406                        ,1,华西期货    ,6799,1957,国泰君安    ,2152,396,中信期货    ,5488,221
20140319,IF1406                        ,2,海通期货    ,4183,1347,海通期货    ,1767,-216,国泰君安    ,4199,182
20140319,IF1406                        ,3,中信期货    ,3398,145,鲁证期货    ,1386,-5,招商期货    ,2498,8
20140319,IF1406                        ,4,南华期货    ,1935,819,信达期货    ,1233,3,银河期货    ,1739,35
20140319,IF1406                        ,5,华泰长城    ,1609,-456,申银万国    ,1222,135,广发期货    ,1023,-100
20140319,IF1406                        ,6,国泰君安    ,1534,663,永安期货    ,1134,32,永安期货    ,914,18
20140319,IF1406                        ,7,广发期货    ,1472,335,华泰长城    ,902,14,光大期货    ,750,20
20140319,IF1406                        ,8,银河期货    ,1249,-137,广发期货    ,845,40,兴证期货    ,747,302
20140319,IF1406                        ,9,新湖期货    ,1239,524,浙商期货    ,816,18,申银万国    ,684,-1
20140319,IF1406                        ,10,永安期货    ,1076,591,方正中期    ,809,55,中信建投    ,673,286
20140319,IF1406                        ,11,申银万国    ,1054,-274,南华期货    ,773,20,方正中期    ,589,60
20140319,IF1406                        ,12,招商期货    ,1027,-927,中国国际    ,765,44,宝城期货    ,459,-180
20140319,IF1406                        ,13,兴证期货    ,1023,361,光大期货    ,747,10,上海东证    ,455,80
20140319,IF1406                        ,14,经易期货    ,683,114,大地期货    ,638,3,海通期货    ,443,-55
20140319,IF1406                        ,15,国信期货    ,670,420,北京首创    ,602,34,安信期货    ,422,32
20140319,IF1406                        ,16,浙商期货    ,658,108,弘业期货    ,592,-6,华泰长城    ,416,-35
20140319,IF1406                        ,17,宏源期货    ,635,320,中信期货    ,459,-17,长江期货    ,326,4
20140319,IF1406                        ,18,光大期货    ,620,165,东海期货    ,396,-2,南华期货    ,304,-29
20140319,IF1406                        ,19,方正中期    ,591,72,冠通期货    ,395,-2,鲁证期货    ,231,65
20140319,IF1406                        ,20,中银国际    ,575,-156,宝城期货    ,384,3,北京首创    ,226,-27
20140319,IF1409                        ,1,中信期货    ,1795,776,海通期货    ,2356,52,南华期货    ,2847,345
20140319,IF1409                        ,2,海通期货    ,1154,382,永安期货    ,889,60,国泰君安    ,2105,42
20140319,IF1409                        ,3,华泰长城    ,699,83,国泰君安    ,803,34,中信期货    ,1805,212
20140319,IF1409                        ,4,南华期货    ,602,112,方正中期    ,580,86,广发期货    ,1428,62
20140319,IF1409                        ,5,新湖期货    ,534,193,招商期货    ,527,2,永安期货    ,579,94
20140319,IF1409                        ,6,方正中期    ,514,257,广发期货    ,506,18,宝城期货    ,439,181
20140319,IF1409                        ,7,广发期货    ,380,82,华泰长城    ,434,18,上海东证    ,405,-2
20140319,IF1409                        ,8,兴证期货    ,366,140,国投中谷    ,340,0,中钢期货    ,324,-1
20140319,IF1409                        ,9,国泰君安    ,316,-81,东海期货    ,297,57,申银万国    ,311,-21
20140319,IF1409                        ,10,永安期货    ,280,31,申银万国    ,296,14,华泰长城    ,230,33
20140319,IF1409                        ,11,北京首创    ,280,251,银河期货    ,278,34,招商期货    ,208,1
20140319,IF1409                        ,12,光大期货    ,269,0,南华期货    ,236,-1,海通期货    ,158,-32
