交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140327,IF1404                        ,期货公司,1803904,552068,74529,-2419,74529,-2419
20140327,IF1404                        ,非期货公司,0,0,0,0,0,0
20140327,IF1406                        ,期货公司,80882,36990,26515,-2,26515,-2
20140327,IF1406                        ,非期货公司,0,0,0,0,0,0
20140327,IF1409                        ,期货公司,20434,7760,16234,416,16234,416
20140327,IF1409                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140327,IF1404                        ,1,海通期货    ,145636,50645,国泰君安    ,7062,1083,中信期货    ,10488,-777
20140327,IF1404                        ,2,国泰君安    ,109913,34386,银河期货    ,4709,-637,海通期货    ,8416,-420
20140327,IF1404                        ,3,兴证期货    ,108265,38924,中信期货    ,4571,463,华泰长城    ,6206,242
20140327,IF1404                        ,4,广发期货    ,89369,41948,广发期货    ,3519,-285,国泰君安    ,4728,-1778
20140327,IF1404                        ,5,中信期货    ,82256,30935,方正中期    ,3431,593,广发期货    ,4286,396
20140327,IF1404                        ,6,华泰长城    ,81262,24198,安信期货    ,3242,701,财富期货    ,2801,-114
20140327,IF1404                        ,7,申银万国    ,69162,16018,国投中谷    ,2786,-148,申银万国    ,1936,546
20140327,IF1404                        ,8,光大期货    ,67039,17340,永安期货    ,2725,-422,银河期货    ,1763,146
20140327,IF1404                        ,9,南华期货    ,51395,12579,海通期货    ,2562,272,鲁证期货    ,1700,515
20140327,IF1404                        ,10,永安期货    ,45201,12639,申银万国    ,2391,-364,国信期货    ,1693,-222
20140327,IF1404                        ,11,方正中期    ,42534,15280,光大期货    ,2333,357,兴证期货    ,1495,463
20140327,IF1404                        ,12,银河期货    ,41011,8915,南华期货    ,2276,24,永安期货    ,1476,-345
20140327,IF1404                        ,13,浙商期货    ,38738,7139,华泰长城    ,2007,-164,国金期货    ,1466,-38
20140327,IF1404                        ,14,上海东证    ,38284,9160,新湖期货    ,1972,98,南华期货    ,1346,-175
20140327,IF1404                        ,15,招商期货    ,37435,4903,上海东证    ,1571,-412,光大期货    ,1116,-220
20140327,IF1404                        ,16,经易期货    ,36618,8413,中粮期货    ,1462,152,新湖期货    ,1005,-691
20140327,IF1404                        ,17,鲁证期货    ,33217,8431,招商期货    ,1398,-14,华西期货    ,975,214
20140327,IF1404                        ,18,华鑫期货    ,30934,7286,格林大华    ,1099,181,浙商期货    ,965,93
20140327,IF1404                        ,19,中投天琪    ,30466,8738,浙商期货    ,1081,-27,浙江中大    ,965,154
20140327,IF1404                        ,20,瑞达期货    ,27573,10775,北京首创    ,1067,132,中钢期货    ,943,203
20140327,IF1406                        ,1,海通期货    ,9550,3967,国泰君安    ,1906,69,中信期货    ,5362,-136
20140327,IF1406                        ,2,华西期货    ,9529,4328,海通期货    ,1662,69,国泰君安    ,4019,15
20140327,IF1406                        ,3,中信期货    ,6419,3175,申银万国    ,1502,516,招商期货    ,2552,-4
20140327,IF1406                        ,4,南华期货    ,4304,1587,鲁证期货    ,1417,-540,银河期货    ,1696,214
20140327,IF1406                        ,5,华鑫期货    ,3130,655,信达期货    ,1198,-9,方正中期    ,1463,43
20140327,IF1406                        ,6,国泰君安    ,2924,1205,广发期货    ,1043,-50,光大期货    ,1226,145
20140327,IF1406                        ,7,华泰长城    ,2532,522,永安期货    ,958,-84,广发期货    ,1038,-62
20140327,IF1406                        ,8,新湖期货    ,2356,1701,方正中期    ,923,47,申银万国    ,725,-8
20140327,IF1406                        ,9,兴证期货    ,2310,1644,光大期货    ,894,81,永安期货    ,706,-24
20140327,IF1406                        ,10,广发期货    ,2296,1439,中国国际    ,859,109,中信建投    ,705,10
20140327,IF1406                        ,11,申银万国    ,2270,853,浙商期货    ,808,-21,宝城期货    ,459,0
20140327,IF1406                        ,12,招商期货    ,2077,1334,华泰长城    ,795,15,华泰长城    ,453,-57
