交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140403,IF1404                        ,期货公司,1378088,32082,77260,3702,77260,3702
20140403,IF1404                        ,非期货公司,0,0,0,0,0,0
20140403,IF1406                        ,期货公司,57968,5172,29395,1481,29395,1481
20140403,IF1406                        ,非期货公司,0,0,0,0,0,0
20140403,IF1409                        ,期货公司,14152,3116,17724,188,17724,188
20140403,IF1409                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140403,IF1404                        ,1,海通期货    ,113636,7263,国泰君安    ,7714,1542,中信期货    ,11306,2647
20140403,IF1404                        ,2,国泰君安    ,81350,-875,银河期货    ,4968,-398,海通期货    ,10421,1602
20140403,IF1404                        ,3,华泰长城    ,64488,9815,中信期货    ,4410,20,华泰长城    ,5416,-1430
20140403,IF1404                        ,4,申银万国    ,58739,3339,永安期货    ,4116,-273,国泰君安    ,4216,142
20140403,IF1404                        ,5,中信期货    ,54945,-2549,广发期货    ,3249,-358,广发期货    ,3705,526
20140403,IF1404                        ,6,兴证期货    ,54312,-5473,方正中期    ,2894,-35,财富期货    ,2891,158
20140403,IF1404                        ,7,光大期货    ,52122,2220,浙商期货    ,2634,97,国信期货    ,2435,-89
20140403,IF1404                        ,8,广发期货    ,51424,4531,申银万国    ,2570,96,光大期货    ,2026,-208
20140403,IF1404                        ,9,南华期货    ,44841,3498,光大期货    ,2228,158,永安期货    ,1831,40
20140403,IF1404                        ,10,经易期货    ,34313,2435,南华期货    ,1917,-254,银河期货    ,1728,-124
20140403,IF1404                        ,11,永安期货    ,33725,-3182,海通期货    ,1914,-284,申银万国    ,1662,-283
20140403,IF1404                        ,12,银河期货    ,32858,-1460,华泰长城    ,1898,432,鲁证期货    ,1418,-72
20140403,IF1404                        ,13,方正中期    ,32485,313,上海东证    ,1783,124,方正中期    ,1246,152
20140403,IF1404                        ,14,招商期货    ,31714,1345,国投中谷    ,1762,-496,兴证期货    ,1169,285
20140403,IF1404                        ,15,鲁证期货    ,27235,-806,鲁证期货    ,1733,763,新湖期货    ,1090,25
20140403,IF1404                        ,16,中信建投    ,24283,833,安信期货    ,1664,-340,南华期货    ,1084,125
