交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140416,IF1404                        ,期货公司,1264344,8920,42395,-13145,42395,-13145
20140416,IF1404                        ,非期货公司,0,0,0,0,0,0
20140416,IF1405                        ,期货公司,272022,170800,38417,14586,38417,14586
20140416,IF1405                        ,非期货公司,0,0,0,0,0,0
20140416,IF1406                        ,期货公司,74492,-4840,36083,1234,36083,1234
20140416,IF1406                        ,非期货公司,0,0,0,0,0,0
20140416,IF1409                        ,期货公司,17332,-2154,19750,-157,19750,-157
20140416,IF1409                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140416,IF1404                        ,1,海通期货    ,105378,1545,国泰君安    ,3569,-2452,海通期货    ,6614,-1166
20140416,IF1404                        ,2,国泰君安    ,79049,167,中信期货    ,3366,-400,中信期货    ,5373,-1641
20140416,IF1404                        ,3,兴证期货    ,58960,-4040,永安期货    ,2198,-628,华泰长城    ,2208,-152
20140416,IF1404                        ,4,华泰长城    ,56912,-1705,方正中期    ,1962,-448,国泰君安    ,1937,-933
20140416,IF1404                        ,5,中信期货    ,50693,-3208,海通期货    ,1948,-1234,广发期货    ,1771,-1202
20140416,IF1404                        ,6,广发期货    ,50553,7162,申银万国    ,1672,239,鲁证期货    ,1388,278
20140416,IF1404                        ,7,光大期货    ,48461,-2790,银河期货    ,1576,-401,申银万国    ,1208,-387
20140416,IF1404                        ,8,申银万国    ,40798,-3293,南华期货    ,1460,-291,财富期货    ,1192,-893
20140416,IF1404                        ,9,南华期货    ,38321,-3596,新湖期货    ,1460,-540,国信期货    ,1135,-489
20140416,IF1404                        ,10,经易期货    ,31425,2206,招商期货    ,1261,-165,安信期货    ,1125,605
20140416,IF1404                        ,11,银河期货    ,31201,726,广发期货    ,1243,-391,上海东证    ,968,-296
20140416,IF1404                        ,12,永安期货    ,29797,1075,鲁证期货    ,1223,150,永安期货    ,880,-551
20140416,IF1404                        ,13,方正中期    ,29093,-4965,光大期货    ,1213,-198,兴证期货    ,880,-426
20140416,IF1404                        ,14,招商期货    ,28291,-98,国信期货    ,1110,26,光大期货    ,821,-417
20140416,IF1404                        ,15,鲁证期货    ,27600,7173,华泰长城    ,1024,-242,方正中期    ,821,-161
20140416,IF1404                        ,16,浙江中大    ,23641,2658,浙商期货    ,978,-391,新湖期货    ,647,-445
20140416,IF1404                        ,17,中信建投    ,23597,5315,兴证期货    ,945,84,银河期货    ,602,-404
20140416,IF1404                        ,18,上海东证    ,23513,46,五矿期货    ,613,-36,中钢期货    ,597,-44
20140416,IF1404                        ,19,浙商期货    ,20993,1632,瑞达期货    ,563,-164,南华期货    ,583,-108
20140416,IF1404                        ,20,中投天琪    ,20880,432,中投天琪    ,562,-21,华西期货    ,566,-204
20140416,IF1405                        ,1,海通期货    ,26008,16248,国泰君安    ,4703,1284,中信期货    ,6055,2192
20140416,IF1405                        ,2,华西期货    ,25605,16130,银河期货    ,3605,671,海通期货    ,3958,1315
20140416,IF1405                        ,3,国泰君安    ,16030,9760,永安期货    ,3587,963,广发期货    ,3294,327
20140416,IF1405                        ,4,中信期货    ,14954,8337,海通期货    ,2781,2407,华泰长城    ,3215,1051
