交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140418,IF1404                        ,期货公司,163676,-439666,0,-19552,0,-19552
20140418,IF1404                        ,非期货公司,0,0,0,0,0,0
20140418,IF1405                        ,期货公司,1434284,610536,69905,8808,69905,8808
20140418,IF1405                        ,非期货公司,0,0,0,0,0,0
20140418,IF1406                        ,期货公司,89270,17550,38289,372,38289,372
20140418,IF1406                        ,非期货公司,0,0,0,0,0,0
20140418,IF1409                        ,期货公司,21102,4852,21047,471,21047,471
20140418,IF1409                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140418,IF1404                        ,1,海通期货    ,16367,-36106,国泰君安    ,0,-2111,国泰君安    ,0,-1092
20140418,IF1404                        ,2,华西期货    ,14929,-18102,南华期货    ,0,-585,南华期货    ,0,-249
20140418,IF1404                        ,3,中信期货    ,12346,-25229,永安期货    ,0,-475,永安期货    ,0,-386
20140418,IF1404                        ,4,国泰君安    ,8756,-22063,一德期货    ,0,-48,一德期货    ,0,-109
20140418,IF1404                        ,5,申银万国    ,7504,-12376,鲁证期货    ,0,-323,鲁证期货    ,0,-710
20140418,IF1404                        ,6,光大期货    ,6906,-17200,光大期货    ,0,-521,光大期货    ,0,-347
20140418,IF1404                        ,7,新湖期货    ,5880,-2872,东海期货    ,0,-323,东海期货    ,0,-88
20140418,IF1404                        ,8,华泰长城    ,5601,-20201,浙商期货    ,0,-610,浙商期货    ,0,-127
20140418,IF1404                        ,9,上海东证    ,4813,-12063,中粮期货    ,0,-207,中粮期货    ,0,-52
20140418,IF1404                        ,10,南华期货    ,4737,-12868,华泰长城    ,0,-606,华泰长城    ,0,-588
20140418,IF1404                        ,11,经易期货    ,3734,-8807,五矿期货    ,0,-565,五矿期货    ,0,-192
20140418,IF1404                        ,12,国信期货    ,3398,-5861,广发期货    ,0,-711,广发期货    ,0,-1021
20140418,IF1404                        ,13,广发期货    ,3361,-15733,信达期货    ,0,-163,信达期货    ,0,-57
20140418,IF1404                        ,14,兴证期货    ,3316,-18037,中信期货    ,0,-1313,中信期货    ,0,-1467
20140418,IF1404                        ,15,方正中期    ,3172,-13001,金瑞期货    ,0,-302,金瑞期货    ,0,-364
20140418,IF1404                        ,16,永安期货    ,2992,-8073,新世纪     ,0,-14,新世纪     ,0,-9
20140418,IF1404                        ,17,格林大华    ,2847,-3047,经易期货    ,0,-18,经易期货    ,0,-14
20140418,IF1404                        ,18,浙商期货    ,2617,-5762,兴证期货    ,0,-369,兴证期货    ,0,-605
20140418,IF1404                        ,19,上海中期    ,2156,-5643,建信期货    ,0,-55,建信期货    ,0,-38
20140418,IF1404                        ,20,鲁证期货    ,2130,-7192,平安期货    ,0,-40,平安期货    ,0,-23
20140418,IF1405                        ,1,海通期货    ,125489,45850,国泰君安    ,6055,-51,中信期货    ,10548,521
20140418,IF1405                        ,2,国泰君安    ,84238,32973,永安期货    ,5799,-403,海通期货    ,9563,3040
20140418,IF1405                        ,3,广发期货    ,72150,46367,银河期货    ,5311,635,华泰长城    ,4868,426
20140418,IF1405                        ,4,兴证期货    ,69254,40160,中信期货    ,3716,743,广发期货    ,4555,347
20140418,IF1405                        ,5,中信期货    ,62280,25581,海通期货    ,3422,327,国泰君安    ,3458,155
20140418,IF1405                        ,6,华泰长城    ,60889,26014,浙商期货    ,2420,828,财富期货    ,3382,47
20140418,IF1405                        ,7,申银万国    ,53801,21621,申银万国    ,2227,59,银河期货    ,1918,317
20140418,IF1405                        ,8,光大期货    ,48580,18383,广发期货    ,2209,749,光大期货    ,1885,131
20140418,IF1405                        ,9,南华期货    ,44369,21524,方正中期    ,2044,-113,鲁证期货    ,1565,85
20140418,IF1405                        ,10,银河期货    ,35528,10883,招商期货    ,1823,45,国信期货    ,1520,153
20140418,IF1405                        ,11,永安期货    ,32165,10745,华泰长城    ,1613,377,上海东证    ,1478,526
20140418,IF1405                        ,12,经易期货    ,31983,13320,光大期货    ,1557,297,兴证期货    ,1407,418
20140418,IF1405                        ,13,招商期货    ,31669,13571,南华期货    ,1534,361,申银万国    ,1385,92
20140418,IF1405                        ,14,方正中期    ,31014,16810,上海东证    ,1532,94,永安期货    ,1373,-96
20140418,IF1405                        ,15,上海东证    ,30482,9422,鲁证期货    ,1483,309,浙江中大    ,980,185
20140418,IF1405                        ,16,鲁证期货    ,25080,7394,国投中谷    ,1281,39,招商期货    ,967,286
20140418,IF1405                        ,17,大有期货    ,24634,15879,兴证期货    ,1200,164,中信建投    ,946,170
20140418,IF1405                        ,18,中信建投    ,24564,8648,宝城期货    ,1145,150,方正中期    ,897,497
20140418,IF1405                        ,19,浙商期货    ,22666,9554,新湖期货    ,1080,263,中投天琪    ,815,316
20140418,IF1405                        ,20,上海中期    ,21437,8450,国信期货    ,1025,147,新湖期货    ,810,-18
20140418,IF1406                        ,1,华西期货    ,9110,886,国泰君安    ,4711,134,中信期货    ,8443,268
20140418,IF1406                        ,2,海通期货    ,7816,814,鲁证期货    ,2604,-35,国泰君安    ,3892,-21
20140418,IF1406                        ,3,中信期货    ,7358,1633,永安期货    ,2044,143,招商期货    ,2640,1
20140418,IF1406                        ,4,国泰君安    ,4509,864,申银万国    ,1633,38,海通期货    ,2365,-24
20140418,IF1406                        ,5,招商期货    ,3766,1442,广发期货    ,1583,19,永安期货    ,1770,49
20140418,IF1406                        ,6,华泰长城    ,3697,1532,方正中期    ,1582,51,华泰长城    ,1572,-7
20140418,IF1406                        ,7,南华期货    ,3692,963,海通期货    ,1415,-118,银河期货    ,1561,64
20140418,IF1406                        ,8,上海东证    ,3292,1618,安信期货    ,1279,-104,广发期货    ,1383,-17
20140418,IF1406                        ,9,光大期货    ,2839,2056,信达期货    ,1273,-27,国金期货    ,1267,292
20140418,IF1406                        ,10,兴证期货    ,2265,627,中国国际    ,1027,64,光大期货    ,1265,-85
20140418,IF1406                        ,11,申银万国    ,2256,-717,中信期货    ,1026,-16,方正中期    ,1074,-257
20140418,IF1406                        ,12,广发期货    ,2026,130,北京首创    ,937,-37,申银万国    ,954,-52
20140418,IF1406                        ,13,经易期货    ,1928,189,光大期货    ,881,100,中信建投    ,782,12
20140418,IF1406                        ,14,浙商期货    ,1916,-45,新湖期货    ,845,14,新湖期货    ,742,134
20140418,IF1406                        ,15,新湖期货    ,1890,-138,中粮期货    ,762,-47,国投中谷    ,684,-2
20140418,IF1406                        ,16,浙江中大    ,1767,1288,国投中谷    ,736,150,上海东证    ,580,3
20140418,IF1406                        ,17,永安期货    ,1716,165,招商期货    ,721,29,金瑞期货    ,499,10
20140418,IF1406                        ,18,银河期货    ,1534,428,银河期货    ,665,-66,宝城期货    ,498,-20
20140418,IF1406                        ,19,鲁证期货    ,1388,49,南华期货    ,600,-57,南华期货    ,475,7
20140418,IF1406                        ,20,宏源期货    ,1370,852,中融汇信    ,575,12,安信期货    ,443,-10
20140418,IF1409                        ,1,华西期货    ,2376,1099,海通期货    ,2488,73,国泰君安    ,5108,120
20140418,IF1409                        ,2,海通期货    ,2232,439,永安期货    ,1892,35,中信期货    ,4263,8
20140418,IF1409                        ,3,招商期货    ,1805,1580,国泰君安    ,1693,309,南华期货    ,3808,-2
20140418,IF1409                        ,4,中信期货    ,1282,112,中信期货    ,1318,-6,广发期货    ,2253,93
20140418,IF1409                        ,5,国泰君安    ,1205,483,安信期货    ,1047,-120,华泰长城    ,571,5
20140418,IF1409                        ,6,华泰长城    ,965,-72,方正中期    ,785,4,宝城期货    ,546,126
20140418,IF1409                        ,7,申银万国    ,645,120,东海期货    ,580,-16,申银万国    ,542,-8
20140418,IF1409                        ,8,光大期货    ,622,221,光大期货    ,535,13,上海东证    ,449,18
20140418,IF1409                        ,9,兴证期货    ,589,-17,招商期货    ,498,-8,瑞达期货    ,307,2
20140418,IF1409                        ,10,银河期货    ,585,253,中粮期货    ,460,6,国信期货    ,276,-57
20140418,IF1409                        ,11,浙商期货    ,572,45,华泰长城    ,433,-6,财富期货    ,252,0
20140418,IF1409                        ,12,广发期货    ,536,152,银河期货    ,415,-29,中钢期货    ,244,17
20140418,IF1409                        ,13,西部期货    ,510,470,广发期货    ,412,-7,海通期货    ,230,25
20140418,IF1409                        ,14,新湖期货    ,470,75,国信期货    ,400,10,平安期货    ,223,4
20140418,IF1409                        ,15,永安期货    ,462,-629,国投中谷    ,383,-1,光大期货    ,222,79
20140418,IF1409                        ,16,南华期货    ,442,-170,申银万国    ,366,-5,永安期货    ,215,-9
20140418,IF1409                        ,17,中融汇信    ,381,131,万达期货    ,320,16,金友期货    ,140,0
20140418,IF1409                        ,18,方正中期    ,359,168,中国国际    ,311,4,冠通期货    ,122,120
20140418,IF1409                        ,19,安信期货    ,274,19,长江期货    ,310,6,兴证期货    ,102,-80
20140418,IF1409                        ,20,上海东证    ,273,84,大地期货    ,274,31,国都期货    ,81,12
