交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140611,IF1406                        ,期货公司,1180004,-535670,86941,-4726,86941,-4726
20140611,IF1406                        ,非期货公司,0,0,0,0,0,0
20140611,IF1407                        ,期货公司,70742,-26760,35792,5002,35792,5002
20140611,IF1407                        ,非期货公司,0,0,0,0,0,0
20140611,IF1409                        ,期货公司,37216,-16204,41792,-156,41792,-156
20140611,IF1409                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140611,IF1406                        ,1,海通期货    ,92199,-42393,永安期货    ,5969,-342,中信期货    ,15560,-327
20140611,IF1406                        ,2,国泰君安    ,61397,-28536,国泰君安    ,5920,-311,海通期货    ,9863,-1031
20140611,IF1406                        ,3,申银万国    ,50104,-17550,申银万国    ,4574,177,国泰君安    ,6610,22
20140611,IF1406                        ,4,中信期货    ,47696,-30565,中信期货    ,4024,-527,永安期货    ,3867,-51
20140611,IF1406                        ,5,南华期货    ,47675,-13059,银河期货    ,3404,36,银河期货    ,3409,-28
20140611,IF1406                        ,6,广发期货    ,47028,-25302,浙商期货    ,3268,-113,广发期货    ,3373,-920
20140611,IF1406                        ,7,兴证期货    ,45540,-42280,海通期货    ,2662,-468,申银万国    ,2725,-463
20140611,IF1406                        ,8,光大期货    ,45411,-10039,方正中期    ,2641,-546,华泰长城    ,2625,-27
20140611,IF1406                        ,9,华泰长城    ,43101,-25938,广发期货    ,2533,-286,财富期货    ,1991,94
20140611,IF1406                        ,10,方正中期    ,34076,-12128,南华期货    ,2447,175,上海东证    ,1934,474
20140611,IF1406                        ,11,永安期货    ,29909,-12697,华泰长城    ,2419,-1246,国信期货    ,1825,-244
20140611,IF1406                        ,12,银河期货    ,29038,-12515,光大期货    ,2401,-802,兴证期货    ,1575,-464
20140611,IF1406                        ,13,经易期货    ,28617,-9148,鲁证期货    ,2327,-144,招商期货    ,1531,-112
20140611,IF1406                        ,14,中信建投    ,28327,-3768,上海东证    ,2037,-8,安信期货    ,1384,108
20140611,IF1406                        ,15,招商期货    ,27686,-10624,大越期货    ,1858,110,光大期货    ,1342,-473
20140611,IF1406                        ,16,浙江中大    ,24013,-16341,中国国际    ,1722,-11,中钢期货    ,1297,561
20140611,IF1406                        ,17,上海东证    ,22080,-8268,安信期货    ,1701,435,鲁证期货    ,1268,45
20140611,IF1406                        ,18,鲁证期货    ,20905,-5389,国信期货    ,1626,349,中信建投    ,1216,-127
20140611,IF1406                        ,19,浙商期货    ,18865,-4552,兴证期货    ,1462,-76,南华期货    ,1174,-80
20140611,IF1406                        ,20,国信期货    ,18851,-7492,中粮期货    ,1363,235,国投中谷    ,1089,14
20140611,IF1407                        ,1,海通期货    ,10416,-2624,国泰君安    ,2908,1054,海通期货    ,10774,799
20140611,IF1407                        ,2,华西期货    ,4644,-2706,永安期货    ,2744,189,国泰君安    ,4954,755
20140611,IF1407                        ,3,国泰君安    ,4149,-726,银河期货    ,2661,328,中信期货    ,3765,1064
20140611,IF1407                        ,4,中信期货    ,3683,-2065,中信期货    ,2391,73,广发期货    ,3188,551
20140611,IF1407                        ,5,南华期货    ,3156,-2818,海通期货    ,2173,37,兴证期货    ,1659,231
20140611,IF1407                        ,6,光大期货    ,2750,-1156,浙商期货    ,1689,277,财富期货    ,1113,287
20140611,IF1407                        ,7,浙江中大    ,2573,-2653,申银万国    ,1152,161,申银万国    ,985,104
20140611,IF1407                        ,8,招商期货    ,2452,-1645,大地期货    ,1152,2,宝城期货    ,821,-2
20140611,IF1407                        ,9,经易期货    ,2133,-489,光大期货    ,1044,172,中信建投    ,716,111
20140611,IF1407                        ,10,华鑫期货    ,2122,26,上海东证    ,950,129,光大期货    ,705,290
20140611,IF1407                        ,11,广发期货    ,1775,-313,南华期货    ,741,117,平安期货    ,689,23
20140611,IF1407                        ,12,兴证期货    ,1759,-1051,招商期货    ,740,26,上海东证    ,536,148
20140611,IF1407                        ,13,银河期货    ,1683,-1595,一德期货    ,719,497,安信期货    ,417,73
20140611,IF1407                        ,14,上海东证    ,1579,-997,倍特期货    ,704,359,南华期货    ,389,-9
20140611,IF1407                        ,15,国海良时    ,1531,1134,瑞达期货    ,666,100,新湖期货    ,383,1
20140611,IF1407                        ,16,申银万国    ,1489,-818,国投中谷    ,663,4,中银国际    ,379,34
20140611,IF1407                        ,17,浙商期货    ,1343,-194,宝城期货    ,649,-20,中国国际    ,371,13
20140611,IF1407                        ,18,鲁证期货    ,1134,98,东兴期货    ,623,27,新世纪     ,297,-41
20140611,IF1407                        ,19,华泰长城    ,1092,-1469,安信期货    ,599,179,华泰长城    ,296,50
20140611,IF1407                        ,20,新湖期货    ,928,103,北京首创    ,581,15,广州期货    ,285,24
20140611,IF1409                        ,1,海通期货    ,5661,-2283,海通期货    ,4400,-11,中信期货    ,8861,-1
