交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140701,IF1407                        ,期货公司,1034458,-155022,110351,1324,110351,1324
20140701,IF1407                        ,非期货公司,0,0,0,0,0,0
20140701,IF1409                        ,期货公司,39566,-15306,50741,1004,50741,1004
20140701,IF1409                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140701,IF1407                        ,1,海通期货    ,76357,-13976,银河期货    ,6598,-236,海通期货    ,20891,544
20140701,IF1407                        ,2,国泰君安    ,59197,-2070,国泰君安    ,6401,-65,中信期货    ,13295,-159
20140701,IF1407                        ,3,南华期货    ,46066,-4658,永安期货    ,5866,130,国泰君安    ,9117,-12
20140701,IF1407                        ,4,兴证期货    ,43303,-9123,中信期货    ,5517,72,广发期货    ,6876,-965
20140701,IF1407                        ,5,中信期货    ,38893,-12934,申银万国    ,4453,254,财富期货    ,4306,-129
20140701,IF1407                        ,6,华泰长城    ,38838,-2913,安信期货    ,4082,339,兴证期货    ,3332,-72
20140701,IF1407                        ,7,光大期货    ,36009,-7227,海通期货    ,3749,-295,华泰长城    ,2976,-41
20140701,IF1407                        ,8,广发期货    ,35311,-5407,浙商期货    ,3490,-31,永安期货    ,2698,171
20140701,IF1407                        ,9,申银万国    ,34234,-7009,方正中期    ,3308,-994,招商期货    ,2613,-214
20140701,IF1407                        ,10,银河期货    ,30577,-2260,鲁证期货    ,3120,669,银河期货    ,2554,-1
20140701,IF1407                        ,11,经易期货    ,28672,-2652,南华期货    ,2881,439,鲁证期货    ,2366,77
20140701,IF1407                        ,12,永安期货    ,27157,610,上海东证    ,2840,-157,中银国际    ,2259,-6
20140701,IF1407                        ,13,方正中期    ,26523,-7369,华泰长城    ,2839,405,平安期货    ,2121,-27
20140701,IF1407                        ,14,招商期货    ,25681,-7455,广发期货    ,2786,658,中信建投    ,2063,-34
20140701,IF1407                        ,15,中信建投    ,22042,876,光大期货    ,2756,58,申银万国    ,2039,-82
20140701,IF1407                        ,16,鲁证期货    ,21894,2009,中国国际    ,2683,392,光大期货    ,1966,95
20140701,IF1407                        ,17,浙江中大    ,20878,-3541,瑞达期货    ,1881,134,方正中期    ,1805,463
20140701,IF1407                        ,18,上海东证    ,20559,-8317,中粮期货    ,1769,135,上海东证    ,1769,68
20140701,IF1407                        ,19,瑞达期货    ,18868,-1927,新湖期货    ,1697,34,瑞达期货    ,1447,-36
20140701,IF1407                        ,20,国信期货    ,14962,-4713,国信期货    ,1651,221,国信期货    ,1401,113
20140701,IF1409                        ,1,海通期货    ,4829,-2938,海通期货    ,5093,132,中信期货    ,12573,148
20140701,IF1409                        ,2,华西期货    ,2682,-596,国泰君安    ,4796,22,国泰君安    ,5320,2
20140701,IF1409                        ,3,中信期货    ,2506,-1561,永安期货    ,3776,-141,华泰长城    ,4528,-13
20140701,IF1409                        ,4,南华期货    ,2290,-643,中信期货    ,3121,52,广发期货    ,4130,9
20140701,IF1409                        ,5,浙江中大    ,1993,-452,银河期货    ,1930,8,南华期货    ,4063,19
20140701,IF1409                        ,6,招商期货    ,1501,-638,浙商期货    ,1723,-36,海通期货    ,2006,5
20140701,IF1409                        ,7,华鑫期货    ,1456,-244,申银万国    ,1515,73,银河期货    ,1694,174
20140701,IF1409                        ,8,经易期货    ,1157,-437,光大期货    ,1488,-12,永安期货    ,1661,-19
20140701,IF1409                        ,9,格林大华    ,1151,-231,中粮期货    ,1420,83,招商期货    ,1559,-12
20140701,IF1409                        ,10,国泰君安    ,1128,-587,中国国际    ,1395,-45,光大期货    ,1076,-9
20140701,IF1409                        ,11,永安期货    ,1108,301,方正中期    ,1347,85,上海东证    ,1032,8
20140701,IF1409                        ,12,兴证期货    ,1034,-149,招商期货    ,1287,-87,国投中谷    ,935,6
20140701,IF1409                        ,13,上海东证    ,928,-85,广发期货    ,1024,40,申银万国    ,893,29
20140701,IF1409                        ,14,银河期货    ,910,-118,华泰长城    ,951,19,中信建投    ,886,-1
20140701,IF1409                        ,15,申银万国    ,888,-22,国投中谷    ,864,0,新湖期货    ,701,2
20140701,IF1409                        ,16,光大期货    ,861,-1018,南华期货    ,844,-33,国信期货    ,517,38
20140701,IF1409                        ,17,国信期货    ,643,-324,上海东证    ,844,30,安信期货    ,494,13
20140701,IF1409                        ,18,华泰长城    ,604,-399,大地期货    ,824,6,宏源期货    ,465,16
20140701,IF1409                        ,19,北京首创    ,548,68,北京首创    ,823,51,广州期货    ,444,111
20140701,IF1409                        ,20,广发期货    ,547,-178,格林大华    ,811,351,长江期货    ,441,-2
