交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20141106,IF1411                        ,期货公司,1659992,167256,135737,6652,135737,6652
20141106,IF1411                        ,非期货公司,0,0,0,0,0,0
20141106,IF1412                        ,期货公司,123714,12652,51945,3127,51945,3127
20141106,IF1412                        ,非期货公司,0,0,0,0,0,0
20141106,IF1503                        ,期货公司,15098,-1620,11483,1654,11483,1654
20141106,IF1503                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20141106,IF1411                        ,1,海通期货    ,109718,10293,中信期货    ,14118,536,海通期货    ,14263,262
20141106,IF1411                        ,2,国泰君安    ,83781,7544,国泰君安    ,10379,494,中信期货    ,13430,759
20141106,IF1411                        ,3,光大期货    ,80685,9808,永安期货    ,7769,964,国泰君安    ,9460,263
20141106,IF1411                        ,4,南华期货    ,77649,11259,方正中期    ,5614,546,南华期货    ,8073,65
20141106,IF1411                        ,5,广发期货    ,69098,3908,光大期货    ,5473,344,广发期货    ,7366,-257
20141106,IF1411                        ,6,中信期货    ,61889,2396,海通期货    ,5465,510,银河期货    ,6475,514
20141106,IF1411                        ,7,兴证期货    ,58210,3934,银河期货    ,4621,-1589,光大期货    ,5132,61
20141106,IF1411                        ,8,华泰长城    ,57190,5659,中国国际    ,3874,535,财富期货    ,5021,343
20141106,IF1411                        ,9,银河期货    ,53983,17592,新湖期货    ,3715,36,永安期货    ,4576,207
20141106,IF1411                        ,10,申银万国    ,51560,6385,华泰长城    ,3432,695,国金期货    ,4335,1702
20141106,IF1411                        ,11,方正中期    ,48838,4584,申银万国    ,3256,608,兴证期货    ,3640,587
20141106,IF1411                        ,12,五矿期货    ,43842,5394,上海东证    ,3216,136,华泰长城    ,3424,251
20141106,IF1411                        ,13,瑞达期货    ,35791,3762,浙商期货    ,3194,392,国信期货    ,3044,163
20141106,IF1411                        ,14,上海东证    ,35348,332,长江期货    ,2917,275,方正中期    ,2887,250
20141106,IF1411                        ,15,中信建投    ,34473,3566,瑞达期货    ,2886,314,招商期货    ,2655,933
20141106,IF1411                        ,16,招商期货    ,31025,3225,广发期货    ,2850,187,申银万国    ,2643,8
20141106,IF1411                        ,17,华鑫期货    ,30790,3596,南华期货    ,2776,2,安信期货    ,2318,699
20141106,IF1411                        ,18,长江期货    ,30560,2797,一德期货    ,2356,-157,上海东证    ,2256,126
20141106,IF1411                        ,19,大有期货    ,26761,3337,倍特期货    ,2226,37,中信建投    ,2165,-411
20141106,IF1411                        ,20,鲁证期货    ,26184,1047,北京首创    ,2197,-27,格林大华    ,2153,451
20141106,IF1412                        ,1,中信期货    ,10298,-1886,中信期货    ,7840,567,中信期货    ,12982,691
20141106,IF1412                        ,2,海通期货    ,9618,2643,国泰君安    ,5926,398,广发期货    ,4757,340
20141106,IF1412                        ,3,华西期货    ,8756,3702,永安期货    ,4014,1193,华泰长城    ,3679,49
20141106,IF1412                        ,4,南华期货    ,8001,1309,浙商期货    ,3038,129,东吴期货    ,3190,3
20141106,IF1412                        ,5,光大期货    ,5559,934,海通期货    ,2764,166,国泰君安    ,2566,102
20141106,IF1412                        ,6,浙江中大    ,4858,-634,银河期货    ,2603,115,银河期货    ,2223,109
20141106,IF1412                        ,7,国泰君安    ,4768,915,光大期货    ,1522,194,光大期货    ,1508,343
20141106,IF1412                        ,8,五矿期货    ,4295,472,招商期货    ,1493,50,南华期货    ,1225,122
20141106,IF1412                        ,9,银河期货    ,3462,-2239,鲁证期货    ,1272,14,上海东证    ,1139,-10
20141106,IF1412                        ,10,招商期货    ,3113,-103,中粮期货    ,947,68,中银国际    ,1086,299
20141106,IF1412                        ,11,中融汇信    ,3089,457,大地期货    ,905,409,永安期货    ,1058,73
20141106,IF1412                        ,12,申银万国    ,2773,431,瑞达期货    ,871,-2,中信建投    ,972,52
20141106,IF1412                        ,13,永安期货    ,2708,1019,北京首创    ,851,53,兴证期货    ,916,301
20141106,IF1412                        ,14,华泰长城    ,2629,459,南华期货    ,846,-33,海通期货    ,888,104
20141106,IF1412                        ,15,兴证期货    ,2533,98,财富期货    ,802,77,招商期货    ,841,37
20141106,IF1412                        ,16,广发期货    ,2491,942,申银万国    ,754,-96,广州期货    ,834,6
20141106,IF1412                        ,17,宏源期货    ,2258,-458,东兴期货    ,744,86,申银万国    ,693,147
20141106,IF1412                        ,18,国信期货    ,2073,-195,方正中期    ,734,128,安信期货    ,597,6
20141106,IF1412                        ,19,美尔雅     ,1876,1294,长江期货    ,719,14,长江期货    ,538,93
