交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20141127,IF1412                        ,期货公司,2247526,-240496,174978,-3549,174978,-3549
20141127,IF1412                        ,非期货公司,0,0,0,0,0,0
20141127,IF1503                        ,期货公司,67292,-6302,25323,-1160,25323,-1160
20141127,IF1503                        ,非期货公司,0,0,0,0,0,0
20141127,IF1506                        ,期货公司,14312,-1640,10470,471,10470,471
20141127,IF1506                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20141127,IF1412                        ,1,海通期货    ,168475,-40072,国泰君安    ,15540,2163,中信期货    ,22095,1171
20141127,IF1412                        ,2,国泰君安    ,113501,-20162,中信期货    ,12592,-2942,海通期货    ,14789,-27
20141127,IF1412                        ,3,兴证期货    ,112709,825,永安期货    ,9037,-130,国泰君安    ,12259,1024
20141127,IF1412                        ,4,光大期货    ,106399,-287,海通期货    ,8741,-422,南华期货    ,8983,-126
20141127,IF1412                        ,5,南华期货    ,103185,-14400,银河期货    ,7523,-500,广发期货    ,7768,-1922
20141127,IF1412                        ,6,中信期货    ,89711,2761,光大期货    ,6752,-1171,银河期货    ,7119,-706
20141127,IF1412                        ,7,申银万国    ,87392,4793,方正中期    ,5252,-296,华泰长城    ,6316,-1744
20141127,IF1412                        ,8,华泰长城    ,87370,-10759,华泰长城    ,4528,240,光大期货    ,6294,-426
20141127,IF1412                        ,9,广发期货    ,68583,-10174,浙商期货    ,4312,-1422,永安期货    ,5861,-46
20141127,IF1412                        ,10,五矿期货    ,58357,-7224,中国国际    ,4287,-1194,财富期货    ,5846,100
20141127,IF1412                        ,11,上海东证    ,57729,-913,广发期货    ,3975,53,招商期货    ,5625,1696
20141127,IF1412                        ,12,银河期货    ,56494,-11955,新湖期货    ,3867,1190,国金期货    ,5576,-200
20141127,IF1412                        ,13,招商期货    ,56389,-13164,申银万国    ,3793,-283,国信期货    ,3886,-75
20141127,IF1412                        ,14,瑞达期货    ,55778,-3253,鲁证期货    ,3391,67,上海东证    ,3853,-28
20141127,IF1412                        ,15,方正中期    ,54592,-12513,招商期货    ,3212,215,兴证期货    ,3508,91
20141127,IF1412                        ,16,华鑫期货    ,48910,-6026,长江期货    ,3070,213,申银万国    ,3361,-89
20141127,IF1412                        ,17,大有期货    ,41127,-1460,南华期货    ,3026,-455,东吴期货    ,3043,-442
20141127,IF1412                        ,18,永安期货    ,37472,758,上海东证    ,2958,7,中信建投    ,2900,-694
20141127,IF1412                        ,19,中信建投    ,36504,-7290,宏源期货    ,2923,-75,鲁证期货    ,2848,-185
20141127,IF1412                        ,20,国信期货    ,32676,-6161,中粮期货    ,2795,178,方正中期    ,2623,470
20141127,IF1503                        ,1,中信期货    ,9218,1345,中信期货    ,3324,-1727,中信期货    ,7055,-1115
20141127,IF1503                        ,2,华西期货    ,8087,131,国泰君安    ,2644,889,招商期货    ,3186,13
20141127,IF1503                        ,3,招商期货    ,5107,-941,永安期货    ,1865,159,广发期货    ,2779,-109
20141127,IF1503                        ,4,南华期货    ,4169,397,光大期货    ,1420,-228,国泰君安    ,2534,681
20141127,IF1503                        ,5,国泰君安    ,3284,876,银河期货    ,1168,-24,海通期货    ,1439,-134
20141127,IF1503                        ,6,光大期货    ,3240,-1274,招商期货    ,1146,-16,南华期货    ,886,18
20141127,IF1503                        ,7,海通期货    ,2901,-1749,浙商期货    ,1080,-541,中信建投    ,673,-13
20141127,IF1503                        ,8,华鑫期货    ,2517,-741,方正中期    ,1046,-23,光大期货    ,460,24
20141127,IF1503                        ,9,浙江中大    ,2308,58,鲁证期货    ,745,152,上海东证    ,457,5
20141127,IF1503                        ,10,五矿期货    ,1874,-849,美尔雅     ,712,6,新湖期货    ,436,9
20141127,IF1503                        ,11,兴证期货    ,1805,403,中投天琪    ,677,20,国信期货    ,314,-88
20141127,IF1503                        ,12,中融汇信    ,1466,-149,金元期货    ,649,6,华西期货    ,287,-13
20141127,IF1503                        ,13,新湖期货    ,1464,-823,华泰长城    ,578,73,银河期货    ,285,-3
20141127,IF1503                        ,14,广发期货    ,1433,-916,瑞达期货    ,574,27,西部期货    ,282,15
20141127,IF1503                        ,15,申银万国    ,1260,-79,中信建投    ,502,25,鲁证期货    ,274,-18
20141127,IF1503                        ,16,国信期货    ,1108,-301,兴证期货    ,457,-60,永安期货    ,269,15
20141127,IF1503                        ,17,华泰长城    ,1094,57,海通期货    ,455,-23,兴证期货    ,224,-99
20141127,IF1503                        ,18,方正中期    ,1082,238,浙江中大    ,408,120,一德期货    ,213,0
20141127,IF1503                        ,19,浙商期货    ,1074,662,广发期货    ,382,6,财富期货    ,200,100
20141127,IF1503                        ,20,鲁证期货    ,856,-110,格林大华    ,329,21,申银万国    ,196,-84
20141127,IF1506                        ,1,中信期货    ,2252,-455,中信期货    ,2776,36,中信期货    ,2360,2
20141127,IF1506                        ,2,南华期货    ,1168,-190,国泰君安    ,703,167,国泰君安    ,1930,126
20141127,IF1506                        ,3,国泰君安    ,923,213,浙商期货    ,532,-506,招商期货    ,1201,29
20141127,IF1506                        ,4,海通期货    ,784,-409,永安期货    ,427,135,广发期货    ,770,37
20141127,IF1506                        ,5,浙江中大    ,772,143,兴证期货    ,400,25,光大期货    ,542,155
20141127,IF1506                        ,6,新湖期货    ,710,-42,北京首创    ,367,5,中银国际    ,303,1
20141127,IF1506                        ,7,浙商期货    ,665,460,中投天琪    ,356,199,浙江中大    ,283,-22
20141127,IF1506                        ,8,中融汇信    ,438,-60,申银万国    ,337,10,上海东证    ,271,-8
20141127,IF1506                        ,9,兴证期货    ,386,32,金元期货    ,326,200,永安期货    ,260,45
20141127,IF1506                        ,10,上海东证    ,385,240,广发期货    ,294,11,方正中期    ,244,1
20141127,IF1506                        ,11,光大期货    ,381,62,招商期货    ,248,28,华泰长城    ,227,29
20141127,IF1506                        ,12,宏源期货    ,338,-20,华泰长城    ,238,15,北京首创    ,227,40
20141127,IF1506                        ,13,招商期货    ,329,-232,银河期货    ,205,41,南华期货    ,212,42
20141127,IF1506                        ,14,永安期货    ,304,115,东海期货    ,183,4,国海良时    ,187,6
20141127,IF1506                        ,15,中投天琪    ,285,130,光大期货    ,162,12,中信建投    ,150,-17
20141127,IF1506                        ,16,广发期货    ,236,-136,东吴期货    ,159,-17,华西期货    ,130,-23
20141127,IF1506                        ,17,华泰长城    ,228,-246,海通期货    ,158,13,新湖期货    ,108,0
20141127,IF1506                        ,18,银河期货    ,223,-24,中信建投    ,155,26,申银万国    ,101,-6
20141127,IF1506                        ,19,金元期货    ,206,88,五矿期货    ,145,25,中钢期货    ,97,56
20141127,IF1506                        ,20,申银万国    ,200,-246,安信期货    ,114,2,东海期货    ,79,5
