交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20141202,IF1412                        ,期货公司,3686836,1403688,163194,-3164,163194,-3164
20141202,IF1412                        ,非期货公司,0,0,0,0,0,0
20141202,IF1501                        ,期货公司,86242,34786,11842,2034,11842,2034
20141202,IF1501                        ,非期货公司,0,0,0,0,0,0
20141202,IF1503                        ,期货公司,130610,55976,22724,-1808,22724,-1808
20141202,IF1503                        ,非期货公司,0,0,0,0,0,0
20141202,IF1506                        ,期货公司,32538,13706,12035,387,12035,387
20141202,IF1506                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20141202,IF1412                        ,1,海通期货    ,290303,123597,国泰君安    ,13804,-1862,中信期货    ,23419,519
20141202,IF1412                        ,2,兴证期货    ,204089,97852,中信期货    ,13085,1013,海通期货    ,13448,70
20141202,IF1412                        ,3,国泰君安    ,171856,55934,海通期货    ,9398,559,国泰君安    ,11569,56
20141202,IF1412                        ,4,光大期货    ,157555,53643,银河期货    ,7354,-784,广发期货    ,8977,745
20141202,IF1412                        ,5,中信期货    ,157520,69113,永安期货    ,7329,-438,银河期货    ,7619,537
20141202,IF1412                        ,6,广发期货    ,152088,80799,光大期货    ,6630,-267,南华期货    ,7225,-293
20141202,IF1412                        ,7,南华期货    ,150205,34854,方正中期    ,5696,-160,永安期货    ,6303,581
20141202,IF1412                        ,8,华泰长城    ,146979,53200,浙商期货    ,4485,255,华泰长城    ,6222,223
20141202,IF1412                        ,9,申银万国    ,130556,47121,新湖期货    ,4209,342,光大期货    ,4930,-104
20141202,IF1412                        ,10,银河期货    ,103767,52025,中国国际    ,4197,-67,国金期货    ,4880,-479
20141202,IF1412                        ,11,招商期货    ,96853,32629,华泰长城    ,4011,268,招商期货    ,4236,758
20141202,IF1412                        ,12,方正中期    ,89515,32177,鲁证期货    ,3385,153,财富期货    ,4134,824
20141202,IF1412                        ,13,五矿期货    ,86884,17336,上海东证    ,3243,-964,申银万国    ,3557,-802
20141202,IF1412                        ,14,瑞达期货    ,86391,29200,申银万国    ,2992,438,国信期货    ,3397,-335
20141202,IF1412                        ,15,上海东证    ,84598,24980,南华期货    ,2798,-546,安信期货    ,3263,1554
20141202,IF1412                        ,16,大有期货    ,73780,28870,长江期货    ,2730,-130,中信建投    ,3182,238
20141202,IF1412                        ,17,华鑫期货    ,60375,15058,一德期货    ,2645,38,上海东证    ,2993,158
20141202,IF1412                        ,18,浙商期货    ,54813,20786,宏源期货    ,2632,517,鲁证期货    ,2510,626
20141202,IF1412                        ,19,永安期货    ,53705,22634,北京首创    ,2571,170,瑞达期货    ,2398,418
20141202,IF1412                        ,20,中信建投    ,47123,16624,瑞达期货    ,2388,-467,兴证期货    ,2327,187
20141202,IF1501                        ,1,中信期货    ,8947,1751,瑞达期货    ,1051,204,中信期货    ,3700,340
20141202,IF1501                        ,2,华西期货    ,8942,3411,兴证期货    ,674,372,东吴期货    ,1712,422
20141202,IF1501                        ,3,海通期货    ,7777,3555,中投天琪    ,670,70,浙商期货    ,1251,203
20141202,IF1501                        ,4,南华期货    ,5972,2775,中信期货    ,637,109,华泰长城    ,1233,27
20141202,IF1501                        ,5,浙江中大    ,5697,4330,国泰君安    ,620,44,国信期货    ,1097,350
20141202,IF1501                        ,6,招商期货    ,4499,458,金元期货    ,600,196,国泰君安    ,220,132
20141202,IF1501                        ,7,新湖期货    ,3410,1277,海通期货    ,593,79,安信期货    ,210,176
20141202,IF1501                        ,8,兴证期货    ,3244,1609,申银万国    ,483,-690,上海东证    ,203,-59
20141202,IF1501                        ,9,宏源期货    ,2917,1807,方正中期    ,429,113,财富期货    ,200,0
20141202,IF1501                        ,10,国泰君安    ,2674,972,永安期货    ,419,10,南华期货    ,171,-3
20141202,IF1501                        ,11,申银万国    ,2075,794,银河期货    ,319,108,银河期货    ,136,17
20141202,IF1501                        ,12,光大期货    ,2026,694,冠通期货    ,315,80,广发期货    ,113,-12
20141202,IF1501                        ,13,国信期货    ,1842,1285,安信期货    ,309,121,申银万国    ,77,33
20141202,IF1501                        ,14,永安期货    ,1830,1421,浙商期货    ,297,44,南证期货    ,77,38
20141202,IF1501                        ,15,上海中财    ,1738,1197,南华期货    ,255,93,和融期货    ,72,43
20141202,IF1501                        ,16,浙商期货    ,1471,-274,上海大陆    ,218,0,格林大华    ,62,44
20141202,IF1501                        ,17,银河期货    ,1341,641,南证期货    ,213,120,海通期货    ,62,28
20141202,IF1501                        ,18,中融汇信    ,1166,-447,上海中期    ,213,118,光大期货    ,60,-8
20141202,IF1501                        ,19,华鑫期货    ,1044,-92,上海东证    ,200,167,兴证期货    ,60,30
20141202,IF1501                        ,20,华泰长城    ,977,605,中辉期货    ,196,172,中信建投    ,60,19
