交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20141209,IF1412                        ,期货公司,5111108,1444094,138463,-24460,138463,-24460
20141209,IF1412                        ,非期货公司,0,0,0,0,0,0
20141209,IF1501                        ,期货公司,435382,173298,38300,2939,38300,2939
20141209,IF1501                        ,非期货公司,0,0,0,0,0,0
20141209,IF1503                        ,期货公司,227004,104874,24640,-5206,24640,-5206
20141209,IF1503                        ,非期货公司,0,0,0,0,0,0
20141209,IF1506                        ,期货公司,86762,38822,13419,-517,13419,-517
20141209,IF1506                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20141209,IF1412                        ,1,海通期货    ,405387,92269,国泰君安    ,11996,-1509,中信期货    ,14379,-5192
20141209,IF1412                        ,2,光大期货    ,304792,143234,中信期货    ,10943,-2798,海通期货    ,10429,-1852
20141209,IF1412                        ,3,兴证期货    ,295971,69420,光大期货    ,7685,-644,广发期货    ,9159,-1492
20141209,IF1412                        ,4,广发期货    ,286261,119058,银河期货    ,7528,-115,国泰君安    ,8019,-1142
20141209,IF1412                        ,5,国泰君安    ,249601,63582,方正中期    ,6543,-977,银河期货    ,7389,-637
20141209,IF1412                        ,6,华泰长城    ,241395,80161,海通期货    ,6391,-969,财富期货    ,6548,264
20141209,IF1412                        ,7,中信期货    ,213012,65971,永安期货    ,6037,-112,华泰长城    ,6273,-672
20141209,IF1412                        ,8,南华期货    ,183957,58340,中国国际    ,5104,836,南华期货    ,5034,-303
20141209,IF1412                        ,9,申银万国    ,162700,38940,上海东证    ,4084,-280,永安期货    ,4807,-2249
20141209,IF1412                        ,10,银河期货    ,135764,47626,浙商期货    ,3881,-261,光大期货    ,4806,-190
20141209,IF1412                        ,11,方正中期    ,114288,31986,兴证期货    ,3263,1349,兴证期货    ,3826,86
20141209,IF1412                        ,12,招商期货    ,110644,4285,华泰长城    ,2935,-2033,申银万国    ,3819,-321
20141209,IF1412                        ,13,上海东证    ,109024,22542,新湖期货    ,2913,-1274,招商期货    ,3801,663
20141209,IF1412                        ,14,五矿期货    ,95065,24798,申银万国    ,2616,-217,鲁证期货    ,3745,-616
20141209,IF1412                        ,15,大有期货    ,83224,30567,中辉期货    ,2603,89,方正中期    ,3422,555
20141209,IF1412                        ,16,永安期货    ,83119,19592,瑞达期货    ,2521,-170,国信期货    ,3089,-307
20141209,IF1412                        ,17,瑞达期货    ,82286,14076,鲁证期货    ,2493,-175,五矿期货    ,2563,-370
20141209,IF1412                        ,18,浙江中大    ,79116,35575,中粮期货    ,2403,310,中信建投    ,2514,-423
20141209,IF1412                        ,19,国投中谷    ,76303,28315,招商期货    ,2118,-963,浙商期货    ,2236,-1704
20141209,IF1412                        ,20,华鑫期货    ,74077,13937,北京首创    ,2109,-460,上海东证    ,1970,-470
20141209,IF1501                        ,1,海通期货    ,45985,17674,永安期货    ,3714,292,中信期货    ,7957,-880
20141209,IF1501                        ,2,华西期货    ,38533,6925,中信期货    ,3614,-1357,海通期货    ,5784,802
20141209,IF1501                        ,3,光大期货    ,33772,17491,银河期货    ,2695,611,华泰长城    ,2607,3
20141209,IF1501                        ,4,中信期货    ,31171,7117,国泰君安    ,2233,406,国泰君安    ,2468,457
20141209,IF1501                        ,5,新湖期货    ,25830,11930,海通期货    ,1929,79,广发期货    ,2431,721
20141209,IF1501                        ,6,浙江中大    ,21660,13548,招商期货    ,1578,-45,上海东证    ,2091,784
20141209,IF1501                        ,7,南华期货    ,20151,8056,浙商期货    ,1451,567,招商期货    ,1999,94
20141209,IF1501                        ,8,招商期货    ,17641,8173,北京首创    ,1385,-134,东吴期货    ,1828,-392
20141209,IF1501                        ,9,国泰君安    ,13149,4453,鲁证期货    ,1075,554,申银万国    ,1009,594
20141209,IF1501                        ,10,永安期货    ,9359,1799,光大期货    ,1037,-100,国信期货    ,862,-313
20141209,IF1501                        ,11,申银万国    ,8894,3762,中投天琪    ,827,782,国金期货    ,740,47
20141209,IF1501                        ,12,银河期货    ,8744,3946,新湖期货    ,822,225,南华期货    ,733,530
20141209,IF1501                        ,13,五矿期货    ,8340,4341,方正中期    ,820,-11,平安期货    ,721,664
20141209,IF1501                        ,14,华鑫期货    ,7960,691,中国国际    ,769,58,永安期货    ,564,-291
20141209,IF1501                        ,15,华泰长城    ,7484,4353,安信期货    ,637,77,兴证期货    ,495,316
20141209,IF1501                        ,16,兴证期货    ,6743,1232,大地期货    ,621,202,光大期货    ,485,-10
20141209,IF1501                        ,17,浙商期货    ,6475,2022,华泰长城    ,620,317,鲁证期货    ,419,-36
20141209,IF1501                        ,18,广发期货    ,5624,2855,金元期货    ,603,581,银河期货    ,378,77
20141209,IF1501                        ,19,一德期货    ,5504,4858,南华期货    ,575,87,金瑞期货    ,330,308
20141209,IF1501                        ,20,宏源期货    ,4885,2412,五矿期货    ,552,-20,大越期货    ,310,-5
20141209,IF1503                        ,1,海通期货    ,25783,11825,永安期货    ,2254,-96,中信期货    ,6600,-977
20141209,IF1503                        ,2,华西期货    ,23722,6836,浙商期货    ,1766,89,国泰君安    ,3137,-369
20141209,IF1503                        ,3,中信期货    ,18851,7358,五矿期货    ,1552,-32,招商期货    ,2442,-947
20141209,IF1503                        ,4,新湖期货    ,18166,10625,国泰君安    ,1431,-1499,海通期货    ,2121,486
20141209,IF1503                        ,5,浙江中大    ,12345,5778,中信期货    ,1329,-1598,华泰长城    ,1366,66
20141209,IF1503                        ,6,南华期货    ,12086,6048,银河期货    ,930,-150,广发期货    ,1150,-133
20141209,IF1503                        ,7,招商期货    ,10945,5392,上海东证    ,888,303,方正中期    ,812,-166
20141209,IF1503                        ,8,华泰长城    ,6121,3294,海通期货    ,872,-45,中信建投    ,727,-95
20141209,IF1503                        ,9,广发期货    ,5758,2374,鲁证期货    ,806,-37,上海东证    ,655,6
20141209,IF1503                        ,10,五矿期货    ,5283,4045,招商期货    ,719,-216,安信期货    ,415,338
20141209,IF1503                        ,11,国泰君安    ,5258,2696,华泰长城    ,715,-323,长江期货    ,374,-3
