交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20141210,IF1412                        ,期货公司,4281750,-829358,138075,-388,138075,-388
20141210,IF1412                        ,非期货公司,0,0,0,0,0,0
20141210,IF1501                        ,期货公司,464052,28670,57297,18997,57297,18997
20141210,IF1501                        ,非期货公司,0,0,0,0,0,0
20141210,IF1503                        ,期货公司,189888,-37116,27658,3018,27658,3018
20141210,IF1503                        ,非期货公司,0,0,0,0,0,0
20141210,IF1506                        ,期货公司,66720,-20042,12592,-827,12592,-827
20141210,IF1506                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20141210,IF1412                        ,1,海通期货    ,369857,-35530,国泰君安    ,12315,319,中信期货    ,18417,4038
20141210,IF1412                        ,2,光大期货    ,262751,-42041,中信期货    ,11533,590,广发期货    ,8771,-388
20141210,IF1412                        ,3,兴证期货    ,249904,-46067,银河期货    ,6831,-697,海通期货    ,8748,-1681
20141210,IF1412                        ,4,国泰君安    ,209377,-40224,海通期货    ,6781,390,国泰君安    ,7715,-304
20141210,IF1412                        ,5,华泰长城    ,204445,-36950,方正中期    ,6683,140,财富期货    ,7256,708
20141210,IF1412                        ,6,中信期货    ,195642,-17370,永安期货    ,4912,-1125,银河期货    ,7177,-212
20141210,IF1412                        ,7,广发期货    ,186549,-99712,光大期货    ,4783,-2902,华泰长城    ,6401,128
20141210,IF1412                        ,8,南华期货    ,145710,-38247,兴证期货    ,4609,1346,南华期货    ,5205,171
20141210,IF1412                        ,9,申银万国    ,144962,-17738,中国国际    ,4601,-503,光大期货    ,4455,-351
20141210,IF1412                        ,10,银河期货    ,113979,-21785,上海东证    ,4500,416,鲁证期货    ,4185,440
20141210,IF1412                        ,11,招商期货    ,100651,-9993,申银万国    ,4219,1603,兴证期货    ,4174,348
20141210,IF1412                        ,12,方正中期    ,91588,-22700,华泰长城    ,3552,617,招商期货    ,3748,-53
20141210,IF1412                        ,13,五矿期货    ,85715,-9350,浙商期货    ,3510,-371,永安期货    ,3742,-1065
20141210,IF1412                        ,14,上海东证    ,80046,-28978,新湖期货    ,2976,63,国信期货    ,3456,367
20141210,IF1412                        ,15,大有期货    ,76301,-6923,中辉期货    ,2639,36,申银万国    ,3326,-493
20141210,IF1412                        ,16,中信新际    ,69598,19417,中粮期货    ,2521,118,浙商期货    ,3134,898
20141210,IF1412                        ,17,瑞达期货    ,69522,-12764,招商期货    ,2444,326,中信建投    ,2784,270
20141210,IF1412                        ,18,永安期货    ,67090,-16029,鲁证期货    ,2368,-125,方正中期    ,2764,-658
20141210,IF1412                        ,19,华鑫期货    ,65096,-8981,同信久恒    ,2359,1033,五矿期货    ,2624,61
20141210,IF1412                        ,20,上海中期    ,60147,-7470,长江期货    ,2350,382,上海东证    ,2124,154
20141210,IF1501                        ,1,海通期货    ,51621,5636,国泰君安    ,5530,3297,中信期货    ,11736,3779
20141210,IF1501                        ,2,华西期货    ,45116,6583,永安期货    ,5410,1696,海通期货    ,8072,2288
20141210,IF1501                        ,3,中信期货    ,34834,3663,中信期货    ,4613,999,国泰君安    ,3370,902
