交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20141219,IF1412                        ,期货公司,148972,-312472,0,-12324,0,-12324
20141219,IF1412                        ,非期货公司,0,0,0,0,0,0
20141219,IF1501                        ,期货公司,3098126,214870,162488,3379,162488,3379
20141219,IF1501                        ,非期货公司,0,0,0,0,0,0
20141219,IF1503                        ,期货公司,225928,42090,47819,-2125,47819,-2125
20141219,IF1503                        ,非期货公司,0,0,0,0,0,0
20141219,IF1506                        ,期货公司,95566,19962,21070,1740,21070,1740
20141219,IF1506                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20141219,IF1412                        ,1,海通期货    ,20432,-30807,国泰君安    ,0,-402,国泰君安    ,0,-1505
20141219,IF1412                        ,2,华西期货    ,15176,-29819,南华期货    ,0,-333,南华期货    ,0,-172
20141219,IF1412                        ,3,国泰君安    ,7787,-6596,永安期货    ,0,-417,永安期货    ,0,-322
20141219,IF1412                        ,4,华鑫期货    ,7276,-8821,一德期货    ,0,-8,一德期货    ,0,-5
20141219,IF1412                        ,5,中信期货    ,6134,-12474,鲁证期货    ,0,-581,鲁证期货    ,0,-502
20141219,IF1412                        ,6,新湖期货    ,5584,-8827,光大期货    ,0,-902,光大期货    ,0,-227
20141219,IF1412                        ,7,申银万国    ,5159,-4176,东海期货    ,0,-69,东海期货    ,0,-49
20141219,IF1412                        ,8,南华期货    ,4603,-14922,浙商期货    ,0,-465,浙商期货    ,0,-177
20141219,IF1412                        ,9,招商期货    ,4568,-16978,中粮期货    ,0,-3,中粮期货    ,0,-19
20141219,IF1412                        ,10,光大期货    ,4127,-9741,华泰长城    ,0,-562,华泰长城    ,0,-524
20141219,IF1412                        ,11,中信建投    ,3722,-6044,五矿期货    ,0,-50,五矿期货    ,0,-50
20141219,IF1412                        ,12,华泰长城    ,3637,-9790,广发期货    ,0,-167,广发期货    ,0,-264
20141219,IF1412                        ,13,银河期货    ,2821,-7822,信达期货    ,0,-31,信达期货    ,0,-81
20141219,IF1412                        ,14,永安期货    ,2746,-4155,中信期货    ,0,-1177,中信期货    ,0,-1343
20141219,IF1412                        ,15,广发期货    ,2458,-7372,金瑞期货    ,0,-16,金瑞期货    ,0,-45
20141219,IF1412                        ,16,方正中期    ,2412,-11650,新世纪     ,0,-11,新世纪     ,0,-8
20141219,IF1412                        ,17,上海东证    ,2362,-2580,兴证期货    ,0,-401,兴证期货    ,0,-206
20141219,IF1412                        ,18,五矿期货    ,2150,-2823,建信期货    ,0,-5,建信期货    ,0,-35
20141219,IF1412                        ,19,鲁证期货    ,2057,-4380,平安期货    ,0,-17,平安期货    ,0,-57
20141219,IF1412                        ,20,兴证期货    ,2044,-5740,格林大华    ,0,-166,格林大华    ,0,-282
20141219,IF1501                        ,1,海通期货    ,242818,16181,中信期货    ,17995,382,中信期货    ,21759,1938
20141219,IF1501                        ,2,国泰君安    ,151648,-2394,国泰君安    ,12067,-683,海通期货    ,15130,2310
20141219,IF1501                        ,3,光大期货    ,151253,12285,永安期货    ,8992,-3563,国泰君安    ,11174,2145
20141219,IF1501                        ,4,南华期货    ,148360,18096,方正中期    ,8657,362,广发期货    ,9809,887
20141219,IF1501                        ,5,招商期货    ,140435,22963,海通期货    ,8004,1500,银河期货    ,8267,1158
20141219,IF1501                        ,6,兴证期货    ,132409,6983,银河期货    ,7791,-239,财富期货    ,6594,373
20141219,IF1501                        ,7,华泰长城    ,130252,7938,光大期货    ,7116,1958,华泰长城    ,5485,-326
20141219,IF1501                        ,8,申银万国    ,107872,-1527,中国国际    ,5081,1177,永安期货    ,5320,-839
20141219,IF1501                        ,9,中信期货    ,106676,8395,上海东证    ,4325,1246,申银万国    ,5258,222
20141219,IF1501                        ,10,广发期货    ,96795,12784,北京首创    ,4138,238,南华期货    ,5056,183
20141219,IF1501                        ,11,方正中期    ,73641,13792,鲁证期货    ,4041,230,光大期货    ,4778,-1019
20141219,IF1501                        ,12,银河期货    ,70899,11286,申银万国    ,3379,1012,国金期货    ,4560,7
20141219,IF1501                        ,13,上海东证    ,63979,7729,新湖期货    ,3306,60,兴证期货    ,4431,132
20141219,IF1501                        ,14,五矿期货    ,59513,7877,浙商期货    ,3220,-2916,上海东证    ,3786,-361
20141219,IF1501                        ,15,永安期货    ,57050,2428,华泰长城    ,3075,74,招商期货    ,3704,1170
20141219,IF1501                        ,16,中信新际    ,56207,-2582,兴证期货    ,2799,257,国信期货    ,3603,-964
20141219,IF1501                        ,17,瑞达期货    ,55482,272,招商期货    ,2676,-89,中信建投    ,3385,143
20141219,IF1501                        ,18,华鑫期货    ,54791,2817,中辉期货    ,2642,62,鲁证期货    ,3325,-206
20141219,IF1501                        ,19,大有期货    ,53480,2628,广发期货    ,2592,564,东吴期货    ,2330,-179
20141219,IF1501                        ,20,鲁证期货    ,46488,-3085,长江期货    ,2427,736,浙商期货    ,1763,239
20141219,IF1503                        ,1,海通期货    ,27755,7984,中信期货    ,9184,-86,中信期货    ,9147,-508
20141219,IF1503                        ,2,华西期货    ,25987,7876,永安期货    ,3313,-1282,国泰君安    ,5459,530
20141219,IF1503                        ,3,光大期货    ,13793,911,国泰君安    ,3217,-279,海通期货    ,4889,156
20141219,IF1503                        ,4,中信期货    ,13427,3729,光大期货    ,2383,278,招商期货    ,4109,-429
20141219,IF1503                        ,5,国泰君安    ,11129,4583,倍特期货    ,1509,24,广发期货    ,2992,-196
20141219,IF1503                        ,6,华鑫期货    ,8182,-1258,一德期货    ,1427,51,永安期货    ,1625,42
20141219,IF1503                        ,7,招商期货    ,7808,1737,申银万国    ,1328,112,兴证期货    ,1417,-161
20141219,IF1503                        ,8,华泰长城    ,7305,3949,海通期货    ,1310,-395,华泰长城    ,1362,-2152
20141219,IF1503                        ,9,申银万国    ,6884,1063,瑞达期货    ,1231,61,上海东证    ,1353,-14
20141219,IF1503                        ,10,南华期货    ,6620,1670,中银国际    ,1056,128,方正中期    ,1298,-127
20141219,IF1503                        ,11,五矿期货    ,5660,3690,南华期货    ,1044,281,东吴期货    ,1154,244
20141219,IF1503                        ,12,大有期货    ,5598,4254,格林大华    ,1024,-88,银河期货    ,1122,100
20141219,IF1503                        ,13,浙商期货    ,4261,2033,上海东证    ,1014,-67,南华期货    ,900,423
20141219,IF1503                        ,14,广发期货    ,3966,1091,北京首创    ,1009,285,长江期货    ,870,4
20141219,IF1503                        ,15,兴证期货    ,3771,-936,方正中期    ,936,-36,瑞达期货    ,808,174
20141219,IF1503                        ,16,永安期货    ,3708,-95,五矿期货    ,903,71,申银万国    ,745,132
20141219,IF1503                        ,17,银河期货    ,3649,1639,招商期货    ,859,379,五矿期货    ,744,259
20141219,IF1503                        ,18,中粮期货    ,3637,3280,安信期货    ,851,-44,中信建投    ,548,-14
20141219,IF1503                        ,19,新湖期货    ,3567,-4235,中粮期货    ,834,-100,鲁证期货    ,509,227
20141219,IF1503                        ,20,瑞达期货    ,2741,919,鲁证期货    ,797,78,新湖期货    ,468,58
20141219,IF1506                        ,1,华西期货    ,12140,3614,上海东证    ,1661,-102,华泰长城    ,4059,3027
20141219,IF1506                        ,2,海通期货    ,8940,-1488,永安期货    ,1522,-9,招商期货    ,3224,-20
20141219,IF1506                        ,3,中信期货    ,7672,1997,中信期货    ,1010,-326,广发期货    ,1658,-129
20141219,IF1506                        ,4,华泰长城    ,5473,4488,国泰君安    ,996,422,南华期货    ,1361,46
20141219,IF1506                        ,5,申银万国    ,4734,1557,申银万国    ,978,52,国泰君安    ,1180,-1066
20141219,IF1506                        ,6,国泰君安    ,4478,1714,光大期货    ,818,24,光大期货    ,1132,20
20141219,IF1506                        ,7,华鑫期货    ,3861,2071,五矿期货    ,807,242,中信期货    ,945,47
