交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150105,IF1501                        ,期货公司,2607620,-101808,138633,9146,138633,9146
20150105,IF1501                        ,非期货公司,0,0,0,0,0,0
20150105,IF1502                        ,期货公司,62230,13292,10631,2486,10631,2486
20150105,IF1502                        ,非期货公司,0,0,0,0,0,0
20150105,IF1503                        ,期货公司,234600,21328,60335,8590,60335,8590
20150105,IF1503                        ,非期货公司,0,0,0,0,0,0
20150105,IF1506                        ,期货公司,96836,15566,27622,1562,27622,1562
20150105,IF1506                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150105,IF1501                        ,1,海通期货    ,171331,-2551,海通期货    ,11210,2047,中信期货    ,18844,1499
20150105,IF1501                        ,2,中信期货    ,153858,403,国泰君安    ,9755,-587,海通期货    ,12950,2792
20150105,IF1501                        ,3,国泰君安    ,143007,2580,方正中期    ,8382,1036,国泰君安    ,9997,680
20150105,IF1501                        ,4,招商期货    ,119949,-56299,中信期货    ,8285,-1837,银河期货    ,6223,155
20150105,IF1501                        ,5,兴证期货    ,116453,9058,永安期货    ,7821,3226,财富期货    ,5052,379
20150105,IF1501                        ,6,光大期货    ,114171,1009,银河期货    ,5820,-1239,永安期货    ,4999,353
20150105,IF1501                        ,7,华泰长城    ,113895,-7333,光大期货    ,5077,357,南华期货    ,4998,337
20150105,IF1501                        ,8,申银万国    ,106058,-5682,华泰长城    ,4145,-288,申银万国    ,4936,-103
20150105,IF1501                        ,9,南华期货    ,92844,660,一德期货    ,4010,1572,华泰长城    ,4705,-349
20150105,IF1501                        ,10,广发期货    ,86240,7864,北京首创    ,3620,281,广发期货    ,4683,-700
20150105,IF1501                        ,11,方正中期    ,74161,-4410,浙商期货    ,3336,320,上海东证    ,4202,1159
20150105,IF1501                        ,12,上海东证    ,73072,8653,广发期货    ,3302,238,光大期货    ,4164,302
20150105,IF1501                        ,13,银河期货    ,59762,-1210,申银万国    ,3125,433,鲁证期货    ,3560,304
20150105,IF1501                        ,14,华鑫期货    ,58767,-1486,宝城期货    ,2687,221,国金期货    ,3273,539
20150105,IF1501                        ,15,永安期货    ,50817,759,安信期货    ,2675,-1,国信期货    ,2674,50
20150105,IF1501                        ,16,五矿期货    ,50124,3668,鲁证期货    ,2613,-983,中信建投    ,2549,330
20150105,IF1501                        ,17,瑞达期货    ,48674,-4159,招商期货    ,2477,1356,招商期货    ,2415,1137
20150105,IF1501                        ,18,大有期货    ,46628,-1088,兴证期货    ,2445,28,方正中期    ,2283,737
20150105,IF1501                        ,19,鲁证期货    ,43391,-7417,新湖期货    ,2417,1159,东海期货    ,2131,-559
20150105,IF1501                        ,20,浙商期货    ,32588,3629,上海东证    ,2082,143,格林大华    ,1845,74
20150105,IF1502                        ,1,华西期货    ,6829,2020,永安期货    ,2005,1401,国泰君安    ,1696,182
20150105,IF1502                        ,2,海通期货    ,6144,186,东兴期货    ,1010,89,中信期货    ,1253,409
20150105,IF1502                        ,3,华鑫期货    ,4807,195,方正中期    ,863,236,永安期货    ,1028,-67
20150105,IF1502                        ,4,兴证期货    ,3978,1177,北京首创    ,681,-1,兴证期货    ,1007,419
20150105,IF1502                        ,5,新湖期货    ,3860,914,中信期货    ,565,27,东吴期货    ,509,11
20150105,IF1502                        ,6,中信期货    ,3660,150,银河期货    ,548,135,财富期货    ,453,0
20150105,IF1502                        ,7,浙江中大    ,2449,1449,国投中谷    ,508,200,银河期货    ,319,219
20150105,IF1502                        ,8,永安期货    ,2152,1278,国泰君安    ,495,175,申银万国    ,304,124
20150105,IF1502                        ,9,国泰君安    ,2135,54,宝城期货    ,425,356,华泰长城    ,264,137
20150105,IF1502                        ,10,五矿期货    ,1862,459,南华期货    ,300,28,海通期货    ,254,96
20150105,IF1502                        ,11,申银万国    ,1483,611,中国国际    ,264,-4,广发期货    ,237,20
20150105,IF1502                        ,12,浙商期货    ,1477,205,鲁证期货    ,244,12,国投中谷    ,216,106
20150105,IF1502                        ,13,招商期货    ,1451,-1671,招商期货    ,231,-3,上海东证    ,209,35
20150105,IF1502                        ,14,宏源期货    ,1265,609,申银万国    ,189,115,鲁证期货    ,201,111
20150105,IF1502                        ,15,南华期货    ,1061,215,倍特期货    ,178,148,北京首创    ,172,-98
20150105,IF1502                        ,16,银河期货    ,1046,625,兴证期货    ,144,-187,上海中期    ,157,99
20150105,IF1502                        ,17,安信期货    ,1006,932,华泰长城    ,133,21,中银国际    ,155,2
20150105,IF1502                        ,18,国投中谷    ,894,874,海通期货    ,125,30,浙江中大    ,150,97
20150105,IF1502                        ,19,方正中期    ,874,467,安信期货    ,122,-281,光大期货    ,146,71
20150105,IF1502                        ,20,华泰长城    ,864,478,东航期货    ,120,-59,中投天琪    ,137,27
20150105,IF1503                        ,1,华西期货    ,26588,453,国泰君安    ,6225,1126,中信期货    ,12393,837
20150105,IF1503                        ,2,海通期货    ,20208,-942,中信期货    ,5971,628,国泰君安    ,5273,507
20150105,IF1503                        ,3,华鑫期货    ,17316,-122,永安期货    ,4997,1385,海通期货    ,5009,180
20150105,IF1503                        ,4,中信期货    ,11445,916,银河期货    ,4045,1525,招商期货    ,4389,122
20150105,IF1503                        ,5,光大期货    ,8516,1286,中国国际    ,3145,291,广发期货    ,3672,2277
20150105,IF1503                        ,6,国泰君安    ,8463,2940,浙商期货    ,2510,154,银河期货    ,1845,223
20150105,IF1503                        ,7,招商期货    ,8388,-6060,光大期货    ,2257,110,永安期货    ,1794,50
20150105,IF1503                        ,8,银河期货    ,7626,3536,中粮期货    ,2055,-1,兴证期货    ,1651,140
20150105,IF1503                        ,9,新湖期货    ,7402,-2478,方正中期    ,2035,393,上海东证    ,1543,126
20150105,IF1503                        ,10,五矿期货    ,6913,2133,上海东证    ,1842,-222,华泰长城    ,1470,203
20150105,IF1503                        ,11,兴证期货    ,6713,2982,长江期货    ,1809,438,浙商期货    ,1425,84
20150105,IF1503                        ,12,南华期货    ,6584,2185,招商期货    ,1747,88,五矿期货    ,1405,75
20150105,IF1503                        ,13,浙商期货    ,5318,1736,鲁证期货    ,1559,711,长江期货    ,1277,14
20150105,IF1503                        ,14,申银万国    ,5274,1292,五矿期货    ,1363,290,南华期货    ,1238,190
20150105,IF1503                        ,15,永安期货    ,5049,229,格林大华    ,1349,14,方正中期    ,1189,180
20150105,IF1503                        ,16,广发期货    ,4685,2633,海通期货    ,1192,206,鲁证期货    ,1095,305
20150105,IF1503                        ,17,华泰长城    ,3888,220,华泰长城    ,1185,257,安信期货    ,1083,620
20150105,IF1503                        ,18,上海中财    ,3802,-1486,瑞达期货    ,1142,-15,申银万国    ,1079,-186
20150105,IF1503                        ,19,鲁证期货    ,3740,1759,中辉期货    ,932,129,东吴期货    ,1074,441
20150105,IF1503                        ,20,中融汇信    ,3494,525,南华期货    ,916,56,宏源期货    ,825,414
20150105,IF1506                        ,1,华西期货    ,14018,2907,国泰君安    ,1857,516,华泰长城    ,4170,14
20150105,IF1506                        ,2,海通期货    ,7651,-1593,永安期货    ,1816,45,招商期货    ,4077,1
20150105,IF1506                        ,3,华鑫期货    ,6833,-11,上海东证    ,1760,-111,中信期货    ,2701,609
20150105,IF1506                        ,4,中信期货    ,5943,2884,中信期货    ,1627,612,安信期货    ,1778,162
20150105,IF1506                        ,5,新湖期货    ,4257,-1233,申银万国    ,1442,36,广发期货    ,1763,104
20150105,IF1506                        ,6,兴证期货    ,3552,1770,银河期货    ,1266,199,国泰君安    ,1743,143
20150105,IF1506                        ,7,国泰君安    ,3331,562,中国国际    ,1211,36,国信期货    ,1573,133
20150105,IF1506                        ,8,美尔雅     ,2727,2147,光大期货    ,1170,-130,南华期货    ,1373,19
20150105,IF1506                        ,9,浙商期货    ,2504,1042,鲁证期货    ,978,598,方正中期    ,807,124
20150105,IF1506                        ,10,中信建投    ,2456,516,方正中期    ,913,-57,银河期货    ,729,10
20150105,IF1506                        ,11,光大期货    ,2367,1110,五矿期货    ,862,-89,海通期货    ,717,-14
20150105,IF1506                        ,12,五矿期货    ,2294,858,北京首创    ,850,15,上海东证    ,693,130
20150105,IF1506                        ,13,申银万国    ,2060,276,招商期货    ,770,38,光大期货    ,617,-89
20150105,IF1506                        ,14,南华期货    ,2009,954,中辉期货    ,755,14,兴证期货    ,480,57
20150105,IF1506                        ,15,招商期货    ,1799,-4251,瑞达期货    ,754,653,财富期货    ,400,-2
20150105,IF1506                        ,16,瑞达期货    ,1636,817,新湖期货    ,699,23,永安期货    ,380,44
20150105,IF1506                        ,17,宏源期货    ,1502,794,长江期货    ,635,-4,宝城期货    ,312,17
20150105,IF1506                        ,18,永安期货    ,1447,199,华泰长城    ,546,-102,中银国际    ,264,-44
20150105,IF1506                        ,19,银河期货    ,1413,381,宏源期货    ,479,135,大地期货    ,231,59
20150105,IF1506                        ,20,鲁证期货    ,1252,891,上海中期    ,478,-8,鲁证期货    ,207,4
