交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150112,IF1501                        ,期货公司,2537382,-888960,81457,-6907,81457,-6907
20150112,IF1501                        ,非期货公司,0,0,0,0,0,0
20150112,IF1502                        ,期货公司,179984,-9620,35391,5238,35391,5238
20150112,IF1502                        ,非期货公司,0,0,0,0,0,0
20150112,IF1503                        ,期货公司,279848,-58816,62207,-281,62207,-281
20150112,IF1503                        ,非期货公司,0,0,0,0,0,0
20150112,IF1506                        ,期货公司,82752,-39688,33793,1030,33793,1030
20150112,IF1506                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150112,IF1501                        ,1,海通期货    ,168997,-63940,中信期货    ,8014,1573,中信期货    ,10821,-11
20150112,IF1501                        ,2,招商期货    ,146491,-59403,光大期货    ,4613,410,国泰君安    ,8211,414
20150112,IF1501                        ,3,中信期货    ,130176,-60418,永安期货    ,3761,-2111,海通期货    ,7463,-533
20150112,IF1501                        ,4,国泰君安    ,128157,-61795,海通期货    ,3549,-864,光大期货    ,4386,-718
20150112,IF1501                        ,5,南华期货    ,114465,-31534,国泰君安    ,3540,-139,华泰长城    ,3815,603
20150112,IF1501                        ,6,华泰长城    ,111921,-29853,安信期货    ,3174,-279,申银万国    ,3397,-20
20150112,IF1501                        ,7,申银万国    ,111057,-28086,浙商期货    ,3045,1331,广发期货    ,2689,-576
20150112,IF1501                        ,8,光大期货    ,99478,-36036,方正中期    ,3025,2023,永安期货    ,2426,-1037
20150112,IF1501                        ,9,兴证期货    ,90943,-23073,兴证期货    ,2712,-364,招商期货    ,2379,1452
20150112,IF1501                        ,10,广发期货    ,72934,-40025,广发期货    ,2618,-1318,南华期货    ,2343,46
20150112,IF1501                        ,11,方正中期    ,71678,-19759,银河期货    ,2583,-363,鲁证期货    ,2319,489
20150112,IF1501                        ,12,上海东证    ,70023,-19029,鲁证期货    ,2571,115,银河期货    ,2032,-438
20150112,IF1501                        ,13,华鑫期货    ,63770,-7076,上海东证    ,2497,204,上海东证    ,1902,-119
20150112,IF1501                        ,14,五矿期货    ,54754,-404,宏源期货    ,2390,270,方正中期    ,1850,-367
20150112,IF1501                        ,15,银河期货    ,53791,-16987,华泰长城    ,1997,-376,财富期货    ,1586,-1419
20150112,IF1501                        ,16,大有期货    ,52387,-20213,国海良时    ,1621,6,国信期货    ,1406,19
20150112,IF1501                        ,17,瑞达期货    ,51097,-18969,申银万国    ,1541,-1527,中信建投    ,1150,-91
20150112,IF1501                        ,18,永安期货    ,50076,-10852,宝城期货    ,1432,-642,金元期货    ,1124,932
20150112,IF1501                        ,19,鲁证期货    ,36650,-15015,瑞达期货    ,1352,-116,格林大华    ,1112,63
20150112,IF1501                        ,20,浙江中大    ,32077,-9049,一德期货    ,1350,-28,东吴期货    ,934,-202
20150112,IF1502                        ,1,海通期货    ,24001,313,国泰君安    ,4729,230,海通期货    ,6991,1548
20150112,IF1502                        ,2,华西期货    ,18578,2818,银河期货    ,3491,259,中信期货    ,3884,-50
20150112,IF1502                        ,3,华鑫期货    ,9780,1477,永安期货    ,2608,772,国泰君安    ,2450,112
20150112,IF1502                        ,4,招商期货    ,8634,3451,浙商期货    ,2056,-199,兴证期货    ,2299,190
20150112,IF1502                        ,5,中信期货    ,7818,146,中信期货    ,1955,892,财富期货    ,2146,750
20150112,IF1502                        ,6,新湖期货    ,7468,-4370,华泰长城    ,1387,652,永安期货    ,1744,-77
20150112,IF1502                        ,7,兴证期货    ,6751,-2018,宝城期货    ,1295,17,广发期货    ,1450,330
20150112,IF1502                        ,8,国泰君安    ,6418,-364,海通期货    ,1279,-563,申银万国    ,1113,418
20150112,IF1502                        ,9,宏源期货    ,5428,-140,国投中谷    ,1109,0,光大期货    ,1068,-150
20150112,IF1502                        ,10,光大期货    ,5280,946,东兴期货    ,1040,26,银河期货    ,1067,107
20150112,IF1502                        ,11,南华期货    ,4852,-1810,大地期货    ,1039,34,华泰长城    ,895,124
20150112,IF1502                        ,12,浙江中大    ,4795,180,北京首创    ,901,16,东吴期货    ,829,-3
20150112,IF1502                        ,13,银河期货    ,4608,-70,方正中期    ,881,140,中银国际    ,804,267
20150112,IF1502                        ,14,永安期货    ,4409,-596,财富期货    ,831,1,国信期货    ,801,167
20150112,IF1502                        ,15,申银万国    ,4306,636,鲁证期货    ,826,273,上海东证    ,740,106
20150112,IF1502                        ,16,浙商期货    ,3811,-2970,招商期货    ,793,149,南华期货    ,420,-35
20150112,IF1502                        ,17,华泰长城    ,3650,-76,光大期货    ,790,578,浙商期货    ,420,-26
20150112,IF1502                        ,18,上海中财    ,3068,254,新湖期货    ,711,693,金元期货    ,392,391
20150112,IF1502                        ,19,五矿期货    ,2420,-3652,中辉期货    ,672,36,招商期货    ,337,-9
20150112,IF1502                        ,20,广发期货    ,2178,252,瑞达期货    ,473,30,金瑞期货    ,313,298
20150112,IF1503                        ,1,海通期货    ,29944,-7994,国泰君安    ,6791,168,中信期货    ,13156,68
20150112,IF1503                        ,2,华西期货    ,21594,-3758,方正中期    ,3664,140,国泰君安    ,6304,275
20150112,IF1503                        ,3,华鑫期货    ,20282,216,中信期货    ,3493,-1859,海通期货    ,5172,218
20150112,IF1503                        ,4,招商期货    ,19383,-450,银河期货    ,3429,168,招商期货    ,4025,138
20150112,IF1503                        ,5,中信期货    ,14875,1780,永安期货    ,3398,-89,银河期货    ,3189,463
20150112,IF1503                        ,6,光大期货    ,11069,-4637,浙商期货    ,2909,75,广发期货    ,2955,100
20150112,IF1503                        ,7,五矿期货    ,9678,-2184,中国国际    ,2770,41,永安期货    ,1885,-557
20150112,IF1503                        ,8,南华期货    ,9189,-2670,申银万国    ,2249,474,兴证期货    ,1613,-42
20150112,IF1503                        ,9,国泰君安    ,8767,-3844,上海东证    ,2101,42,安信期货    ,1546,211
20150112,IF1503                        ,10,银河期货    ,7265,-4352,长江期货    ,2098,-12,上海东证    ,1535,96
20150112,IF1503                        ,11,华泰长城    ,5929,-1549,中粮期货    ,1950,-192,华泰长城    ,1396,-331
20150112,IF1503                        ,12,兴证期货    ,5858,-3605,海通期货    ,1854,306,五矿期货    ,1386,34
20150112,IF1503                        ,13,申银万国    ,5617,-1470,五矿期货    ,1633,26,长江期货    ,1268,-21
20150112,IF1503                        ,14,方正中期    ,5555,411,北京首创    ,1487,-2,鲁证期货    ,1208,-147
20150112,IF1503                        ,15,浙商期货    ,5527,-1334,招商期货    ,1482,-27,申银万国    ,1182,-53
20150112,IF1503                        ,16,上海中财    ,5441,483,鲁证期货    ,1313,51,浙商期货    ,1144,-346
20150112,IF1503                        ,17,中融汇信    ,5293,1950,瑞达期货    ,1269,42,南华期货    ,1102,-16
20150112,IF1503                        ,18,新湖期货    ,5242,-3291,光大期货    ,1167,54,宏源期货    ,1005,192
20150112,IF1503                        ,19,广发期货    ,4486,807,南华期货    ,1132,93,东吴期货    ,890,-358
20150112,IF1503                        ,20,中信建投    ,3568,519,财富期货    ,1117,51,光大期货    ,750,17
20150112,IF1506                        ,1,海通期货    ,11540,-3052,国泰君安    ,2418,209,招商期货    ,5185,138
20150112,IF1506                        ,2,华西期货    ,9711,-4175,永安期货    ,2084,51,华泰长城    ,4701,380
20150112,IF1506                        ,3,招商期货    ,7162,787,上海东证    ,1979,176,中信期货    ,3230,139
20150112,IF1506                        ,4,华鑫期货    ,5102,-1426,中信期货    ,1798,9,广发期货    ,2903,248
20150112,IF1506                        ,5,中信期货    ,3894,-1547,银河期货    ,1744,363,国泰君安    ,1972,197
20150112,IF1506                        ,6,新湖期货    ,2662,-1659,鲁证期货    ,1498,-19,安信期货    ,1812,-16
20150112,IF1506                        ,7,国泰君安    ,2596,-398,申银万国    ,1400,-13,国信期货    ,1439,51
20150112,IF1506                        ,8,兴证期货    ,2377,-1483,光大期货    ,1355,65,南华期货    ,1310,-42
20150112,IF1506                        ,9,南华期货    ,2255,-1420,中辉期货    ,1326,41,方正中期    ,1118,-321
20150112,IF1506                        ,10,申银万国    ,2088,-1125,方正中期    ,1325,91,海通期货    ,1111,164
20150112,IF1506                        ,11,永安期货    ,1712,-781,中国国际    ,1173,-26,银河期货    ,798,-11
20150112,IF1506                        ,12,五矿期货    ,1542,-1369,新湖期货    ,993,-6,永安期货    ,779,-227
20150112,IF1506                        ,13,浙商期货    ,1485,-995,瑞达期货    ,990,-7,兴证期货    ,770,119
20150112,IF1506                        ,14,华泰长城    ,1410,-47,海通期货    ,967,-66,上海东证    ,645,-19
20150112,IF1506                        ,15,光大期货    ,1401,-1912,北京首创    ,963,3,浙商期货    ,619,102
20150112,IF1506                        ,16,银河期货    ,1278,-459,五矿期货    ,945,17,光大期货    ,440,12
20150112,IF1506                        ,17,浙江中大    ,1271,-152,中粮期货    ,826,15,宝城期货    ,439,-8
20150112,IF1506                        ,18,广发期货    ,1264,-729,招商期货    ,762,-32,财富期货    ,402,0
20150112,IF1506                        ,19,上海中财    ,1150,-810,华泰长城    ,655,0,鲁证期货    ,284,-4
20150112,IF1506                        ,20,宏源期货    ,1090,-963,长江期货    ,647,21,中银国际    ,284,24
