交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150121,IF1502                        ,期货公司,2919592,-548568,112574,6667,112574,6667
20150121,IF1502                        ,非期货公司,0,0,0,0,0,0
20150121,IF1503                        ,期货公司,367512,-76866,59046,-4205,59046,-4205
20150121,IF1503                        ,非期货公司,0,0,0,0,0,0
20150121,IF1506                        ,期货公司,111600,-30974,41302,1275,41302,1275
20150121,IF1506                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150121,IF1502                        ,1,中信期货    ,184125,-21148,海通期货    ,9409,1544,中信期货    ,13145,126
20150121,IF1502                        ,2,海通期货    ,182468,-41786,中信期货    ,9134,-1903,海通期货    ,10778,-226
20150121,IF1502                        ,3,国泰君安    ,157658,-14269,永安期货    ,5336,-122,国泰君安    ,9734,-1151
20150121,IF1502                        ,4,招商期货    ,154457,-40195,国泰君安    ,5254,49,财富期货    ,5887,-42
20150121,IF1502                        ,5,华泰长城    ,143089,-13632,倍特期货    ,4647,1459,永安期货    ,5347,220
20150121,IF1502                        ,6,南华期货    ,124530,-19860,银河期货    ,4631,-514,银河期货    ,4190,216
20150121,IF1502                        ,7,兴证期货    ,115121,-27826,浙商期货    ,4491,22,华泰长城    ,4100,-97
20150121,IF1502                        ,8,申银万国    ,114909,-25399,光大期货    ,4251,521,光大期货    ,3946,-1059
20150121,IF1502                        ,9,光大期货    ,108398,-18382,安信期货    ,3725,327,申银万国    ,3548,608
20150121,IF1502                        ,10,广发期货    ,93042,-31033,华泰长城    ,3699,890,招商期货    ,3428,2596
20150121,IF1502                        ,11,上海东证    ,86001,-21870,方正中期    ,2641,757,广发期货    ,2993,-467
20150121,IF1502                        ,12,方正中期    ,73281,-20150,广发期货    ,2622,807,南华期货    ,2856,-54
20150121,IF1502                        ,13,华鑫期货    ,69506,270,宝城期货    ,2384,93,东海期货    ,2490,2168
20150121,IF1502                        ,14,银河期货    ,67128,-9978,兴证期货    ,2329,151,鲁证期货    ,2269,191
20150121,IF1502                        ,15,五矿期货    ,64983,1838,招商期货    ,2307,-1287,浙商期货    ,2163,1763
20150121,IF1502                        ,16,永安期货    ,56888,-15544,锦泰期货    ,2281,2220,兴证期货    ,2117,176
