交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150126,IF1502                        ,期货公司,2129822,-768052,107650,4371,107650,4371
20150126,IF1502                        ,非期货公司,0,0,0,0,0,0
20150126,IF1503                        ,期货公司,224236,-101310,60983,501,60983,501
20150126,IF1503                        ,非期货公司,0,0,0,0,0,0
20150126,IF1506                        ,期货公司,57356,-37562,40370,-814,40370,-814
20150126,IF1506                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150126,IF1502                        ,1,中信期货    ,142467,-26612,中信期货    ,12792,1959,中信期货    ,13040,1128
20150126,IF1502                        ,2,海通期货    ,120098,-64690,永安期货    ,6468,697,海通期货    ,9951,58
20150126,IF1502                        ,3,国泰君安    ,111077,-49508,海通期货    ,6395,-856,国泰君安    ,8602,-5
20150126,IF1502                        ,4,南华期货    ,93069,-28477,倍特期货    ,5880,825,财富期货    ,6054,35
20150126,IF1502                        ,5,华泰长城    ,89075,-36651,国泰君安    ,4793,204,永安期货    ,4781,358
20150126,IF1502                        ,6,招商期货    ,83753,-65264,浙商期货    ,4657,181,华泰长城    ,4463,488
20150126,IF1502                        ,7,上海东证    ,81329,-10923,光大期货    ,4273,605,光大期货    ,4098,148
20150126,IF1502                        ,8,兴证期货    ,75010,-14786,银河期货    ,3896,-69,申银万国    ,3638,-395
20150126,IF1502                        ,9,申银万国    ,69980,-39490,华泰长城    ,3131,39,银河期货    ,3533,-93
20150126,IF1502                        ,10,光大期货    ,68177,-32231,广发期货    ,3107,226,南华期货    ,3094,407
20150126,IF1502                        ,11,广发期货    ,65225,-55616,安信期货    ,2779,-356,广发期货    ,3022,-87
20150126,IF1502                        ,12,方正中期    ,62899,-14939,宝城期货    ,2580,38,鲁证期货    ,2826,482
20150126,IF1502                        ,13,华鑫期货    ,61382,-8275,申银万国    ,2543,193,东海期货    ,2644,-12
20150126,IF1502                        ,14,银河期货    ,53978,-13549,南华期货    ,2386,568,上海东证    ,2418,336
20150126,IF1502                        ,15,瑞达期货    ,47741,-10266,上海东证    ,2043,-27,国信期货    ,2119,77
20150126,IF1502                        ,16,五矿期货    ,47142,-18926,兴证期货    ,1924,165,兴证期货    ,2042,311
20150126,IF1502                        ,17,永安期货    ,46233,-3248,国信期货    ,1803,-150,中银国际    ,1790,-4
20150126,IF1502                        ,18,大有期货    ,39953,-20163,宏源期货    ,1763,340,中信建投    ,1628,36
20150126,IF1502                        ,19,浙商期货    ,31053,-9868,瑞达期货    ,1572,275,弘业期货    ,1487,52
20150126,IF1502                        ,20,鲁证期货    ,30767,-10223,国海良时    ,1537,35,浙商期货    ,1299,166
20150126,IF1503                        ,1,华鑫期货    ,24491,-4028,国泰君安    ,4984,52,中信期货    ,8310,-201
20150126,IF1503                        ,2,华西期货    ,17444,-7561,永安期货    ,3873,692,海通期货    ,6310,-138
20150126,IF1503                        ,3,海通期货    ,14402,-14531,中信期货    ,3628,61,国泰君安    ,5660,-39
20150126,IF1503                        ,4,招商期货    ,11534,-5091,银河期货    ,3386,21,银河期货    ,4090,16
20150126,IF1503                        ,5,中信期货    ,10882,-7477,方正中期    ,3285,-21,广发期货    ,3895,-4
20150126,IF1503                        ,6,新湖期货    ,9078,-3991,格林大华    ,2463,20,招商期货    ,3822,-7
20150126,IF1503                        ,7,国泰君安    ,8875,-219,申银万国    ,2445,57,永安期货    ,2400,281
20150126,IF1503                        ,8,光大期货    ,7465,-4570,海通期货    ,2105,110,东吴期货    ,2058,-94
20150126,IF1503                        ,9,兴证期货    ,6660,-1105,上海东证    ,2034,-331,上海东证    ,1757,-20
20150126,IF1503                        ,10,五矿期货    ,6471,-1106,浙商期货    ,1974,0,兴证期货    ,1613,-86
20150126,IF1503                        ,11,永安期货    ,5983,1075,光大期货    ,1970,182,南华期货    ,1414,322
20150126,IF1503                        ,12,南华期货    ,5859,-6403,中国国际    ,1911,7,安信期货    ,1320,8
20150126,IF1503                        ,13,中融汇信    ,5270,-1862,北京首创    ,1752,17,长江期货    ,1314,7
20150126,IF1503                        ,14,银河期货    ,3809,-2148,华泰长城    ,1652,-18,申银万国    ,1262,52
20150126,IF1503                        ,15,华泰长城    ,3672,-4530,南华期货    ,1562,35,华泰长城    ,1156,2
20150126,IF1503                        ,16,浙商期货    ,3656,-1331,瑞达期货    ,1437,81,鲁证期货    ,1093,-71
20150126,IF1503                        ,17,上海东证    ,3607,-49,中粮期货    ,1394,28,光大期货    ,878,-87
20150126,IF1503                        ,18,宏源期货    ,3588,-1171,鲁证期货    ,1207,-12,方正中期    ,784,12
20150126,IF1503                        ,19,浙江中大    ,3377,-782,五矿期货    ,1142,-10,五矿期货    ,743,5
20150126,IF1503                        ,20,申银万国    ,3333,-2427,招商期货    ,1035,107,国金期货    ,704,70
20150126,IF1506                        ,1,华鑫期货    ,7032,-2008,国泰君安    ,3719,84,中信期货    ,6413,80
20150126,IF1506                        ,2,华西期货    ,6917,-3947,银河期货    ,3036,-22,招商期货    ,4614,-81
20150126,IF1506                        ,3,海通期货    ,4430,-5469,永安期货    ,1930,-120,华泰长城    ,4164,-13
20150126,IF1506                        ,4,招商期货    ,4188,-6020,中信期货    ,1740,36,国泰君安    ,3410,-345
20150126,IF1506                        ,5,中信期货    ,3940,-3233,方正中期    ,1733,8,广发期货    ,3409,4
20150126,IF1506                        ,6,新湖期货    ,3059,-955,鲁证期货    ,1706,-3,安信期货    ,1724,-341
20150126,IF1506                        ,7,国泰君安    ,2645,-139,光大期货    ,1396,2,南华期货    ,1655,20
20150126,IF1506                        ,8,浙江中大    ,1873,678,中辉期货    ,1372,-13,海通期货    ,1536,-34
20150126,IF1506                        ,9,兴证期货    ,1431,-328,申银万国    ,1322,2,方正中期    ,1324,-13
20150126,IF1506                        ,10,国信期货    ,1313,-331,上海东证    ,1289,-405,永安期货    ,1254,36
20150126,IF1506                        ,11,南华期货    ,1297,-1254,北京首创    ,1271,9,光大期货    ,881,-12
20150126,IF1506                        ,12,上海东证    ,1081,-544,美尔雅     ,1184,-169,银河期货    ,794,-5
20150126,IF1506                        ,13,光大期货    ,946,-738,中国国际    ,1163,3,上海东证    ,715,4
20150126,IF1506                        ,14,永安期货    ,812,-999,海通期货    ,1097,116,宝城期货    ,666,2
20150126,IF1506                        ,15,宏源期货    ,691,-649,五矿期货    ,1061,-46,国信期货    ,583,-22
20150126,IF1506                        ,16,广发期货    ,679,-196,新湖期货    ,996,-9,五矿期货    ,544,6
20150126,IF1506                        ,17,徽商期货    ,651,48,瑞达期货    ,993,13,申银万国    ,537,20
20150126,IF1506                        ,18,五矿期货    ,606,-367,华泰长城    ,928,-2,新湖期货    ,531,12
20150126,IF1506                        ,19,银河期货    ,581,-284,中粮期货    ,875,-5,中信建投    ,461,11
20150126,IF1506                        ,20,申银万国    ,572,-927,长江期货    ,748,12,兴证期货    ,459,-93
