交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150128,IF1502                        ,期货公司,2734786,90210,108348,95,108348,95
20150128,IF1502                        ,非期货公司,0,0,0,0,0,0
20150128,IF1503                        ,期货公司,286756,-9640,61586,813,61586,813
20150128,IF1503                        ,非期货公司,0,0,0,0,0,0
20150128,IF1506                        ,期货公司,75876,-964,41022,-177,41022,-177
20150128,IF1506                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150128,IF1502                        ,1,中信期货    ,193911,16443,中信期货    ,14508,132,中信期货    ,12513,397
20150128,IF1502                        ,2,海通期货    ,165202,-11057,永安期货    ,6385,94,海通期货    ,11560,1823
20150128,IF1502                        ,3,国泰君安    ,135441,-4571,倍特期货    ,6185,-51,国泰君安    ,10092,670
20150128,IF1502                        ,4,招商期货    ,116625,13568,浙商期货    ,6081,133,财富期货    ,6082,-22
20150128,IF1502                        ,5,南华期货    ,112032,8121,海通期货    ,5605,-105,华泰长城    ,4721,150
20150128,IF1502                        ,6,兴证期货    ,108885,8340,国泰君安    ,5076,-415,广发期货    ,4386,376
20150128,IF1502                        ,7,华泰长城    ,106980,-13209,银河期货    ,4257,46,永安期货    ,4312,37
20150128,IF1502                        ,8,申银万国    ,103042,1712,安信期货    ,3324,469,光大期货    ,3899,535
20150128,IF1502                        ,9,广发期货    ,97898,-2155,申银万国    ,2899,363,银河期货    ,3731,-438
20150128,IF1502                        ,10,光大期货    ,92573,-1406,广发期货    ,2836,100,南华期货    ,3573,-10
20150128,IF1502                        ,11,上海东证    ,90299,11749,光大期货    ,2538,-1696,方正中期    ,3334,707
20150128,IF1502                        ,12,方正中期    ,78490,2648,宝城期货    ,2506,20,申银万国    ,3224,-593
20150128,IF1502                        ,13,五矿期货    ,70893,20996,招商期货    ,2494,1464,上海东证    ,2502,-1009
20150128,IF1502                        ,14,华鑫期货    ,66439,-708,华泰长城    ,2480,-250,兴证期货    ,2308,117
20150128,IF1502                        ,15,瑞达期货    ,65320,2082,南华期货    ,2258,74,国信期货    ,2036,-50
20150128,IF1502                        ,16,银河期货    ,62726,4983,上海东证    ,1966,692,中银国际    ,1837,61
20150128,IF1502                        ,17,永安期货    ,52371,-2326,鲁证期货    ,1895,324,鲁证期货    ,1821,49
20150128,IF1502                        ,18,大有期货    ,51358,7010,兴证期货    ,1854,-34,中信建投    ,1757,34
20150128,IF1502                        ,19,鲁证期货    ,39913,205,瑞达期货    ,1695,115,华西期货    ,965,13
20150128,IF1502                        ,20,浙商期货    ,38431,140,宏源期货    ,1579,-56,招商期货    ,831,-1195
20150128,IF1503                        ,1,海通期货    ,26129,96,国泰君安    ,5484,62,中信期货    ,8042,101
20150128,IF1503                        ,2,华鑫期货    ,25013,-2210,永安期货    ,3750,-701,国泰君安    ,6411,285
20150128,IF1503                        ,3,招商期货    ,20560,7490,中信期货    ,3376,47,海通期货    ,6329,104
20150128,IF1503                        ,4,华西期货    ,18459,115,方正中期    ,3312,-189,银河期货    ,4125,69
