交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150203,IF1502                        ,期货公司,2448742,259120,115571,5163,115571,5163
20150203,IF1502                        ,非期货公司,0,0,0,0,0,0
20150203,IF1503                        ,期货公司,273352,10742,62835,3596,62835,3596
20150203,IF1503                        ,非期货公司,0,0,0,0,0,0
20150203,IF1506                        ,期货公司,74416,9462,38822,923,38822,923
20150203,IF1506                        ,非期货公司,0,0,0,0,0,0
20150203,IF1509                        ,期货公司,16372,-578,13067,1302,13067,1302
20150203,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150203,IF1502                        ,1,中信期货    ,163516,5133,中信期货    ,12585,-904,中信期货    ,17466,2790
20150203,IF1502                        ,2,海通期货    ,149258,21682,海通期货    ,8132,1306,海通期货    ,10871,-176
20150203,IF1502                        ,3,国泰君安    ,131328,19541,永安期货    ,6213,933,国泰君安    ,9374,461
20150203,IF1502                        ,4,华泰长城    ,101933,3826,倍特期货    ,6019,-96,财富期货    ,6081,-253
20150203,IF1502                        ,5,申银万国    ,98204,15913,银河期货    ,5471,445,华泰长城    ,5411,426
20150203,IF1502                        ,6,招商期货    ,97162,-13139,国泰君安    ,4977,-631,光大期货    ,4376,685
20150203,IF1502                        ,7,南华期货    ,94465,521,光大期货    ,4955,535,广发期货    ,4053,614
20150203,IF1502                        ,8,兴证期货    ,87693,17813,浙商期货    ,4614,-167,南华期货    ,4051,-160
20150203,IF1502                        ,9,方正中期    ,82692,22260,招商期货    ,3349,1660,银河期货    ,3636,11
20150203,IF1502                        ,10,光大期货    ,75546,138,申银万国    ,2736,-523,申银万国    ,3150,101
20150203,IF1502                        ,11,广发期货    ,74336,5961,广发期货    ,2443,-648,永安期货    ,3120,-1286
20150203,IF1502                        ,12,上海东证    ,69735,8380,方正中期    ,2363,1181,兴证期货    ,3013,847
20150203,IF1502                        ,13,华鑫期货    ,59925,4359,华泰长城    ,2339,55,鲁证期货    ,2875,-613
20150203,IF1502                        ,14,银河期货    ,59268,13297,兴证期货    ,2333,58,国信期货    ,2234,122
20150203,IF1502                        ,15,瑞达期货    ,58717,6622,宝城期货    ,2150,142,上海东证    ,2184,106
20150203,IF1502                        ,16,大有期货    ,51612,14200,南华期货    ,2065,-5,浙商期货    ,2116,849
20150203,IF1502                        ,17,永安期货    ,46105,6549,安信期货    ,1899,-82,中银国际    ,1992,57
20150203,IF1502                        ,18,五矿期货    ,42481,-7540,上海东证    ,1881,-307,中信建投    ,1827,19
