交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150217,IF1502                        ,期货公司,346078,-308628,15389,-19729,15389,-19729
20150217,IF1502                        ,非期货公司,0,0,0,0,0,0
20150217,IF1503                        ,期货公司,1331942,285574,156259,15907,156259,15907
20150217,IF1503                        ,非期货公司,0,0,0,0,0,0
20150217,IF1506                        ,期货公司,54796,5296,45260,693,45260,693
20150217,IF1506                        ,非期货公司,0,0,0,0,0,0
20150217,IF1509                        ,期货公司,11956,-1712,21298,907,21298,907
20150217,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150217,IF1502                        ,1,海通期货    ,30219,-17419,安信期货    ,1475,-478,国泰君安    ,3630,-1935
20150217,IF1502                        ,2,华西期货    ,28674,-9620,光大期货    ,1152,-2336,中信期货    ,2425,-3421
20150217,IF1502                        ,3,中信期货    ,19716,-20317,中信期货    ,1055,-3637,兴证期货    ,676,-464
20150217,IF1502                        ,4,华鑫期货    ,17156,-20019,海通期货    ,998,-918,光大期货    ,488,-243
20150217,IF1502                        ,5,国泰君安    ,13139,-14858,宏源期货    ,846,-606,华泰长城    ,481,-538
20150217,IF1502                        ,6,方正中期    ,13107,-4634,方正中期    ,838,-650,永安期货    ,453,-128
20150217,IF1502                        ,7,光大期货    ,10413,-6891,兴证期货    ,733,-180,南华期货    ,448,-239
20150217,IF1502                        ,8,华泰长城    ,10375,-12372,申银万国    ,689,-552,国金期货    ,429,-16
20150217,IF1502                        ,9,银河期货    ,10236,-9760,永安期货    ,669,131,国信期货    ,425,-407
20150217,IF1502                        ,10,兴证期货    ,9572,-5741,鲁证期货    ,635,-545,申银万国    ,387,-250
20150217,IF1502                        ,11,申银万国    ,8944,-8495,南华期货    ,633,-204,中钢期货    ,359,-8
20150217,IF1502                        ,12,瑞达期货    ,8860,-7236,国泰君安    ,558,-636,海通期货    ,359,-2575
20150217,IF1502                        ,13,招商期货    ,8381,-8223,招商期货    ,468,-197,财富期货    ,354,-551
