交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150305,IF1503                        ,期货公司,2378262,16682,154214,-4330,154214,-4330
20150305,IF1503                        ,非期货公司,0,0,0,0,0,0
20150305,IF1504                        ,期货公司,42440,10266,10380,2135,10380,2135
20150305,IF1504                        ,非期货公司,0,0,0,0,0,0
20150305,IF1506                        ,期货公司,141628,5646,50047,-660,50047,-660
20150305,IF1506                        ,非期货公司,0,0,0,0,0,0
20150305,IF1509                        ,期货公司,19584,-7988,27308,927,27308,927
20150305,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150305,IF1503                        ,1,海通期货    ,166669,11013,中信期货    ,12241,-162,海通期货    ,17121,-51
20150305,IF1503                        ,2,中信期货    ,156239,-23562,国泰君安    ,10983,56,国泰君安    ,14955,1530
20150305,IF1503                        ,3,国泰君安    ,125568,-940,永安期货    ,9643,470,中信期货    ,13893,-1711
20150305,IF1503                        ,4,华泰长城    ,93952,-6527,方正中期    ,7411,-1964,广发期货    ,8582,884
20150305,IF1503                        ,5,申银万国    ,93858,10384,银河期货    ,6886,63,银河期货    ,7856,262
20150305,IF1503                        ,6,招商期货    ,92762,30629,海通期货    ,6860,-1078,财富期货    ,6932,-17
20150305,IF1503                        ,7,南华期货    ,85311,13971,倍特期货    ,6155,-28,华泰长城    ,6005,-429
20150305,IF1503                        ,8,广发期货    ,81894,453,光大期货    ,5815,-372,招商期货    ,5851,502
20150305,IF1503                        ,9,兴证期货    ,80980,4383,申银万国    ,4856,476,永安期货    ,5149,-450
20150305,IF1503                        ,10,华鑫期货    ,79800,4993,南华期货    ,3908,62,光大期货    ,4997,685
20150305,IF1503                        ,11,方正中期    ,77863,-7207,广发期货    ,3742,192,鲁证期货    ,4906,-364
20150305,IF1503                        ,12,光大期货    ,68483,2566,鲁证期货    ,3451,-390,兴证期货    ,4512,-576
20150305,IF1503                        ,13,上海东证    ,60294,-4449,华泰长城    ,3103,-533,申银万国    ,4299,-1010
20150305,IF1503                        ,14,银河期货    ,55191,4158,上海东证    ,3100,-41,中银国际    ,4258,-351
20150305,IF1503                        ,15,瑞达期货    ,51270,-2378,中国国际    ,3000,-60,方正中期    ,4236,1943
20150305,IF1503                        ,16,五矿期货    ,40901,6687,安信期货    ,2860,330,南华期货    ,4159,73
