交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150306,IF1503                        ,期货公司,2035756,-342506,152092,-2122,152092,-2122
20150306,IF1503                        ,非期货公司,0,0,0,0,0,0
20150306,IF1504                        ,期货公司,28266,-14174,11017,637,11017,637
20150306,IF1504                        ,非期货公司,0,0,0,0,0,0
20150306,IF1506                        ,期货公司,103302,-38326,50879,832,50879,832
20150306,IF1506                        ,非期货公司,0,0,0,0,0,0
20150306,IF1509                        ,期货公司,16160,-3424,28515,1207,28515,1207
20150306,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150306,IF1503                        ,1,中信期货    ,160167,3928,中信期货    ,12480,239,海通期货    ,17838,717
20150306,IF1503                        ,2,海通期货    ,129364,-37305,国泰君安    ,10274,-709,中信期货    ,13435,-458
20150306,IF1503                        ,3,国泰君安    ,112315,-13253,永安期货    ,8886,-757,国泰君安    ,13073,-1882
20150306,IF1503                        ,4,华泰长城    ,77992,-15960,方正中期    ,7509,98,广发期货    ,8027,-555
20150306,IF1503                        ,5,申银万国    ,77001,-16857,银河期货    ,7210,324,银河期货    ,7013,-843
20150306,IF1503                        ,6,招商期货    ,71981,-20781,海通期货    ,7169,309,财富期货    ,6820,-112
20150306,IF1503                        ,7,华鑫期货    ,69793,-10007,倍特期货    ,6202,47,华泰长城    ,6011,6
20150306,IF1503                        ,8,方正中期    ,67133,-10730,光大期货    ,4662,-1153,兴证期货    ,5291,779
20150306,IF1503                        ,9,兴证期货    ,66827,-14153,申银万国    ,4369,-487,鲁证期货    ,4971,65
20150306,IF1503                        ,10,南华期货    ,66063,-19248,浙商期货    ,3835,1234,光大期货    ,4941,-56
20150306,IF1503                        ,11,光大期货    ,61579,-6904,广发期货    ,3778,36,永安期货    ,4939,-210
20150306,IF1503                        ,12,广发期货    ,60105,-21789,南华期货    ,3743,-165,申银万国    ,4847,548
20150306,IF1503                        ,13,上海东证    ,51666,-8628,上海东证    ,3688,588,南华期货    ,4145,-14
20150306,IF1503                        ,14,瑞达期货    ,45745,-5525,鲁证期货    ,3495,44,方正中期    ,4123,-113
20150306,IF1503                        ,15,银河期货    ,43833,-11358,招商期货    ,3031,1195,中银国际    ,3876,-382
20150306,IF1503                        ,16,鲁证期货    ,36897,-3295,华泰长城    ,3027,-76,招商期货    ,3691,-2160
20150306,IF1503                        ,17,永安期货    ,35857,-2951,安信期货    ,2967,107,上海东证    ,3202,76
20150306,IF1503                        ,18,国信期货    ,32622,4143,中国国际    ,2718,-282,中信建投    ,2600,-44
20150306,IF1503                        ,19,大有期货    ,29554,-4196,新湖期货    ,2618,98,国信期货    ,1985,-27
20150306,IF1503                        ,20,浙商期货    ,29106,-7495,瑞达期货    ,2511,-48,安信期货    ,1515,552
20150306,IF1504                        ,1,海通期货    ,3670,-2762,国泰君安    ,1086,-11,中信期货    ,2653,83
20150306,IF1504                        ,2,华鑫期货    ,2627,-766,国信期货    ,887,8,海通期货    ,1312,48
20150306,IF1504                        ,3,华西期货    ,2542,-1871,海通期货    ,871,26,广发期货    ,1036,10
20150306,IF1504                        ,4,中信期货    ,1991,-1064,永安期货    ,857,-35,上海东证    ,868,-3
20150306,IF1504                        ,5,招商期货    ,1049,44,银河期货    ,708,92,国泰君安    ,860,8
20150306,IF1504                        ,6,新湖期货    ,997,-550,招商期货    ,658,6,中银国际    ,655,291
20150306,IF1504                        ,7,宏源期货    ,894,-368,方正中期    ,569,32,新湖期货    ,500,0
20150306,IF1504                        ,8,兴证期货    ,850,-1219,南华期货    ,431,-141,光大期货    ,492,17
20150306,IF1504                        ,9,国泰君安    ,833,-384,鲁证期货    ,406,111,南华期货    ,485,-3
20150306,IF1504                        ,10,方正中期    ,796,328,光大期货    ,403,99,招商期货    ,286,29
20150306,IF1504                        ,11,南华期货    ,668,-746,申银万国    ,376,13,国金期货    ,232,12
20150306,IF1504                        ,12,光大期货    ,666,-2097,华泰长城    ,296,34,华泰长城    ,180,11
20150306,IF1504                        ,13,五矿期货    ,659,-370,宏源期货    ,291,66,国信期货    ,109,21
20150306,IF1504                        ,14,广发期货    ,654,282,中国国际    ,281,5,财富期货    ,109,2
20150306,IF1504                        ,15,永安期货    ,615,-194,兴证期货    ,263,167,中信建投    ,108,3
20150306,IF1504                        ,16,中融汇信    ,586,-155,中信期货    ,236,-52,银河期货    ,102,3
20150306,IF1504                        ,17,浙商期货    ,518,-411,新湖期货    ,172,7,长江期货    ,87,41
20150306,IF1504                        ,18,鲁证期货    ,497,194,上海东证    ,169,43,信达期货    ,59,-3
20150306,IF1504                        ,19,西部期货    ,479,-229,万达期货    ,138,10,方正中期    ,54,0
20150306,IF1504                        ,20,华泰长城    ,461,-323,新世纪     ,131,15,鲁证期货    ,49,-2
20150306,IF1506                        ,1,海通期货    ,16672,-5845,银河期货    ,4528,80,中信期货    ,7526,603
20150306,IF1506                        ,2,华鑫期货    ,11453,-2867,永安期货    ,4346,-2,国泰君安    ,5459,-360
20150306,IF1506                        ,3,华西期货    ,5781,-3212,国泰君安    ,3826,-46,华泰长城    ,4306,-47
20150306,IF1506                        ,4,中信期货    ,5664,-1045,方正中期    ,2619,-42,广发期货    ,3965,-67
20150306,IF1506                        ,5,五矿期货    ,4345,-1590,中国国际    ,2482,-2,招商期货    ,2309,811
20150306,IF1506                        ,6,美尔雅     ,3794,-2386,华泰长城    ,2442,-102,永安期货    ,2228,71
20150306,IF1506                        ,7,招商期货    ,3571,-1125,中信期货    ,2318,141,方正中期    ,2013,-3
20150306,IF1506                        ,8,光大期货    ,3308,1099,北京首创    ,1652,-34,上海东证    ,1756,-153
20150306,IF1506                        ,9,国泰君安    ,2806,-1563,中辉期货    ,1491,9,兴证期货    ,1681,-215
20150306,IF1506                        ,10,兴证期货    ,2773,-1255,鲁证期货    ,1488,33,南华期货    ,1568,-1
20150306,IF1506                        ,11,新湖期货    ,2500,-1122,新湖期货    ,1405,1,海通期货    ,1489,77
