交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150320,IF1503                        ,期货公司,234990,-507704,0,-19576,0,-19576
20150320,IF1503                        ,非期货公司,0,0,0,0,0,0
20150320,IF1504                        ,期货公司,3008654,1374006,131123,-938,131123,-938
20150320,IF1504                        ,非期货公司,0,0,0,0,0,0
20150320,IF1506                        ,期货公司,255740,114216,70228,963,70228,963
20150320,IF1506                        ,非期货公司,0,0,0,0,0,0
20150320,IF1509                        ,期货公司,37394,14532,33757,781,33757,781
20150320,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150320,IF1503                        ,1,海通期货    ,28582,-22567,国泰君安    ,0,-1798,国泰君安    ,0,-1339
20150320,IF1503                        ,2,中信期货    ,16216,-52790,南华期货    ,0,-1469,南华期货    ,0,-297
20150320,IF1503                        ,3,华鑫期货    ,14501,-26889,永安期货    ,0,-688,永安期货    ,0,-2249
20150320,IF1503                        ,4,国泰君安    ,11017,-15449,一德期货    ,0,-11,一德期货    ,0,-22
20150320,IF1503                        ,5,华西期货    ,9415,-19407,鲁证期货    ,0,-826,鲁证期货    ,0,-403
20150320,IF1503                        ,6,招商期货    ,9395,-8804,光大期货    ,0,-579,光大期货    ,0,-292
20150320,IF1503                        ,7,西部期货    ,8851,-5674,东海期货    ,0,-59,东海期货    ,0,-137
20150320,IF1503                        ,8,申银万国    ,7310,-17355,浙商期货    ,0,-127,浙商期货    ,0,-209
20150320,IF1503                        ,9,华泰长城    ,6817,-14822,中粮期货    ,0,-52,中粮期货    ,0,-107
20150320,IF1503                        ,10,南华期货    ,6231,-9780,华泰长城    ,0,-858,华泰长城    ,0,-548
20150320,IF1503                        ,11,方正中期    ,6056,-18487,五矿期货    ,0,-68,五矿期货    ,0,-478
20150320,IF1503                        ,12,永安期货    ,5841,-5880,广发期货    ,0,-303,广发期货    ,0,-1303
20150320,IF1503                        ,13,光大期货    ,5213,-15709,信达期货    ,0,-69,信达期货    ,0,-93
20150320,IF1503                        ,14,兴证期货    ,4589,-14012,中信期货    ,0,-1293,中信期货    ,0,-1468
20150320,IF1503                        ,15,鲁证期货    ,4584,-8438,金瑞期货    ,0,-67,金瑞期货    ,0,-92
20150320,IF1503                        ,16,广发期货    ,4405,-8109,新世纪     ,0,-14,新世纪     ,0,-11
20150320,IF1503                        ,17,五矿期货    ,4345,-7360,兴证期货    ,0,-849,兴证期货    ,0,-488
20150320,IF1503                        ,18,上海东证    ,4322,-10783,建信期货    ,0,-15,建信期货    ,0,-15
20150320,IF1503                        ,19,安信期货    ,4043,-3558,平安期货    ,0,-14,平安期货    ,0,-68
20150320,IF1503                        ,20,新湖期货    ,4011,-8847,格林大华    ,0,-1646,格林大华    ,0,-120
20150320,IF1504                        ,1,中信期货    ,248541,130075,中信期货    ,10629,-963,海通期货    ,13474,-321
