交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150326,IF1504                        ,期货公司,3208650,639862,136242,-734,136242,-734
20150326,IF1504                        ,非期货公司,0,0,0,0,0,0
20150326,IF1506                        ,期货公司,307732,84892,61404,-7787,61404,-7787
20150326,IF1506                        ,非期货公司,0,0,0,0,0,0
20150326,IF1509                        ,期货公司,50012,14248,32807,-852,32807,-852
20150326,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150326,IF1504                        ,1,中信期货    ,258405,43846,中信期货    ,11413,-1772,中信期货    ,14224,27
20150326,IF1504                        ,2,海通期货    ,190843,49018,国泰君安    ,7934,469,海通期货    ,13955,-1008
20150326,IF1504                        ,3,国泰君安    ,146673,25553,海通期货    ,7221,-1117,国泰君安    ,8370,1062
20150326,IF1504                        ,4,华泰长城    ,131936,25678,永安期货    ,7133,-614,银河期货    ,8033,-204
20150326,IF1504                        ,5,兴证期货    ,129263,40029,光大期货    ,6460,1016,广发期货    ,7547,-495
20150326,IF1504                        ,6,申银万国    ,125806,19489,倍特期货    ,6200,111,永安期货    ,6181,1457
20150326,IF1504                        ,7,招商期货    ,117106,33660,方正中期    ,6142,-297,财富期货    ,6041,-159
20150326,IF1504                        ,8,方正中期    ,114254,29167,广发期货    ,5504,1975,华泰长城    ,5336,307
20150326,IF1504                        ,9,南华期货    ,111580,24939,浙商期货    ,4678,113,兴证期货    ,4826,-390
20150326,IF1504                        ,10,华鑫期货    ,106643,15194,南华期货    ,4106,-638,招商期货    ,4420,122
20150326,IF1504                        ,11,广发期货    ,94886,26808,银河期货    ,4033,526,光大期货    ,4355,-683
20150326,IF1504                        ,12,光大期货    ,89309,21507,申银万国    ,3435,633,申银万国    ,3874,-605
20150326,IF1504                        ,13,银河期货    ,81468,10867,华泰长城    ,2754,47,中银国际    ,3736,-46
20150326,IF1504                        ,14,上海东证    ,81421,13964,上海东证    ,2617,-413,鲁证期货    ,2937,-544
20150326,IF1504                        ,15,瑞达期货    ,76366,8480,宝城期货    ,2297,130,上海东证    ,2818,-612
20150326,IF1504                        ,16,五矿期货    ,64712,17977,宏源期货    ,2266,108,浙商期货    ,2807,1544
20150326,IF1504                        ,17,鲁证期货    ,52728,7401,瑞达期货    ,2216,105,中信建投    ,2566,-402
20150326,IF1504                        ,18,永安期货    ,51733,10524,安信期货    ,2094,-113,南华期货    ,2191,-120
20150326,IF1504                        ,19,大有期货    ,51186,4220,兴证期货    ,2002,-139,国信期货    ,2059,68
20150326,IF1504                        ,20,浙商期货    ,48093,8426,财富期货    ,1955,21,安信期货    ,1613,-29
20150326,IF1506                        ,1,中信期货    ,30559,8162,中信期货    ,5846,-88,中信期货    ,8687,-435
20150326,IF1506                        ,2,海通期货    ,26636,3341,格林大华    ,4826,103,国泰君安    ,7732,-963
20150326,IF1506                        ,3,华鑫期货    ,23955,7367,银河期货    ,4367,-1374,广发期货    ,4046,-250
20150326,IF1506                        ,4,华西期货    ,16243,5464,国泰君安    ,3407,-906,华泰长城    ,3713,-239
20150326,IF1506                        ,5,招商期货    ,12051,5110,海通期货    ,3378,-175,永安期货    ,3517,-21
20150326,IF1506                        ,6,五矿期货    ,11504,2869,中国国际    ,2947,-46,招商期货    ,2460,8
20150326,IF1506                        ,7,兴证期货    ,10470,4701,永安期货    ,2621,-954,东吴期货    ,2198,103
20150326,IF1506                        ,8,光大期货    ,10239,3835,华泰长城    ,2346,416,方正中期    ,1980,-3
20150326,IF1506                        ,9,新湖期货    ,9639,-31,申银万国    ,2072,-17,兴证期货    ,1681,-353
20150326,IF1506                        ,10,永安期货    ,9111,5125,方正中期    ,1911,-1076,海通期货    ,1499,-1233
20150326,IF1506                        ,11,国泰君安    ,8417,2077,中粮期货    ,1467,89,南华期货    ,1473,-405
20150326,IF1506                        ,12,南华期货    ,7998,2110,鲁证期货    ,1429,-241,银河期货    ,1411,-359
20150326,IF1506                        ,13,西部期货    ,7863,2536,光大期货    ,1292,-308,国信期货    ,1353,-394
20150326,IF1506                        ,14,浙江中大    ,6355,728,北京首创    ,1131,-130,长江期货    ,1344,-20
20150326,IF1506                        ,15,银河期货    ,6331,3154,五矿期货    ,1122,121,光大期货    ,1306,-159
20150326,IF1506                        ,16,格林大华    ,5110,-2163,招商期货    ,1072,-231,上海东证    ,1178,-438
20150326,IF1506                        ,17,浙商期货    ,5073,1704,瑞达期货    ,1018,25,申银万国    ,1134,-32
20150326,IF1506                        ,18,方正中期    ,4911,1574,万达期货    ,968,5,五矿期货    ,1116,-123
20150326,IF1506                        ,19,鲁证期货    ,4615,1416,上海大陆    ,955,21,安信期货    ,912,-450
20150326,IF1506                        ,20,华泰长城    ,4393,1005,中信建投    ,952,-88,鲁证期货    ,786,-534
20150326,IF1509                        ,1,中信期货    ,4884,1577,国泰君安    ,3335,-69,招商期货    ,6577,-5
20150326,IF1509                        ,2,华西期货    ,4261,1720,申银万国    ,2649,28,广发期货    ,3872,-3
20150326,IF1509                        ,3,华鑫期货    ,3385,1147,上海东证    ,2240,-4,国泰君安    ,2890,-126
20150326,IF1509                        ,4,海通期货    ,3267,-174,银河期货    ,2061,-2,海通期货    ,2669,-19
20150326,IF1509                        ,5,浙江中大    ,2606,1438,海通期货    ,2038,78,中信期货    ,2603,-84
20150326,IF1509                        ,6,招商期货    ,2317,1262,南华期货    ,1217,-17,南华期货    ,2433,-54
20150326,IF1509                        ,7,兴证期货    ,2115,468,中信期货    ,1159,-96,华泰长城    ,2072,-2
20150326,IF1509                        ,8,国泰君安    ,1601,471,中融汇信    ,1035,3,上海东证    ,1517,-46
20150326,IF1509                        ,9,新湖期货    ,1564,-200,广发期货    ,1034,224,光大期货    ,908,-8
20150326,IF1509                        ,10,国信期货    ,1331,854,方正中期    ,903,2,国信期货    ,696,-36
20150326,IF1509                        ,11,光大期货    ,1328,495,光大期货    ,893,20,兴证期货    ,535,-179
20150326,IF1509                        ,12,美尔雅     ,1075,830,永安期货    ,769,45,银河期货    ,467,-18
20150326,IF1509                        ,13,申银万国    ,1061,466,新湖期货    ,767,2,鲁证期货    ,458,-1
20150326,IF1509                        ,14,南华期货    ,1047,-534,华泰长城    ,640,-40,格林大华    ,426,-96
20150326,IF1509                        ,15,浙商期货    ,1041,577,上海中期    ,609,48,永安期货    ,390,64
20150326,IF1509                        ,16,中融汇信    ,1035,162,东兴期货    ,601,2,新湖期货    ,369,-2
20150326,IF1509                        ,17,五矿期货    ,1030,535,兴证期货    ,590,0,方正中期    ,331,-13
20150326,IF1509                        ,18,格林大华    ,1029,-522,招商期货    ,568,32,申银万国    ,285,1
20150326,IF1509                        ,19,西部期货    ,1016,242,宏源期货    ,566,-127,海航东银    ,267,-98
20150326,IF1509                        ,20,广发期货    ,891,185,金瑞期货    ,558,0,红塔期货    ,255,7
