交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150330,IF1504                        ,期货公司,2550668,-42256,143232,9346,143232,9346
20150330,IF1504                        ,非期货公司,0,0,0,0,0,0
20150330,IF1506                        ,期货公司,222608,20834,56059,-3472,56059,-3472
20150330,IF1506                        ,非期货公司,0,0,0,0,0,0
20150330,IF1509                        ,期货公司,43252,12128,33552,492,33552,492
20150330,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150330,IF1504                        ,1,中信期货    ,223021,12357,中信期货    ,12893,278,海通期货    ,13809,745
20150330,IF1504                        ,2,海通期货    ,168016,21968,海通期货    ,9779,2247,中信期货    ,13197,-349
20150330,IF1504                        ,3,国泰君安    ,116556,-736,光大期货    ,7808,1125,广发期货    ,8609,859
20150330,IF1504                        ,4,华泰长城    ,110374,-4771,永安期货    ,7555,135,国泰君安    ,7672,-983
20150330,IF1504                        ,5,招商期货    ,104531,2446,方正中期    ,6633,299,银河期货    ,7073,641
20150330,IF1504                        ,6,申银万国    ,98454,-2405,倍特期货    ,6185,-7,华泰长城    ,6488,1824
20150330,IF1504                        ,7,方正中期    ,95774,-233,国泰君安    ,5452,-2895,财富期货    ,5870,878
20150330,IF1504                        ,8,华鑫期货    ,92419,-5159,广发期货    ,4897,-967,光大期货    ,4919,271
20150330,IF1504                        ,9,兴证期货    ,88268,-7004,浙商期货    ,4642,54,兴证期货    ,4718,-115
20150330,IF1504                        ,10,南华期货    ,80916,-20159,银河期货    ,4473,909,申银万国    ,4627,795
20150330,IF1504                        ,11,银河期货    ,70466,1096,华泰长城    ,4431,1668,永安期货    ,4339,-1093
20150330,IF1504                        ,12,广发期货    ,69672,-1573,南华期货    ,3671,-324,鲁证期货    ,4199,264
