交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150407,IF1504                        ,期货公司,2473410,-754558,118870,-12492,118870,-12492
20150407,IF1504                        ,非期货公司,0,0,0,0,0,0
20150407,IF1505                        ,期货公司,40560,-11588,11287,553,11287,553
20150407,IF1505                        ,非期货公司,0,0,0,0,0,0
20150407,IF1506                        ,期货公司,230334,-61852,58246,1337,58246,1337
20150407,IF1506                        ,非期货公司,0,0,0,0,0,0
20150407,IF1509                        ,期货公司,44158,-11718,33973,-42,33973,-42
20150407,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150407,IF1504                        ,1,中信期货    ,214568,-45290,中信期货    ,12768,-1376,海通期货    ,10376,-884
20150407,IF1504                        ,2,海通期货    ,157708,-57950,广发期货    ,7552,1040,中信期货    ,8637,-4102
20150407,IF1504                        ,3,国泰君安    ,122571,-29707,海通期货    ,7263,-720,广发期货    ,7158,-306
20150407,IF1504                        ,4,华泰长城    ,114670,-26731,光大期货    ,7224,0,国泰君安    ,6854,-612
20150407,IF1504                        ,5,招商期货    ,102361,-2055,倍特期货    ,6300,53,银河期货    ,5868,-1812
20150407,IF1504                        ,6,华鑫期货    ,93412,-10206,国泰君安    ,6005,459,财富期货    ,4749,-1097
20150407,IF1504                        ,7,南华期货    ,93016,-39670,永安期货    ,5045,-3334,光大期货    ,4462,-300
20150407,IF1504                        ,8,方正中期    ,87823,-23737,华泰长城    ,3569,285,鲁证期货    ,4438,-267
20150407,IF1504                        ,9,申银万国    ,86204,-37568,南华期货    ,3397,151,招商期货    ,4401,-534
20150407,IF1504                        ,10,兴证期货    ,84884,-33114,方正中期    ,3238,-262,华泰长城    ,4289,-895
20150407,IF1504                        ,11,广发期货    ,75348,-20374,申银万国    ,2851,-275,申银万国    ,3927,-51
20150407,IF1504                        ,12,银河期货    ,72456,-32819,上海东证    ,2464,409,兴证期货    ,3801,-300
20150407,IF1504                        ,13,光大期货    ,66612,-22189,银河期货    ,2375,-146,东海期货    ,2672,224
20150407,IF1504                        ,14,上海东证    ,59669,-23811,浙商期货    ,2344,-3938,中银国际    ,2575,-60
20150407,IF1504                        ,15,瑞达期货    ,54669,-21490,兴证期货    ,2180,540,上海东证    ,2507,-406
20150407,IF1504                        ,16,五矿期货    ,50161,-12406,鲁证期货    ,2015,475,永安期货    ,2205,-586
20150407,IF1504                        ,17,永安期货    ,41336,-10706,宏源期货    ,1918,-93,南华期货    ,2189,-133
20150407,IF1504                        ,18,浙商期货    ,39588,-4046,瑞达期货    ,1802,26,中信建投    ,2129,-220
20150407,IF1504                        ,19,国信期货    ,35149,-6480,中信建投    ,1656,448,国信期货    ,1926,-129
20150407,IF1504                        ,20,鲁证期货    ,34042,-10860,招商期货    ,1624,527,五矿期货    ,1669,359
20150407,IF1505                        ,1,海通期货    ,5081,-1003,银河期货    ,1922,6,中信期货    ,1985,182
20150407,IF1505                        ,2,华西期货    ,3752,-106,海通期货    ,1316,-34,中银国际    ,1609,1
20150407,IF1505                        ,3,中信期货    ,3178,-956,东兴期货    ,909,12,国泰君安    ,956,-108
20150407,IF1505                        ,4,招商期货    ,2565,-6,中信期货    ,790,140,招商期货    ,672,-8
20150407,IF1505                        ,5,华鑫期货    ,2458,-300,大地期货    ,728,-486,宏源期货    ,506,-17
20150407,IF1505                        ,6,中大期货    ,2370,765,鲁证期货    ,583,-2,方正中期    ,386,53
20150407,IF1505                        ,7,兴证期货    ,1737,-628,国泰君安    ,578,-7,财富期货    ,359,328
20150407,IF1505                        ,8,国泰君安    ,1519,28,兴证期货    ,496,143,申银万国    ,335,89
20150407,IF1505                        ,9,新湖期货    ,1300,-504,东海期货    ,303,2,光大期货    ,333,69
20150407,IF1505                        ,10,光大期货    ,1236,-539,锦泰期货    ,296,0,海通期货    ,325,3
20150407,IF1505                        ,11,西部期货    ,880,-53,长江期货    ,276,-20,广发期货    ,280,-7
20150407,IF1505                        ,12,方正中期    ,806,548,申银万国    ,221,18,兴证期货    ,253,-100
20150407,IF1505                        ,13,南华期货    ,723,-530,中信建投    ,178,15,银河期货    ,241,61
20150407,IF1505                        ,14,上海中财    ,701,-261,南华期货    ,163,31,中投天琪    ,179,51
20150407,IF1505                        ,15,广发期货    ,629,30,光大期货    ,159,89,中融汇信    ,175,0
20150407,IF1505                        ,16,申银万国    ,615,-173,宝城期货    ,152,62,鲁证期货    ,162,15
20150407,IF1505                        ,17,中融汇信    ,602,-535,广发期货    ,151,4,东海期货    ,154,-50
20150407,IF1505                        ,18,大地期货    ,592,239,国金期货    ,140,36,国信期货    ,151,14
20150407,IF1505                        ,19,浙商期货    ,464,-345,华泰长城    ,131,-19,华泰长城    ,143,-12
20150407,IF1505                        ,20,永安期货    ,441,-2145,浙商期货    ,110,31,上海东证    ,115,-11
20150407,IF1506                        ,1,海通期货    ,28580,-5280,中信期货    ,7181,549,中信期货    ,6715,1
20150407,IF1506                        ,2,中信期货    ,19354,-2613,格林大华    ,4991,-26,国泰君安    ,6665,633
20150407,IF1506                        ,3,华鑫期货    ,16857,-785,海通期货    ,3217,23,华泰长城    ,5042,-25
20150407,IF1506                        ,4,华西期货    ,12378,-4654,永安期货    ,2916,-504,国信期货    ,3554,34
20150407,IF1506                        ,5,五矿期货    ,10572,-1241,银河期货    ,2510,-109,广发期货    ,3338,221
20150407,IF1506                        ,6,光大期货    ,10285,-3687,申银万国    ,2133,-60,永安期货    ,2979,-119
20150407,IF1506                        ,7,招商期货    ,10144,-1085,国泰君安    ,2090,46,招商期货    ,2157,-45
20150407,IF1506                        ,8,南华期货    ,7806,-2455,光大期货    ,1919,535,方正中期    ,2052,-184
20150407,IF1506                        ,9,国泰君安    ,6755,-1753,华泰长城    ,1542,-86,光大期货    ,1802,-646
20150407,IF1506                        ,10,西部期货    ,6727,-3908,鲁证期货    ,1491,7,东吴期货    ,1772,-9
20150407,IF1506                        ,11,新湖期货    ,5874,-3061,方正中期    ,1473,42,银河期货    ,1622,-7
20150407,IF1506                        ,12,兴证期货    ,5179,-3050,北京首创    ,1344,0,兴证期货    ,1327,182
20150407,IF1506                        ,13,永安期货    ,4607,-2944,万达期货    ,1180,-155,长江期货    ,1325,-11
20150407,IF1506                        ,14,华泰长城    ,4101,-33,招商期货    ,1177,45,鲁证期货    ,1305,96
20150407,IF1506                        ,15,浙商期货    ,4100,688,瑞达期货    ,1070,536,南华期货    ,1027,-62
20150407,IF1506                        ,16,中大期货    ,3929,-132,安信期货    ,1015,503,海通期货    ,1020,-97
20150407,IF1506                        ,17,鲁证期货    ,3323,-241,宏源期货    ,958,195,上海东证    ,928,63
20150407,IF1506                        ,18,银河期货    ,3310,-1511,新湖期货    ,932,-46,中信建投    ,886,15
20150407,IF1506                        ,19,中信建投    ,3072,-357,中粮期货    ,894,75,申银万国    ,715,2
20150407,IF1506                        ,20,大有期货    ,2912,-1872,广发期货    ,889,19,五矿期货    ,687,103
20150407,IF1509                        ,1,华西期货    ,4282,-679,国泰君安    ,3400,337,招商期货    ,6680,-131
20150407,IF1509                        ,2,中信期货    ,2978,-2078,申银万国    ,2628,26,广发期货    ,3870,-7
20150407,IF1509                        ,3,招商期货    ,2772,-91,海通期货    ,2487,16,海通期货    ,3369,183
20150407,IF1509                        ,4,中大期货    ,2703,227,银河期货    ,2128,29,国泰君安    ,3092,-4
20150407,IF1509                        ,5,华鑫期货    ,2552,-2,上海东证    ,1784,-46,中信期货    ,2541,29
20150407,IF1509                        ,6,海通期货    ,2197,-1577,南华期货    ,1215,12,南华期货    ,2533,32
20150407,IF1509                        ,7,兴证期货    ,1740,-432,广发期货    ,1094,-9,华泰长城    ,1517,-26
20150407,IF1509                        ,8,西部期货    ,1409,-397,金元期货    ,1069,223,上海东证    ,1506,11
20150407,IF1509                        ,9,国信期货    ,1369,-152,中信期货    ,1027,-227,东海期货    ,750,-56
20150407,IF1509                        ,10,格林大华    ,1306,454,招商期货    ,945,153,光大期货    ,717,-148
20150407,IF1509                        ,11,国泰君安    ,1209,-1685,中融汇信    ,937,-13,国信期货    ,635,-3
20150407,IF1509                        ,12,光大期货    ,1189,-791,方正中期    ,918,-5,银河期货    ,518,-18
20150407,IF1509                        ,13,中融汇信    ,1186,149,新湖期货    ,782,10,永安期货    ,492,35
20150407,IF1509                        ,14,申银万国    ,1143,286,金瑞期货    ,693,-13,鲁证期货    ,446,-4
20150407,IF1509                        ,15,宏源期货    ,930,-173,永安期货    ,650,-31,兴证期货    ,390,39
20150407,IF1509                        ,16,新湖期货    ,927,-1162,兴证期货    ,611,51,新湖期货    ,371,1
20150407,IF1509                        ,17,南华期货    ,916,-68,东兴期货    ,605,0,方正中期    ,358,10
20150407,IF1509                        ,18,华泰长城    ,750,-59,上海中期    ,600,25,申银万国    ,328,-15
20150407,IF1509                        ,19,五矿期货    ,708,154,国信期货    ,596,220,锦泰期货    ,328,0
20150407,IF1509                        ,20,银河期货    ,701,-837,华泰长城    ,569,-86,海航东银    ,310,3
