交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150409,IF1504                        ,期货公司,3173298,114796,102028,-12159,102028,-12159
20150409,IF1504                        ,非期货公司,0,0,0,0,0,0
20150409,IF1505                        ,期货公司,99780,27544,19147,5385,19147,5385
20150409,IF1505                        ,非期货公司,0,0,0,0,0,0
20150409,IF1506                        ,期货公司,329828,43912,58419,91,58419,91
20150409,IF1506                        ,非期货公司,0,0,0,0,0,0
20150409,IF1509                        ,期货公司,69320,7198,33446,-742,33446,-742
20150409,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150409,IF1504                        ,1,中信期货    ,261081,-4742,中信期货    ,10012,-965,海通期货    ,8946,-1054
20150409,IF1504                        ,2,海通期货    ,188648,-9523,国泰君安    ,9131,2175,中信期货    ,7583,-596
20150409,IF1504                        ,3,国泰君安    ,149885,5220,海通期货    ,5288,-1898,广发期货    ,7056,-380
20150409,IF1504                        ,4,申银万国    ,133164,8403,光大期货    ,5178,-1567,国泰君安    ,6470,610
20150409,IF1504                        ,5,华泰长城    ,132898,5187,广发期货    ,3967,-2217,银河期货    ,5210,-128
20150409,IF1504                        ,6,南华期货    ,131943,12585,方正中期    ,3410,-1271,华泰长城    ,3921,-233
20150409,IF1504                        ,7,招商期货    ,129682,21225,国信期货    ,3305,1160,鲁证期货    ,3641,-795
20150409,IF1504                        ,8,方正中期    ,107793,7179,南华期货    ,3170,-171,光大期货    ,3419,-842
20150409,IF1504                        ,9,兴证期货    ,104351,4498,永安期货    ,3067,-1772,兴证期货    ,3417,-252
20150409,IF1504                        ,10,华鑫期货    ,102596,1423,银河期货    ,2562,-40,招商期货    ,3146,-1175
20150409,IF1504                        ,11,广发期货    ,100607,233,倍特期货    ,2545,-3736,申银万国    ,3069,-904
20150409,IF1504                        ,12,光大期货    ,93595,-4147,申银万国    ,2412,54,永安期货    ,2724,-118
20150409,IF1504                        ,13,银河期货    ,90412,9857,华泰长城    ,2308,-685,财富期货    ,2553,-942
20150409,IF1504                        ,14,上海东证    ,79298,6672,鲁证期货    ,2306,183,中银国际    ,2354,-109
20150409,IF1504                        ,15,瑞达期货    ,71952,-7733,上海东证    ,2258,669,东海期货    ,2337,-262
20150409,IF1504                        ,16,五矿期货    ,68877,1336,锦泰期货    ,2170,2017,方正中期    ,2026,534
20150409,IF1504                        ,17,鲁证期货    ,52022,5882,新湖期货    ,2142,515,中信建投    ,1860,82
20150409,IF1504                        ,18,永安期货    ,47750,-5541,兴证期货    ,1910,37,国信期货    ,1722,-189
20150409,IF1504                        ,19,国信期货    ,46593,3405,华西期货    ,1860,538,浙商期货    ,1677,-247
